candidate_source,label,trade_date,symbol,venue_or_market_center,matched_negative_group_id,source_row_id,already_in_base,control_ready,control_source,candidate_positive_path
thakkar_backofbook,positive_spoofing_layering,2013-02-22,March 2013 E-mini S&P 500 futures,CME Globex,cftc_thakkar_20130222_backofbook_buy_spoof,cftc_thakkar_20130222_backofbook_buy_150400,False,True,base_or_candidate,docs/experiments/actionable-regime-confidence/runs/20260511T234834-codex-r6-thakkar-backofbook-positive-row-candidate-screen-v1/r6-thakkar-backofbook-positive-row-candidate-screen/r6_thakkar_backofbook_positive_row_candidates_v1.csv
thakkar_backofbook,positive_spoofing_layering,2013-02-25,March 2013 E-mini S&P 500 futures,CME Globex,cftc_thakkar_20130225_backofbook_sell_spoof,cftc_thakkar_20130225_backofbook_sell_150450,False,True,base_or_candidate,docs/experiments/actionable-regime-confidence/runs/20260511T234834-codex-r6-thakkar-backofbook-positive-row-candidate-screen-v1/r6-thakkar-backofbook-positive-row-candidate-screen/r6_thakkar_backofbook_positive_row_candidates_v1.csv
thakkar_backofbook,positive_spoofing_layering,2013-02-25,March 2013 E-mini S&P 500 futures,CME Globex,cftc_thakkar_20130225_backofbook_sell_spoof,cftc_thakkar_20130225_backofbook_sell_150475,False,True,base_or_candidate,docs/experiments/actionable-regime-confidence/runs/20260511T234834-codex-r6-thakkar-backofbook-positive-row-candidate-screen-v1/r6-thakkar-backofbook-positive-row-candidate-screen/r6_thakkar_backofbook_positive_row_candidates_v1.csv
thakkar_backofbook,positive_spoofing_layering,2013-02-25,March 2013 E-mini S&P 500 futures,CME Globex,cftc_thakkar_20130225_backofbook_sell_spoof,cftc_thakkar_20130225_backofbook_sell_150500,False,True,base_or_candidate,docs/experiments/actionable-regime-confidence/runs/20260511T234834-codex-r6-thakkar-backofbook-positive-row-candidate-screen-v1/r6-thakkar-backofbook-positive-row-candidate-screen/r6_thakkar_backofbook_positive_row_candidates_v1.csv
oystacher_khara_salim,positive_spoofing_layering,2012-11-30,NYMEX Natural Gas futures contract,NYMEX/CME Globex,cftc_oystacher_20121130_ng_sell_spoof_buy_flip,cftc_oystacher_20121130_ng_sell_spoof_orders,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T234735-codex-r6-oystacher-khara-salim-positive-row-candidate-screen-v1/r6-oystacher-khara-salim-positive-row-candidate-screen/r6_oystacher_khara_salim_positive_row_candidates_v1.csv
oystacher_khara_salim,positive_spoofing_layering,2014-01-06,CME E-Mini S&P 500 futures contract,CME Globex,cftc_oystacher_20140106_es_sell_spoof_buy_flip,cftc_oystacher_20140106_es_sell_spoof_orders,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T234735-codex-r6-oystacher-khara-salim-positive-row-candidate-screen-v1/r6-oystacher-khara-salim-positive-row-candidate-screen/r6_oystacher_khara_salim_positive_row_candidates_v1.csv
oystacher_khara_salim,positive_spoofing_layering,2015-02-20,April 2015 Gold futures contract,COMEX/CME Globex,cftc_khara_20150220_gold_offer_vs_layered_bids,cftc_khara_20150220_gold_layered_bids,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T234735-codex-r6-oystacher-khara-salim-positive-row-candidate-screen-v1/r6-oystacher-khara-salim-positive-row-candidate-screen/r6_oystacher_khara_salim_positive_row_candidates_v1.csv
oystacher_khara_salim,positive_spoofing_layering,2015-04-24,May 2015 Silver futures contract,COMEX/CME Globex,cftc_salim_20150424_silver_bid_vs_layered_offers,cftc_salim_20150424_silver_layered_offers,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T234735-codex-r6-oystacher-khara-salim-positive-row-candidate-screen-v1/r6-oystacher-khara-salim-positive-row-candidate-screen/r6_oystacher_khara_salim_positive_row_candidates_v1.csv
moncada_large_lot,positive_order_lifecycle_large_lot_quote_pressure,2009-10-29,December 2009 Wheat Futures Contract,CBOT/CME Globex,cftc_moncada_20091029_wheat_large_lot_103325251,cftc_moncada_20091029_wheat_large_lot_buy_103325251,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T235000-codex-r6-moncada-large-lot-positive-row-candidate-screen-v1/r6-moncada-large-lot-positive-row-candidate-screen/r6_moncada_large_lot_positive_row_candidates_v1.csv
moncada_large_lot,positive_order_lifecycle_large_lot_quote_pressure,2009-10-29,December 2009 Wheat Futures Contract,CBOT/CME Globex,cftc_moncada_20091029_wheat_large_lot_103440764,cftc_moncada_20091029_wheat_large_lot_buy_103440764,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T235000-codex-r6-moncada-large-lot-positive-row-candidate-screen-v1/r6-moncada-large-lot-positive-row-candidate-screen/r6_moncada_large_lot_positive_row_candidates_v1.csv
moncada_large_lot,positive_order_lifecycle_large_lot_quote_pressure,2009-10-29,December 2009 Wheat Futures Contract,CBOT/CME Globex,cftc_moncada_20091029_wheat_large_lot_103541260,cftc_moncada_20091029_wheat_large_lot_buy_103541260,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T235000-codex-r6-moncada-large-lot-positive-row-candidate-screen-v1/r6-moncada-large-lot-positive-row-candidate-screen/r6_moncada_large_lot_positive_row_candidates_v1.csv
moncada_large_lot,positive_order_lifecycle_large_lot_quote_pressure,2009-10-29,December 2009 Wheat Futures Contract,CBOT/CME Globex,cftc_moncada_20091029_wheat_large_lot_103642715,cftc_moncada_20091029_wheat_large_lot_buy_103642715,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T235000-codex-r6-moncada-large-lot-positive-row-candidate-screen-v1/r6-moncada-large-lot-positive-row-candidate-screen/r6_moncada_large_lot_positive_row_candidates_v1.csv
moncada_large_lot,positive_order_lifecycle_large_lot_quote_pressure,2009-10-29,December 2009 Wheat Futures Contract,CBOT/CME Globex,cftc_moncada_20091029_wheat_large_lot_103740395,cftc_moncada_20091029_wheat_large_lot_buy_103740395,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T235000-codex-r6-moncada-large-lot-positive-row-candidate-screen-v1/r6-moncada-large-lot-positive-row-candidate-screen/r6_moncada_large_lot_positive_row_candidates_v1.csv
moncada_large_lot,positive_order_lifecycle_large_lot_quote_pressure,2009-10-29,December 2009 Wheat Futures Contract,CBOT/CME Globex,cftc_moncada_20091029_wheat_large_lot_103824755,cftc_moncada_20091029_wheat_large_lot_buy_103824755,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T235000-codex-r6-moncada-large-lot-positive-row-candidate-screen-v1/r6-moncada-large-lot-positive-row-candidate-screen/r6_moncada_large_lot_positive_row_candidates_v1.csv
trunz,positive_spoofing_layering,2016-06-22,July 2016 NYMEX Platinum Futures,NYMEX/CME Globex,cftc_trunz_20160622_platinum_genuine_offer_spoof_bids,cftc_trunz_20160622_platinum_buy_spoof_bids,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T235000-codex-r6-trunz-positive-row-candidate-screen-v1/r6-trunz-positive-row-candidate-screen/r6_trunz_positive_row_candidates_v1.csv
jpmorgan_234818,positive_spoofing_layering,2011-12-12,"Silver Futures contract, March 2012 expiry",COMEX/CME Globex,cftc_jpm_20111212_trader1_silver_sell_genuine_buy_layered,cftc_jpm_20111212_trader1_silver_buy_layered_spoof,True,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T234818-codex-r6-jpmorgan-positive-row-candidate-screen-v1/r6-jpmorgan-positive-row-candidate-screen/r6_jpmorgan_positive_row_candidates_v1.csv
jpmorgan_234818,positive_spoofing_layering,2013-12-10,"Silver Futures contract, March 2014 expiry",COMEX/CME Globex,cftc_jpm_20131210_trader5_silver_sell_genuine_buy_spoof,cftc_jpm_20131210_trader5_silver_buy_spoof,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T234818-codex-r6-jpmorgan-positive-row-candidate-screen-v1/r6-jpmorgan-positive-row-candidate-screen/r6_jpmorgan_positive_row_candidates_v1.csv
jpmorgan_234818,positive_spoofing_layering,2014-03-05,"Silver Futures contract, May 2014 expiry",COMEX/CME Globex,cftc_jpm_20140305_trader6_silver_sell_genuine_buy_layered,cftc_jpm_20140305_trader6_silver_buy_layered_spoof,True,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T234818-codex-r6-jpmorgan-positive-row-candidate-screen-v1/r6-jpmorgan-positive-row-candidate-screen/r6_jpmorgan_positive_row_candidates_v1.csv
jpmorgan_234818,positive_spoofing_layering,2016-06-22,"Platinum Futures contract, July 2016 expiry",NYMEX/CME Globex,cftc_jpm_20160622_trader4_platinum_sell_genuine_buy_layered,cftc_jpm_20160622_trader4_platinum_buy_layered_spoof,True,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T234818-codex-r6-jpmorgan-positive-row-candidate-screen-v1/r6-jpmorgan-positive-row-candidate-screen/r6_jpmorgan_positive_row_candidates_v1.csv
jpmorgan_234818,positive_spoofing_layering,2009-07-20,"T-Bond Futures contract, September 2009 expiry",CBOT/CME Globex,cftc_jpm_20090720_trader7_tbond_sell_genuine_buy_layered,cftc_jpm_20090720_trader7_tbond_buy_layered_spoof,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T234818-codex-r6-jpmorgan-positive-row-candidate-screen-v1/r6-jpmorgan-positive-row-candidate-screen/r6_jpmorgan_positive_row_candidates_v1.csv
jpmorgan_234818,positive_spoofing_layering,2010-02-04,"10-Year T-Note Futures contract, March 2010 expiry",CBOT/CME Globex,cftc_jpm_20100204_trader8_10y_tnote_buy_genuine_sell_spoof,cftc_jpm_20100204_trader8_10y_tnote_sell_spoof,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T234818-codex-r6-jpmorgan-positive-row-candidate-screen-v1/r6-jpmorgan-positive-row-candidate-screen/r6_jpmorgan_positive_row_candidates_v1.csv
jpmorgan_234818,positive_spoofing_layering,2011-09-27,"10-Year T-Note Futures contract, December 2011 expiry",CBOT/CME Globex,cftc_jpm_20110927_trader9_10y_tnote_buy_genuine_sell_spoof,cftc_jpm_20110927_trader9_10y_tnote_sell_spoof,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T234818-codex-r6-jpmorgan-positive-row-candidate-screen-v1/r6-jpmorgan-positive-row-candidate-screen/r6_jpmorgan_positive_row_candidates_v1.csv
jpmorgan_234818,positive_spoofing_layering,2015-06-30,"Ultra T-Bond Futures contract, September 2015 expiry",CBOT/CME Globex,cftc_jpm_20150630_trader10_ultra_tbond_buy_genuine_sell_spoof,cftc_jpm_20150630_trader10_ultra_tbond_sell_spoof,False,False,missing,docs/experiments/actionable-regime-confidence/runs/20260511T234818-codex-r6-jpmorgan-positive-row-candidate-screen-v1/r6-jpmorgan-positive-row-candidate-screen/r6_jpmorgan_positive_row_candidates_v1.csv
