requirement,status,evidence,decision
authoritative_board_b_append_only,pass,docs/plans/2026-05-10-regime-conditional-auto-quant-profitability-todo.md,Board B remains append-only and current cursor is unchanged
train_profitability_factors_from_accepted_regime_roots,blocked,071346 R3 label readback plus Board B tail,No accepted non-quarantined regime root exists
preserve_branch_path_through_full_chain,blocked,Board B tail and 070842 audit,No selected-data AutoQuant or downstream promotion rerun is allowed before source/control unlock
real_autoquant_runtime,partial_diagnostic_only,070842 audit and prior Tomac readbacks,AutoQuant is data-ready and one Tomac-specific run succeeded but not selected-history or branch-conditioned
real_provider_surfaces_ibkr_tradingview_yfinance_kraken,partial_diagnostic_only,070842 provider audit,Provider/status readbacks exist but are diagnostic and not source/control approval
filter_prebayes_bbn_catboost_execution_tree_real_chain,blocked,070842 audit,No post-unlock downstream chain run exists
r6_owner_export_controls,blocked,071316 and 071107 local scans,R6 owner/export root absent and local scans found no required owner-export files
r5_post_2026_01_30_mainregimev2_recency,blocked,Board B tail and 070842 audit,R5 source-panel recency root absent
r3_crisis_capable_mainregimev2_native_subhour,blocked,071346 R3 label count,R3 root has Bear/Bull/Sideways only and Crisis=0
explicit_user_selected_history,blocked,Board B tail,user_selected_historical_data_missing
canonical_merge,blocked,070842 audit,Canonical merge false because valid required-root unlock false
selected_data_autoquant_training,blocked,070842 audit,Selected-data AutoQuant training false
multi_agent_count_once_discipline,partial_diagnostic_only,Board B duplicate corrections and latest readback,Duplicate corrections exist but latest evidence is count-once and non-promoting
