id,status,evidence,gap
R0_named_board,pass_checked,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,
R1_every_regime_95,fail_blocked,source_confidence_accepted_labels=none; r6_min_lcb=0.914332,No active root has a new accepted 95% package in this slice; source-label confidence scoring rejected all four price roots and R6 remains below 0.95.
R2_other_market_validation,fail_blocked,"source_label_status=schema_ready_unscored; rows=248440; labels={'Bear': 54939, 'Bull': 104979, 'Crisis': 30623, 'Sideways': 57899}","Source-label other-market rows are schema-ready, but the confidence calibration accepted zero labels."
R3_other_cycle_timeframe,fail_blocked,native_subhour_ready=False; recency_status=blocked,Native sub-hour rows/provenance and post-2026-01-30 recency-extension rows/provenance are still absent.
R4_provider_and_full_chain,partial_guardrail,latest provider/downstream readback remains 20260511T212339; this audit reran current root verifiers and source-confidence artifact only,No fresh provider/Auto-Quant/Pre-Bayes/BBN/CatBoost/execution-tree rerun was needed for this source-confidence rejection slice.
R5_source_label_confidence_calibration,fail_blocked,artifact=docs/experiments/actionable-regime-confidence/runs/20260511T214328-codex-source-label-equivalence-confidence-calibration-v1/source-label-equivalence-confidence-calibration/source_label_equivalence_confidence_calibration_v1.json; accepted_source_confidence_95_labels=none,"All four price roots fail the source-confidence Wilson95 gate across calibration, heldout-market, heldout-time, and test splits."
R6_direct_manipulation_confidence,fail_blocked,positives=41; controls=41; matched_groups=40; min_lcb=0.914332,"R6 is below 50/50 support, Wilson95 remains below 0.95, broad-normal sample is false, and direct species coverage remains incomplete."
R7_no_proxy_acceptance,pass_guardrail,"schema-ready source labels, same-event controls, provider proxies, and OHLCV/direct proxies remain fail-closed",
R8_multi_agent_safety,pass_guardrail,board_hash_before=b8f0f3de90ef8511e420572e6ef3f31afeb893bbae243a723555dc636c2bfeb9; cursor_before=20260511T214328+0800-codex-source-label-equivalence-confidence-calibration-v1; append-only registration expected,
R9_update_goal_gate,fail_blocked,failures_present=true,Missing and failed requirements remain; update_goal=false.
