source,query_or_ref,url,hit_count,last_updated,current_version,status,ready_tail_source,disposition
kaggle_dataset_view,mafaqbhatti/stock-market-regimes-20002026,https://www.kaggle.com/datasets/mafaqbhatti/stock-market-regimes-20002026,1,2026-02-01T02:25:29.437Z,1,metadata_read,False,same public source panel metadata; local panel max date is still the decisive row-level check
kaggle_dataset_list,stock market regimes 2000 2026,https://www.kaggle.com/api/v1/datasets/list?search=stock%20market%20regimes%202000%202026,1,,,metadata_read,False,mafaqbhatti/stock-market-regimes-20002026
kaggle_dataset_list,stock_market_regimes_2000_2026.csv,https://www.kaggle.com/api/v1/datasets/list?search=stock_market_regimes_2000_2026.csv,1,,,metadata_read,False,mafaqbhatti/stock-market-regimes-20002026
kaggle_dataset_list,XOM Sideways UNH Bear AMD Bear regime dataset,https://www.kaggle.com/api/v1/datasets/list?search=XOM%20Sideways%20UNH%20Bear%20AMD%20Bear%20regime%20dataset,0,,,metadata_read,False,no datasets returned
huggingface_dataset_search,stock market regimes 2000 2026,https://huggingface.co/api/datasets?search=stock%20market%20regimes%202000%202026,0,,,metadata_read,False,no ready source-owned recency-tail label dataset found
huggingface_dataset_search,stock_market_regimes_2000_2026.csv,https://huggingface.co/api/datasets?search=stock_market_regimes_2000_2026.csv,0,,,metadata_read,False,no ready source-owned recency-tail label dataset found
huggingface_dataset_search,XOM Sideways UNH Bear AMD Bear regime dataset,https://huggingface.co/api/datasets?search=XOM%20Sideways%20UNH%20Bear%20AMD%20Bear%20regime%20dataset,0,,,metadata_read,False,no ready source-owned recency-tail label dataset found
github_repository_search,"""stock_market_regimes_2000_2026.csv""",https://api.github.com/search/repositories?q=%22stock_market_regimes_2000_2026.csv%22,0,,,metadata_read,False,no repository hit with source-owned post-cutoff labels
github_repository_search,"""stock market regimes 2000 2026""",https://api.github.com/search/repositories?q=%22stock%20market%20regimes%202000%202026%22,0,,,metadata_read,False,no repository hit with source-owned post-cutoff labels
github_repository_search,"""XOM"" ""Sideways"" ""UNH"" ""Bear"" ""AMD"" ""regime""",https://api.github.com/search/repositories?q=%22XOM%22%20%22Sideways%22%20%22UNH%22%20%22Bear%22%20%22AMD%22%20%22regime%22,0,,,metadata_read,False,no repository hit with source-owned post-cutoff labels
