label,source_report,source_section,trade_date,symbol,venue_or_market_center,participant_type_code,participant_identifier,side,earliest_order_received_time,latest_order_received_time,order_count,total_order_quantity,activity_description,matched_negative_group_id,session_bucket,source_row_id,candidate_status
positive_spoofing_layering,"CFTC Complaint: CFTC v. Igor B. Oystacher and 3 Red Trading LLC, filed Oct. 19 2015","CFTC complaint paragraph 94, Copper Futures Contracts",2011-12-01,Copper Futures Contracts,COMEX/CME Globex,CFTC respondent trader,Igor B. Oystacher / 3 Red Trading LLC,spoof orders opposite aggressive flip sequence; aggregate side varies by date,missing_public_appendix,missing_public_appendix,group aggregate only: 896 spoof orders / 156 flip sequences,group aggregate only: 35235 spoof contracts,Public CFTC complaint paragraph 94 gives exact trading date and aggregate spoof/flip counts; Exhibit A/order-time rows are not present in the public complaint body.,oystacher_copper_2011_2011-12-01,source_time_not_in_public_body,oystacher_copper_2011_2011-12-01,positive_date_candidate_only_controls_missing
positive_spoofing_layering,"CFTC Complaint: CFTC v. Igor B. Oystacher and 3 Red Trading LLC, filed Oct. 19 2015","CFTC complaint paragraph 94, Copper Futures Contracts",2011-12-02,Copper Futures Contracts,COMEX/CME Globex,CFTC respondent trader,Igor B. Oystacher / 3 Red Trading LLC,spoof orders opposite aggressive flip sequence; aggregate side varies by date,missing_public_appendix,missing_public_appendix,group aggregate only: 896 spoof orders / 156 flip sequences,group aggregate only: 35235 spoof contracts,Public CFTC complaint paragraph 94 gives exact trading date and aggregate spoof/flip counts; Exhibit A/order-time rows are not present in the public complaint body.,oystacher_copper_2011_2011-12-02,source_time_not_in_public_body,oystacher_copper_2011_2011-12-02,positive_date_candidate_only_controls_missing
positive_spoofing_layering,"CFTC Complaint: CFTC v. Igor B. Oystacher and 3 Red Trading LLC, filed Oct. 19 2015","CFTC complaint paragraph 94, Copper Futures Contracts",2011-12-05,Copper Futures Contracts,COMEX/CME Globex,CFTC respondent trader,Igor B. Oystacher / 3 Red Trading LLC,spoof orders opposite aggressive flip sequence; aggregate side varies by date,missing_public_appendix,missing_public_appendix,group aggregate only: 896 spoof orders / 156 flip sequences,group aggregate only: 35235 spoof contracts,Public CFTC complaint paragraph 94 gives exact trading date and aggregate spoof/flip counts; Exhibit A/order-time rows are not present in the public complaint body.,oystacher_copper_2011_2011-12-05,source_time_not_in_public_body,oystacher_copper_2011_2011-12-05,positive_date_candidate_only_controls_missing
positive_spoofing_layering,"CFTC Complaint: CFTC v. Igor B. Oystacher and 3 Red Trading LLC, filed Oct. 19 2015","CFTC complaint paragraph 94, Copper Futures Contracts",2011-12-06,Copper Futures Contracts,COMEX/CME Globex,CFTC respondent trader,Igor B. Oystacher / 3 Red Trading LLC,spoof orders opposite aggressive flip sequence; aggregate side varies by date,missing_public_appendix,missing_public_appendix,group aggregate only: 896 spoof orders / 156 flip sequences,group aggregate only: 35235 spoof contracts,Public CFTC complaint paragraph 94 gives exact trading date and aggregate spoof/flip counts; Exhibit A/order-time rows are not present in the public complaint body.,oystacher_copper_2011_2011-12-06,source_time_not_in_public_body,oystacher_copper_2011_2011-12-06,positive_date_candidate_only_controls_missing
positive_spoofing_layering,"CFTC Complaint: CFTC v. Igor B. Oystacher and 3 Red Trading LLC, filed Oct. 19 2015","CFTC complaint paragraph 94, Copper Futures Contracts",2011-12-07,Copper Futures Contracts,COMEX/CME Globex,CFTC respondent trader,Igor B. Oystacher / 3 Red Trading LLC,spoof orders opposite aggressive flip sequence; aggregate side varies by date,missing_public_appendix,missing_public_appendix,group aggregate only: 896 spoof orders / 156 flip sequences,group aggregate only: 35235 spoof contracts,Public CFTC complaint paragraph 94 gives exact trading date and aggregate spoof/flip counts; Exhibit A/order-time rows are not present in the public complaint body.,oystacher_copper_2011_2011-12-07,source_time_not_in_public_body,oystacher_copper_2011_2011-12-07,positive_date_candidate_only_controls_missing
positive_spoofing_layering,"CFTC Complaint: CFTC v. Igor B. Oystacher and 3 Red Trading LLC, filed Oct. 19 2015","CFTC complaint paragraph 94, Copper Futures Contracts",2011-12-08,Copper Futures Contracts,COMEX/CME Globex,CFTC respondent trader,Igor B. Oystacher / 3 Red Trading LLC,spoof orders opposite aggressive flip sequence; aggregate side varies by date,missing_public_appendix,missing_public_appendix,group aggregate only: 896 spoof orders / 156 flip sequences,group aggregate only: 35235 spoof contracts,Public CFTC complaint paragraph 94 gives exact trading date and aggregate spoof/flip counts; Exhibit A/order-time rows are not present in the public complaint body.,oystacher_copper_2011_2011-12-08,source_time_not_in_public_body,oystacher_copper_2011_2011-12-08,positive_date_candidate_only_controls_missing
positive_spoofing_layering,"CFTC Complaint: CFTC v. Igor B. Oystacher and 3 Red Trading LLC, filed Oct. 19 2015","CFTC complaint paragraph 94, Copper Futures Contracts",2011-12-09,Copper Futures Contracts,COMEX/CME Globex,CFTC respondent trader,Igor B. Oystacher / 3 Red Trading LLC,spoof orders opposite aggressive flip sequence; aggregate side varies by date,missing_public_appendix,missing_public_appendix,group aggregate only: 896 spoof orders / 156 flip sequences,group aggregate only: 35235 spoof contracts,Public CFTC complaint paragraph 94 gives exact trading date and aggregate spoof/flip counts; Exhibit A/order-time rows are not present in the public complaint body.,oystacher_copper_2011_2011-12-09,source_time_not_in_public_body,oystacher_copper_2011_2011-12-09,positive_date_candidate_only_controls_missing
positive_spoofing_layering,"CFTC Complaint: CFTC v. Igor B. Oystacher and 3 Red Trading LLC, filed Oct. 19 2015","CFTC complaint paragraph 94, Copper Futures Contracts",2011-12-12,Copper Futures Contracts,COMEX/CME Globex,CFTC respondent trader,Igor B. Oystacher / 3 Red Trading LLC,spoof orders opposite aggressive flip sequence; aggregate side varies by date,missing_public_appendix,missing_public_appendix,group aggregate only: 896 spoof orders / 156 flip sequences,group aggregate only: 35235 spoof contracts,Public CFTC complaint paragraph 94 gives exact trading date and aggregate spoof/flip counts; Exhibit A/order-time rows are not present in the public complaint body.,oystacher_copper_2011_2011-12-12,source_time_not_in_public_body,oystacher_copper_2011_2011-12-12,positive_date_candidate_only_controls_missing
positive_spoofing_layering,"CFTC Complaint: CFTC v. Igor B. Oystacher and 3 Red Trading LLC, filed Oct. 19 2015","CFTC complaint paragraph 94, Copper Futures Contracts",2011-12-13,Copper Futures Contracts,COMEX/CME Globex,CFTC respondent trader,Igor B. Oystacher / 3 Red Trading LLC,spoof orders opposite aggressive flip sequence; aggregate side varies by date,missing_public_appendix,missing_public_appendix,group aggregate only: 896 spoof orders / 156 flip sequences,group aggregate only: 35235 spoof contracts,Public CFTC complaint paragraph 94 gives exact trading date and aggregate spoof/flip counts; Exhibit A/order-time rows are not present in the public complaint body.,oystacher_copper_2011_2011-12-13,source_time_not_in_public_body,oystacher_copper_2011_2011-12-13,positive_date_candidate_only_controls_missing
positive_spoofing_layering,"CFTC Complaint: CFTC v. Igor B. Oystacher and 3 Red Trading LLC, filed Oct. 19 2015","CFTC complaint paragraph 94, Copper Futures Contracts",2011-12-14,Copper Futures Contracts,COMEX/CME Globex,CFTC respondent trader,Igor B. Oystacher / 3 Red Trading LLC,spoof orders opposite aggressive flip sequence; aggregate side varies by date,missing_public_appendix,missing_public_appendix,group aggregate only: 896 spoof orders / 156 flip sequences,group aggregate only: 35235 spoof contracts,Public CFTC complaint paragraph 94 gives exact trading date and aggregate spoof/flip counts; Exhibit A/order-time rows are not present in the public complaint body.,oystacher_copper_2011_2011-12-14,source_time_not_in_public_body,oystacher_copper_2011_2011-12-14,positive_date_candidate_only_controls_missing
