provider,instrument,timeframe,root,source_ticker,attachment_policy,consumer_scope,calibration_2024_support,calibration_2024_wilson95_lcb,heldout_time_2025_support,heldout_time_2025_wilson95_lcb,provider_rows,provider_sessions,accepted_95_strict_ticker_root_attachment,blocker
yfinance,AAPL,1h,Bull,AAPL,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,134,0.972131325,128,0.9708630437,5069,730,True,
yfinance,AAPL,1h,Bear,AAPL,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,50,0.9286524009,81,0.9547219146,5069,730,False,calibration_support_below_73|calibration_wilson95_below_0_95
yfinance,AAPL,1h,Sideways,AAPL,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,68,0.9465286635,34,0.8984854458,5069,730,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
yfinance,AAPL,1h,Crisis,AAPL,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,0,0.0,7,0.6456695649,5069,730,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
yfinance,ABBV,1h,Bull,ABBV,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,143,0.9738394126,152,0.9753502126,5068,730,True,
yfinance,ABBV,1h,Bear,ABBV,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,34,0.8984854458,29,0.8830302015,5068,730,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
yfinance,ABBV,1h,Sideways,ABBV,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,75,0.9512761575,67,0.9457738606,5068,730,False,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
yfinance,ABBV,1h,Crisis,ABBV,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,0,0.0,2,0.3423802275,5068,730,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
yfinance,AMD,1h,Bull,AMD,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,76,0.9518864149,62,0.9416559279,5069,730,False,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
yfinance,AMD,1h,Bear,AMD,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,63,0.9425288004,76,0.9518864149,5069,730,False,calibration_support_below_73|calibration_wilson95_below_0_95
yfinance,AMD,1h,Sideways,AMD,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,10,0.7224672001,18,0.8241207764,5069,730,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
yfinance,AMD,1h,Crisis,AMD,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,103,0.9640452418,94,0.9607379237,5069,730,True,
yfinance,AMZN,1h,Bull,AMZN,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,188,0.9799758673,138,0.9729172355,5069,730,True,
yfinance,AMZN,1h,Bear,AMZN,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,15,0.796116699,44,0.9197043962,5069,730,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
yfinance,AMZN,1h,Sideways,AMZN,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,49,0.9273021808,47,0.9244423958,5069,730,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
yfinance,AMZN,1h,Crisis,AMZN,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,0,0.0,21,0.8453609811,5069,730,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
yfinance,BA,1h,Bull,BA,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,20,0.8388748419,74,0.9506502206,5078,730,False,calibration_support_below_73|calibration_wilson95_below_0_95
yfinance,BA,1h,Bear,BA,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,138,0.9729172355,40,0.9123783988,5078,730,False,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
yfinance,BA,1h,Sideways,BA,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,45,0.9213484013,44,0.9197043962,5078,730,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
yfinance,BA,1h,Crisis,BA,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,49,0.9273021808,92,0.9599186107,5078,730,False,calibration_support_below_73|calibration_wilson95_below_0_95
yfinance,BAC,1h,Bull,BAC,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,174,0.9783995315,161,0.9766960396,5068,730,True,
yfinance,BAC,1h,Bear,BAC,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,22,0.8513451254,30,0.8864866068,5068,730,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
yfinance,BAC,1h,Sideways,BAC,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,51,0.9299533801,51,0.9299533801,5068,730,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
yfinance,BAC,1h,Crisis,BAC,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,5,0.5655175352,8,0.6755924351,5068,730,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
yfinance,CAT,1h,Bull,CAT,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,167,0.9775144813,162,0.9768365592,5068,730,True,
yfinance,CAT,1h,Bear,CAT,exact_same_ticker_daily_parent_context_to_1h_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,32,0.8928208017,59,0.9388706295,5068,730,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
