label,threshold,calibration_support,calibration_label_hits,calibration_precision,calibration_wilson95_lcb,heldout_market_support,heldout_market_label_hits,heldout_market_precision,heldout_market_wilson95_lcb,heldout_time_support,heldout_time_label_hits,heldout_time_precision,heldout_time_wilson95_lcb,test_support,test_label_hits,test_precision,test_wilson95_lcb,min_split_support,min_split_wilson95_lcb,accepted_extra_trees_confidence_95,blockers
Bear,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,False,calibration_support_below_50;calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95
Bear,0.51,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,False,calibration_support_below_50;calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95
Bear,0.52,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,False,calibration_support_below_50;calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95
Bear,0.53,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,False,calibration_support_below_50;calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95
Bear,0.54,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,False,calibration_support_below_50;calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95
Bear,0.55,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,False,calibration_support_below_50;calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95
Bear,0.56,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,False,calibration_support_below_50;calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95
Bear,0.57,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,False,calibration_support_below_50;calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95
Bear,0.58,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,False,calibration_support_below_50;calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95
Bear,0.59,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,False,calibration_support_below_50;calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95
Bear,0.6,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,False,calibration_support_below_50;calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95
Bear,0.61,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,False,calibration_support_below_50;calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95
Bear,0.62,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,False,calibration_support_below_50;calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95
Bear,0.63,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,False,calibration_support_below_50;calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95
Bear,0.64,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,False,calibration_support_below_50;calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95
