provider,pair,timeframe,data_status,label_status,accepted_confidence_status,bars
kraken_public_lowpollution_http,XBTUSD,1m,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,XBTUSD,5m,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,XBTUSD,15m,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,XBTUSD,30m,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,XBTUSD,1h,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,XBTUSD,4h,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,XBTUSD,1d,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,XBTUSD,1w,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,658
kraken_public_lowpollution_http,XBTUSD,1mo,unsupported_provider_interval,not_labeled_interval_unsupported,blocked_interval_unsupported,
kraken_public_lowpollution_http,ETHUSD,1m,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,ETHUSD,5m,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,ETHUSD,15m,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,ETHUSD,30m,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,ETHUSD,1h,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,ETHUSD,4h,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,ETHUSD,1d,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,ETHUSD,1w,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,562
kraken_public_lowpollution_http,ETHUSD,1mo,unsupported_provider_interval,not_labeled_interval_unsupported,blocked_interval_unsupported,
kraken_public_lowpollution_http,SOLUSD,1m,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,SOLUSD,5m,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,SOLUSD,15m,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,SOLUSD,30m,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,SOLUSD,1h,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,SOLUSD,4h,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,SOLUSD,1d,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,721
kraken_public_lowpollution_http,SOLUSD,1w,usable,unsupported_missing_independent_root_labels,blocked_no_source_root_labels,256
kraken_public_lowpollution_http,SOLUSD,1mo,unsupported_provider_interval,not_labeled_interval_unsupported,blocked_interval_unsupported,
