provider,symbol,pair,market,timeframe,raw_csv,raw_committed,runtime_code_changed,thresholds_relaxed,trade_usable,returncode,stdout,stderr,status,reason,rows,first_ts,last_ts
kraken_public,BTC,PF_XBTUSD,futures,1m,/private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_1m.csv,False,False,False,False,0,"kraken futures PF_XBTUSD 1m: 2,000 rows (2026-05-03 00:00:00+00:00 -> 2026-05-04 09:19:00+00:00) -> /private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_1m.csv",,ok,,2000,2026-05-03 00:00:00+00:00,2026-05-04 09:19:00+00:00
kraken_public,BTC,PF_XBTUSD,futures,5m,/private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_5m.csv,False,False,False,False,0,"kraken futures PF_XBTUSD 5m: 2,000 rows (2026-04-10 00:00:00+00:00 -> 2026-04-16 22:35:00+00:00) -> /private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_5m.csv",,ok,,2000,2026-04-10 00:00:00+00:00,2026-04-16 22:35:00+00:00
kraken_public,BTC,PF_XBTUSD,futures,15m,/private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_15m.csv,False,False,False,False,0,"kraken futures PF_XBTUSD 15m: 2,000 rows (2026-04-01 00:00:00+00:00 -> 2026-04-21 19:45:00+00:00) -> /private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_15m.csv",,ok,,2000,2026-04-01 00:00:00+00:00,2026-04-21 19:45:00+00:00
kraken_public,BTC,PF_XBTUSD,futures,30m,/private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_30m.csv,False,False,False,False,0,"kraken futures PF_XBTUSD 30m: 1,873 rows (2026-04-01 00:00:00+00:00 -> 2026-05-10 00:00:00+00:00) -> /private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_30m.csv",,ok,,1873,2026-04-01 00:00:00+00:00,2026-05-10 00:00:00+00:00
kraken_public,BTC,PF_XBTUSD,futures,1h,/private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_1h.csv,False,False,False,False,0,kraken futures PF_XBTUSD 1h: 937 rows (2026-04-01 00:00:00+00:00 -> 2026-05-10 00:00:00+00:00) -> /private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_1h.csv,,ok,,937,2026-04-01 00:00:00+00:00,2026-05-10 00:00:00+00:00
kraken_public,BTC,PF_XBTUSD,futures,4h,/private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_4h.csv,False,False,False,False,0,"kraken futures PF_XBTUSD 4h: 2,000 rows (2025-05-10 00:00:00+00:00 -> 2026-04-08 04:00:00+00:00) -> /private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_4h.csv",,ok,,2000,2025-05-10 00:00:00+00:00,2026-04-08 04:00:00+00:00
kraken_public,BTC,PF_XBTUSD,futures,1d,/private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_1d.csv,False,False,False,False,0,kraken futures PF_XBTUSD 1d: 731 rows (2024-05-10 00:00:00+00:00 -> 2026-05-10 00:00:00+00:00) -> /private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_1d.csv,,ok,,731,2024-05-10 00:00:00+00:00,2026-05-10 00:00:00+00:00
kraken_public,BTC,PF_XBTUSD,futures,1w,/private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_1w.csv,False,False,False,False,0,kraken futures PF_XBTUSD 1w: 217 rows (2022-03-17 00:00:00+00:00 -> 2026-05-07 00:00:00+00:00) -> /private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_1w.csv,,ok,,217,2022-03-17 00:00:00+00:00,2026-05-07 00:00:00+00:00
kraken_public,BTC,PF_XBTUSD,futures,1mo,/private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_XBTUSD_1mo.csv,False,False,False,False,,,,unsupported_timeframe,fetch_external kraken futures supports 1w max for this lane; board 1mo cell remains unsupported,0,,
kraken_public,ETH,PF_ETHUSD,futures,1m,/private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_ETHUSD_1m.csv,False,False,False,False,0,"kraken futures PF_ETHUSD 1m: 2,000 rows (2026-05-03 00:00:00+00:00 -> 2026-05-04 09:19:00+00:00) -> /private/tmp/ict-regime-kraken-public-matrix-20260511T072600/PF_ETHUSD_1m.csv",,ok,,2000,2026-05-03 00:00:00+00:00,2026-05-04 09:19:00+00:00
