path,size_bytes,mtime_epoch,extension,name_hits,content_hits,classification
/Users/thrill3r/Downloads/external-memory/mempalace/mempalace/layers.py,17224,1775657866,.py,layer,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.csv,8273022,1767845127,.csv,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.json,159781,1767845127,.json,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.csv,3201374,1767765844,.csv,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.json,55943,1767765844,.json,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.csv,4267811,1767765443,.csv,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.json,56948,1767765443,.json,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.csv,3560949,1767764729,.csv,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.json,54038,1767764729,.json,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.csv,30984640,1767858991,.csv,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.json,1324648,1767858991,.json,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/gbrain/docs/architecture/infra-layer.md,4220,1776608876,.md,layer,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/gbrain/eval/data/world-v1/meetings__board-acme-2025-q1-0.json,3424,1776608876,.json,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/gbrain/eval/data/world-v1/companies__acme-labs-50.json,3699,1776608876,.json,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/gbrain/eval/data/world-v1/companies__acme-0.json,3498,1776608876,.json,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/Pnlclaw-community/packages/exchange-sdk/tests/test_symbol_normalizer.py,3076,1775654299,.py,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/truecourse/tests/analyzer/split-analyzer-layers.test.ts,3021,1776133067,.ts,layer,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/truecourse/tests/analyzer/layer-detector.test.ts,3812,1776133067,.ts,layer,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/truecourse/packages/analyzer/dist/layer-detector.js,8288,1776133754,.js,layer,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/truecourse/packages/analyzer/dist/layer-detector.d.ts,812,1776133754,.ts,layer,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/truecourse/packages/analyzer/dist/layer-detector.d.ts.map,461,1776133754,.map,layer,,keyword_candidate_not_sufficient
