row_id,recipe_id,pair,open_date,close_date,open_session_date,source_regime_session_date,source_context_attachment_policy,parent_regime_root,parent_regime_confidence_floor,source_panel_mean_confidence,source_panel_ticker_count,manipulation_overlay_state,sub_regime_tags,sub_sub_regime_or_profit_factor,profit_factor_family,profit_factor_leaf,regime_profit_branch_path,regime_profit_branch_path_version,trade_or_bar_horizon,allowed_action,suppression_rule,year_fold,profit_ratio_net,profit_abs,stake_amount,fee_open,fee_close,exit_reason,is_open
1,CrashRebound,SOL/USDT,2021-07-27T17:00:00+00:00,2021-07-28T12:00:00+00:00,2021-07-27,2021-07-27,source_panel_previous_session_context_asof,Bull,0.9797225384,0.6868260869565217,23,not_consumed_no_direct_event_rows,BullPullback,OversoldDrawdownReboundSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> OversoldDrawdownReboundSetup -> CrashRebound,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,0.05473472340656634,156.98664302,2865.270955,0.001,0.001,exit_signal,False
2,CrashRebound,AVAX/USDT,2021-08-26T06:00:00+00:00,2021-08-27T08:00:00+00:00,2021-08-26,2021-08-26,source_panel_previous_session_context_asof,Bull,0.9797225384,0.6857727272727273,22,not_consumed_no_direct_event_rows,BullPullback,OversoldDrawdownReboundSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> OversoldDrawdownReboundSetup -> CrashRebound,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,0.06958169612745047,181.79236764,2610.03636,0.001,0.001,exit_signal,False
3,CrashRebound,AVAX/USDT,2021-08-30T04:00:00+00:00,2021-09-01T06:00:00+00:00,2021-08-30,2021-08-30,source_panel_previous_session_context_asof,Bull,0.9797225384,0.7034,25,not_consumed_no_direct_event_rows,BullPullback,OversoldDrawdownReboundSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> OversoldDrawdownReboundSetup -> CrashRebound,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,-0.037924310671660494,-89.9687962,2369.9552,0.001,0.001,exit_signal,False
4,CrashRebound,AVAX/USDT,2021-09-07T09:00:00+00:00,2021-09-09T05:00:00+00:00,2021-09-07,2021-09-07,source_panel_previous_session_context_asof,Bull,0.9797225384,0.7136086956521739,23,not_consumed_no_direct_event_rows,BullPullback,OversoldDrawdownReboundSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> OversoldDrawdownReboundSetup -> CrashRebound,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,-0.005755185990480109,-16.3283796,2834.325,0.001,0.001,exit_signal,False
5,CrashRebound,BNB/USDT,2021-09-07T15:00:00+00:00,2021-09-09T15:00:00+00:00,2021-09-07,2021-09-07,source_panel_previous_session_context_asof,Bull,0.9797225384,0.7136086956521739,23,not_consumed_no_direct_event_rows,BullPullback,OversoldDrawdownReboundSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> OversoldDrawdownReboundSetup -> CrashRebound,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,0.04450744869384292,101.9443474,2288.2126,0.001,0.001,exit_signal,False
6,CrashRebound,SOL/USDT,2021-09-10T15:00:00+00:00,2021-09-11T14:00:00+00:00,2021-09-10,2021-09-10,source_panel_previous_session_context_asof,Bull,0.9797225384,0.6254705882352941,17,not_consumed_no_direct_event_rows,BullPullback,OversoldDrawdownReboundSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> OversoldDrawdownReboundSetup -> CrashRebound,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,0.10286092460132894,221.26870661,2148.99545,0.001,0.001,exit_signal,False
7,CrashRebound,BNB/USDT,2021-09-10T15:00:00+00:00,2021-09-12T09:00:00+00:00,2021-09-10,2021-09-10,source_panel_previous_session_context_asof,Bull,0.9797225384,0.6254705882352941,17,not_consumed_no_direct_event_rows,BullPullback,OversoldDrawdownReboundSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> OversoldDrawdownReboundSetup -> CrashRebound,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,0.039303811312840664,93.2538645,2370.2715,0.001,0.001,exit_signal,False
8,CrashRebound,SOL/USDT,2021-09-13T01:00:00+00:00,2021-09-13T22:00:00+00:00,2021-09-13,2021-09-13,source_panel_previous_session_context_asof,Bull,0.9797225384,0.595,20,not_consumed_no_direct_event_rows,BullPullback,OversoldDrawdownReboundSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> OversoldDrawdownReboundSetup -> CrashRebound,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,0.02482713067372463,58.47464793,2352.91917,0.001,0.001,exit_signal,False
9,CrashRebound,BNB/USDT,2021-09-13T08:00:00+00:00,2021-09-14T09:00:00+00:00,2021-09-13,2021-09-13,source_panel_previous_session_context_asof,Bull,0.9797225384,0.595,20,not_consumed_no_direct_event_rows,BullPullback,OversoldDrawdownReboundSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> OversoldDrawdownReboundSetup -> CrashRebound,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,0.027422133140049276,69.9498664,2548.306,0.001,0.001,exit_signal,False
10,CrashRebound,SOL/USDT,2021-09-14T21:00:00+00:00,2021-09-15T06:00:00+00:00,2021-09-14,2021-09-14,source_panel_previous_session_context_asof,Sideways,0.9529358324,0.6588235294117647,17,not_consumed_no_direct_event_rows,RangeStress,MeanReversionReboundSetup,counter_trend_drawdown_rebound,CrashRebound,Sideways -> RangeStress -> MeanReversionReboundSetup -> CrashRebound,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,suppress_if_fold_depth_or_specificity_fails,2021,0.06613469962695231,212.58003195,3211.13826,0.001,0.001,exit_signal,False
