provider,instrument,local_symbol,timeframe,root,source_ticker,attack_map_relation,relation_policy,relation_accepted,consumer_scope,target_session_count,calibration_support,calibration_wilson95_lcb,heldout_time_support,heldout_time_wilson95_lcb,all_target_session_support,all_target_session_wilson95_lcb,source_label_support_pass,accepted_95_source_label_crosswalk_attachment,blocker
yfinance,ES=F,ES,15m,Bear,^GSPC,index_future_tracks_sp500,direct_index_future_tracks_source_index_v1,True,crosswalk_parent_day_context_not_intraday_micro_regime,1408,8,0.6755924351,3,0.4385029682,19,0.8318207759,False,False,calibration_support_below_50|calibration_wilson95_below_0_95|heldout_time_support_below_50|heldout_time_wilson95_below_0_95
yfinance,ES=F,ES,15m,Bull,^GSPC,index_future_tracks_sp500,direct_index_future_tracks_source_index_v1,True,crosswalk_parent_day_context_not_intraday_micro_regime,1408,320,0.9881378412,160,0.9765538048,838,0.9954368382,True,True,
yfinance,ES=F,ES,15m,Crisis,^GSPC,index_future_tracks_sp500,direct_index_future_tracks_source_index_v1,True,crosswalk_parent_day_context_not_intraday_micro_regime,1408,0,0.0,0,0.0,0,0.0,False,False,calibration_support_below_50|calibration_wilson95_below_0_95|heldout_time_support_below_50|heldout_time_wilson95_below_0_95
yfinance,ES=F,ES,15m,Sideways,^GSPC,index_future_tracks_sp500,direct_index_future_tracks_source_index_v1,True,crosswalk_parent_day_context_not_intraday_micro_regime,1408,134,0.972131325,65,0.9441984687,371,0.9897517771,False,False,heldout_time_wilson95_below_0_95
yfinance,ES=F,ES,1h,Bear,^GSPC,index_future_tracks_sp500,direct_index_future_tracks_source_index_v1,True,crosswalk_parent_day_context_not_intraday_micro_regime,990,2,0.3423802275,3,0.4385029682,8,0.6755924351,False,False,calibration_support_below_50|calibration_wilson95_below_0_95|heldout_time_support_below_50|heldout_time_wilson95_below_0_95
yfinance,ES=F,ES,1h,Bull,^GSPC,index_future_tracks_sp500,direct_index_future_tracks_source_index_v1,True,crosswalk_parent_day_context_not_intraday_micro_regime,990,233,0.9837804629,139,0.9731068357,613,0.9937723725,True,True,
yfinance,ES=F,ES,1h,Crisis,^GSPC,index_future_tracks_sp500,direct_index_future_tracks_source_index_v1,True,crosswalk_parent_day_context_not_intraday_micro_regime,990,0,0.0,0,0.0,0,0.0,False,False,calibration_support_below_50|calibration_wilson95_below_0_95|heldout_time_support_below_50|heldout_time_wilson95_below_0_95
yfinance,ES=F,ES,1h,Sideways,^GSPC,index_future_tracks_sp500,direct_index_future_tracks_source_index_v1,True,crosswalk_parent_day_context_not_intraday_micro_regime,990,88,0.9581729333,53,0.9324180114,252,0.9849850027,False,False,heldout_time_wilson95_below_0_95
yfinance,NQ=F,NQ,15m,Bear,^IXIC,nasdaq_future_candidate_requires_ndx_vs_ixic_policy,blocked_ndx_vs_ixic_policy_unresolved_v1,False,crosswalk_parent_day_context_not_intraday_micro_regime,738,49,0.9273021808,82,0.9552493763,141,0.9734781819,False,False,crosswalk_relation_policy_unresolved|calibration_support_below_50|calibration_wilson95_below_0_95
yfinance,NQ=F,NQ,15m,Bull,^IXIC,nasdaq_future_candidate_requires_ndx_vs_ixic_policy,blocked_ndx_vs_ixic_policy_unresolved_v1,False,crosswalk_parent_day_context_not_intraday_micro_regime,738,190,0.9801824705,64,0.9433759402,318,0.9880641269,False,False,crosswalk_relation_policy_unresolved|heldout_time_wilson95_below_0_95
yfinance,NQ=F,NQ,15m,Crisis,^IXIC,nasdaq_future_candidate_requires_ndx_vs_ixic_policy,blocked_ndx_vs_ixic_policy_unresolved_v1,False,crosswalk_parent_day_context_not_intraday_micro_regime,738,9,0.7008549516,24,0.8620237953,36,0.9035813714,False,False,crosswalk_relation_policy_unresolved|calibration_support_below_50|calibration_wilson95_below_0_95|heldout_time_support_below_50|heldout_time_wilson95_below_0_95
yfinance,NQ=F,NQ,15m,Sideways,^IXIC,nasdaq_future_candidate_requires_ndx_vs_ixic_policy,blocked_ndx_vs_ixic_policy_unresolved_v1,False,crosswalk_parent_day_context_not_intraday_micro_regime,738,34,0.8984854458,56,0.9358060633,143,0.9738394126,False,False,crosswalk_relation_policy_unresolved|calibration_support_below_50|calibration_wilson95_below_0_95|heldout_time_wilson95_below_0_95
yfinance,NQ=F,NQ,1h,Bear,^IXIC,nasdaq_future_candidate_requires_ndx_vs_ixic_policy,blocked_ndx_vs_ixic_policy_unresolved_v1,False,crosswalk_parent_day_context_not_intraday_micro_regime,575,24,0.8620237953,77,0.9524815747,110,0.9662560647,False,False,crosswalk_relation_policy_unresolved|calibration_support_below_50|calibration_wilson95_below_0_95
yfinance,NQ=F,NQ,1h,Bull,^IXIC,nasdaq_future_candidate_requires_ndx_vs_ixic_policy,blocked_ndx_vs_ixic_policy_unresolved_v1,False,crosswalk_parent_day_context_not_intraday_micro_regime,575,157,0.9761164886,36,0.9035813714,245,0.9845626254,False,False,crosswalk_relation_policy_unresolved|heldout_time_support_below_50|heldout_time_wilson95_below_0_95
yfinance,NQ=F,NQ,1h,Crisis,^IXIC,nasdaq_future_candidate_requires_ndx_vs_ixic_policy,blocked_ndx_vs_ixic_policy_unresolved_v1,False,crosswalk_parent_day_context_not_intraday_micro_regime,575,0,0.0,18,0.8241207764,21,0.8453609811,False,False,crosswalk_relation_policy_unresolved|calibration_support_below_50|calibration_wilson95_below_0_95|heldout_time_support_below_50|heldout_time_wilson95_below_0_95
yfinance,NQ=F,NQ,1h,Sideways,^IXIC,nasdaq_future_candidate_requires_ndx_vs_ixic_policy,blocked_ndx_vs_ixic_policy_unresolved_v1,False,crosswalk_parent_day_context_not_intraday_micro_regime,575,23,0.8568833815,52,0.9312077639,122,0.9694738216,False,False,crosswalk_relation_policy_unresolved|calibration_support_below_50|calibration_wilson95_below_0_95|heldout_time_wilson95_below_0_95
