requirement,status,evidence,reason
every_MainRegimeV2_regime_confidence_95,blocked,"accepted_rows_added=0; new_confidence_gate=false","No accepted MainRegimeV2 packet exists under the current source/control contract."
per_regime_qualifying_condition,blocked,"no accepted regimes","Qualifying conditions cannot be accepted without accepted regimes."
cross_market_cross_cycle_context_validation,blocked,"R3 native-subhour root absent; R5 recency-extension root absent; no accepted transfer packet","Cross-context support is not canonical accepted validation."
provider_context_ibkr_tradingview_yfinance_kraken,partial,"provider mapping/readbacks exist; not promotion-ready","Provider/runtime context is diagnostic only while source/control gates remain closed."
real_chain_provider_autoquant_filter_bbn_catboost_execution_tree,partial,"Auto-Quant diagnostics exist; downstream evidence remains read-only/callability-level","Canonical merge is false, so downstream promotion rerun is disallowed."
same_markdown_multi_agent_append_only,pass,"board updates are append-only with count-once/supersession sections","No prior board sections were rewritten."
docs_experiments_evidence,pass,"all cited run roots are under docs/experiments/actionable-regime-confidence/runs","Evidence is repo-local and versionable."
no_proxy_promotion,pass,"Auto-Quant, synthetic metadata, Databento OHLCV, and NinjaTrader cache screens are non-promoting","Proxy/runtime/local-cache evidence is not treated as acceptance."
r6_source_controls_or_explicit_flip_approval,blocked,"owner export absent; approval_present=false; flip_controls_accepted=false","R6 source/control unlock has not happened."
r3_native_subhour_source_labels,blocked,"/tmp/ict-engine-native-subhour-source-label-intake absent","No source-owned native sub-hour labels are present."
r5_source_panel_recency_extension,blocked,"/tmp/ict-engine-source-panel-recency-extension absent","No post-2026-01-30 source-panel recency extension is present."
canonical_merge_and_downstream_promotion,blocked,"canonical_merge=false; downstream_promotion_rerun_allowed=false","Direct verifier, split calibration, provider/Auto-Quant, Pre-Bayes/BBN, CatBoost/path-ranking, and execution-tree promotion remain locked."
current_completion_audit,pass,"current_objective_completion_audit_after_024942_v1","Prompt-to-artifact audit maps each explicit objective requirement to real evidence and blockers."
