provider,instrument,timeframe,root,data_status,source_rows,source,attachability_status,acceptance_status,reason
yfinance,CL=F,1m,Bull,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,CL=F,1m,Bear,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,CL=F,1m,Sideways,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,CL=F,1m,Crisis,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,DIA,1m,Bull,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,DIA,1m,Bear,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,DIA,1m,Sideways,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,DIA,1m,Crisis,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,ES=F,1m,Bull,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,ES=F,1m,Bear,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,ES=F,1m,Sideways,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,ES=F,1m,Crisis,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,GC=F,1m,Bull,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,GC=F,1m,Bear,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,GC=F,1m,Sideways,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,GC=F,1m,Crisis,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,GLD,1m,Bull,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,GLD,1m,Bear,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,GLD,1m,Sideways,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,GLD,1m,Crisis,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,NQ=F,1m,Bull,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,NQ=F,1m,Bear,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,NQ=F,1m,Sideways,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,NQ=F,1m,Crisis,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,QQQ,1m,Bull,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,QQQ,1m,Bear,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,QQQ,1m,Sideways,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,QQQ,1m,Crisis,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,SPY,1m,Bull,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,SPY,1m,Bear,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,SPY,1m,Sideways,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,SPY,1m,Crisis,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,USO,1m,Bull,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,USO,1m,Bear,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,USO,1m,Sideways,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,USO,1m,Crisis,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,YM=F,1m,Bull,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,YM=F,1m,Bear,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,YM=F,1m,Sideways,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,YM=F,1m,Crisis,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,^DJI,1m,Bull,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,^DJI,1m,Bear,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,^DJI,1m,Sideways,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,^DJI,1m,Crisis,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,^GSPC,1m,Bull,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,^GSPC,1m,Bear,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
yfinance,^GSPC,1m,Sideways,ok,0,,missing_intraday_or_monthly_source_label,not_accepted_full_panel,Kaggle stock/index source labels are available only for 1d and 1w
