provider,symbol,fold,trades,wins,win_rate,avg_return,total_return_units,profit_factor,first_entry,last_entry
binance,BTCUSDT,fold_0_early,85,49,0.5764705882352941,0.001114743707066641,0.09475321510066448,1.1645515827973227,2017-08-26 08:00:00+00:00,2020-12-06 09:00:00+00:00
binance,BTCUSDT,fold_1_middle,85,51,0.6,0.0026883388281024527,0.22850880038870847,1.5818510677074176,2020-12-07 23:00:00+00:00,2023-09-20 14:00:00+00:00
binance,BTCUSDT,fold_2_late,84,51,0.6071428571428571,0.0017454457814897633,0.14661744564514012,1.356504386026292,2023-09-29 22:00:00+00:00,2026-05-10 20:00:00+00:00
ibkr,SPY,fold_0_early,27,14,0.5185185185185185,-0.00040411126777742493,-0.010911004229990473,0.861324672258875,2021-06-08T13:00:00+00:00,2023-05-09T19:00:00+00:00
ibkr,SPY,fold_1_middle,27,19,0.7037037037037037,0.0003043080397769945,0.008216317073978852,1.1489616023577955,2023-05-22T11:00:00+00:00,2024-10-21T09:00:00+00:00
ibkr,SPY,fold_2_late,27,17,0.6296296296296297,0.001018546558935222,0.027500757091250994,1.4342568457690819,2025-03-26T13:00:00+00:00,2026-05-04T17:00:00+00:00
yahoo,ES,fold_0_early,17,11,0.6470588235294118,0.0012759776555587381,0.021691620144498547,2.323111934094837,2024-06-07 08:00:00+00:00,2024-12-27 12:00:00+00:00
yahoo,ES,fold_1_middle,16,11,0.6875,0.00318719232964685,0.0509950772743496,5.033412941416794,2025-01-17 07:00:00+00:00,2025-08-28 05:00:00+00:00
yahoo,ES,fold_2_late,16,9,0.5625,0.00067371782618042,0.01077948521888672,1.5763568478939565,2025-09-12 19:00:00+00:00,2026-05-08 02:00:00+00:00
ALL,ALL,fold_0_early,128,74,0.578125,0.001584755199591557,0.2028486655477193,1.245406386486888,2017-08-26 08:00:00+00:00,2021-11-08T22:00:00+00:00
ALL,ALL,fold_1_middle,128,80,0.625,0.0020770380019418206,0.26586086424855304,1.6303047649651041,2021-11-10 02:00:00+00:00,2024-08-27T11:00:00+00:00
ALL,ALL,fold_2_late,128,78,0.609375,0.0008550170618063669,0.10944218391121496,1.2908032972201895,2024-09-11 01:00:00+00:00,2026-05-10 20:00:00+00:00
