source,assertion,value
085042_current_objective_audit,accepted_rows_added,0
085042_current_objective_audit,canonical_merge,false
085042_current_objective_audit,counted_latest_roots,"083545,083559,083618,083703"
085042_current_objective_audit,downstream_promotion_rerun,false
085042_current_objective_audit,explicit_user_selected_history,false
085042_current_objective_audit,gate_result,current_objective_audit_after_083703_v1=not_complete_source_control_absent_no_selected_history_no_downstream_promotion
085042_current_objective_audit,promotion_allowed,false
085042_current_objective_audit,r3_native_subhour_crisis_present,false
085042_current_objective_audit,r3_native_subhour_required_files_present,true
085042_current_objective_audit,r3_native_subhour_rows,5032903
085042_current_objective_audit,r3_native_subhour_unlock,false
085042_current_objective_audit,selected_data_autoquant_promotion,false
085042_current_objective_audit,source_control_evidence_acquired,false
085042_current_objective_audit,strict_full_objective,false
085042_current_objective_audit,trade_usable,false
085042_current_objective_audit,uncounted_empty_roots,083711
085042_current_objective_audit,update_goal,false
085042_current_objective_audit,valid_required_root_unlock,false
085131_dropzone_dispatch_refresh,approved_dispatch_channel_present,false
085131_dropzone_dispatch_refresh,canonical_merge,false
085131_dropzone_dispatch_refresh,current_r6_required_package_complete,false
085131_dropzone_dispatch_refresh,dispatch_ticket_export_license_provenance_present,false
085131_dropzone_dispatch_refresh,downstream_promotion_rerun,false
085131_dropzone_dispatch_refresh,gate_result,source_control_dropzone_dispatch_refresh_after_083703_v1=no_new_owner_export_or_approved_dispatch_no_unlock
085131_dropzone_dispatch_refresh,legacy_r6_required_package_complete,false
085131_dropzone_dispatch_refresh,owner_data_cli_ready,false
085131_dropzone_dispatch_refresh,owner_data_env_names_present_count,0
085131_dropzone_dispatch_refresh,post_083703_dispatch_candidate_files,0
085131_dropzone_dispatch_refresh,post_083703_dropzone_candidates,0
085131_dropzone_dispatch_refresh,promotion_allowed,false
085131_dropzone_dispatch_refresh,r3_native_subhour_root_present,true
085131_dropzone_dispatch_refresh,r5_recency_root_present,false
085131_dropzone_dispatch_refresh,selected_data_autoquant_promotion,false
085131_dropzone_dispatch_refresh,source_control_evidence_acquired,false
085131_dropzone_dispatch_refresh,strict_full_objective,false
085131_dropzone_dispatch_refresh,trade_usable,false
085131_dropzone_dispatch_refresh,update_goal,false
085131_dropzone_dispatch_refresh,valid_required_root_unlock,false
085612_public_route_triage,accepted_rows_added,0
085612_public_route_triage,canonical_merge,false
085612_public_route_triage,downstream_promotion_rerun,false
085612_public_route_triage,explicit_flip_as_control_approval_acquired,false
085612_public_route_triage,gate_result,public_spoofing_source_control_route_triage_after_085131_v1=no_public_owner_export_or_matched_control_unlock
085612_public_route_triage,official_owner_export_package_hits,0
085612_public_route_triage,promotion_allowed,false
085612_public_route_triage,public_academic_methodology_hits,4
085612_public_route_triage,public_simulated_package_hits,1
085612_public_route_triage,selected_data_autoquant_promotion,false
085612_public_route_triage,source_control_evidence_acquired,false
085612_public_route_triage,strict_full_objective,false
085612_public_route_triage,trade_usable,false
085612_public_route_triage,update_goal,false
085612_public_route_triage,valid_required_root_unlock,false
085612_public_route_triage,verifier_native_positive_control_provenance_packages_acquired,0
