package,file,field,required
price_root_equivalence,source_label_equivalence_rows.csv,package_id,True
price_root_equivalence,source_label_equivalence_rows.csv,market_family,True
price_root_equivalence,source_label_equivalence_rows.csv,root_symbol,True
price_root_equivalence,source_label_equivalence_rows.csv,source_symbol,True
price_root_equivalence,source_label_equivalence_rows.csv,source_timeframe,True
price_root_equivalence,source_label_equivalence_rows.csv,source_start,True
price_root_equivalence,source_label_equivalence_rows.csv,source_end,True
price_root_equivalence,source_label_equivalence_rows.csv,source_label_column,True
price_root_equivalence,source_label_equivalence_rows.csv,main_regime_v2_label,True
price_root_equivalence,source_label_equivalence_rows.csv,qualifying_condition_id,True
price_root_equivalence,source_label_equivalence_rows.csv,validation_instrument,True
price_root_equivalence,source_label_equivalence_rows.csv,validation_period,True
price_root_equivalence,source_label_equivalence_rows.csv,validation_market_context,True
price_root_equivalence,source_label_equivalence_rows.csv,equivalence_type,True
price_root_equivalence,source_label_equivalence_rows.csv,owner_approval_reference,True
price_root_equivalence,source_label_equivalence_rows.csv,source_row_id,True
price_root_equivalence,source_label_equivalence_rows.csv,provenance_hash,True
source_panel_recency_extension,source_panel_recency_extension_rows.csv,package_id,True
source_panel_recency_extension,source_panel_recency_extension_rows.csv,source_dataset,True
source_panel_recency_extension,source_panel_recency_extension_rows.csv,market_family,True
source_panel_recency_extension,source_panel_recency_extension_rows.csv,symbol,True
source_panel_recency_extension,source_panel_recency_extension_rows.csv,timeframe,True
source_panel_recency_extension,source_panel_recency_extension_rows.csv,timestamp,True
source_panel_recency_extension,source_panel_recency_extension_rows.csv,main_regime_v2_label,True
source_panel_recency_extension,source_panel_recency_extension_rows.csv,qualifying_condition_id,True
source_panel_recency_extension,source_panel_recency_extension_rows.csv,validation_instrument,True
source_panel_recency_extension,source_panel_recency_extension_rows.csv,validation_period,True
source_panel_recency_extension,source_panel_recency_extension_rows.csv,validation_market_context,True
source_panel_recency_extension,source_panel_recency_extension_rows.csv,source_revision_date,True
source_panel_recency_extension,source_panel_recency_extension_rows.csv,source_row_id,True
source_panel_recency_extension,source_panel_recency_extension_rows.csv,provenance_hash,True
source_panel_recency_extension,source_panel_recency_extension_rows.csv,non_proxy_attestation,True
direct_manipulation_species,direct_manipulation_positive_rows.csv,event_id,True
direct_manipulation_species,direct_manipulation_positive_rows.csv,species,True
direct_manipulation_species,direct_manipulation_positive_rows.csv,market_family,True
direct_manipulation_species,direct_manipulation_positive_rows.csv,symbol,True
direct_manipulation_species,direct_manipulation_positive_rows.csv,timeframe,True
direct_manipulation_species,direct_manipulation_positive_rows.csv,event_start,True
direct_manipulation_species,direct_manipulation_positive_rows.csv,event_end,True
direct_manipulation_species,direct_manipulation_positive_rows.csv,positive_label,True
direct_manipulation_species,direct_manipulation_positive_rows.csv,source_owner,True
direct_manipulation_species,direct_manipulation_positive_rows.csv,source_dataset,True
direct_manipulation_species,direct_manipulation_positive_rows.csv,source_row_id,True
direct_manipulation_species,direct_manipulation_positive_rows.csv,evidence_type,True
direct_manipulation_species,direct_manipulation_positive_rows.csv,matched_control_group_id,True
direct_manipulation_species,direct_manipulation_positive_rows.csv,provenance_hash,True
direct_manipulation_species,direct_manipulation_positive_rows.csv,source_url_or_record,True
direct_manipulation_species,direct_manipulation_matched_controls.csv,matched_control_group_id,True
direct_manipulation_species,direct_manipulation_matched_controls.csv,control_row_id,True
direct_manipulation_species,direct_manipulation_matched_controls.csv,control_symbol,True
direct_manipulation_species,direct_manipulation_matched_controls.csv,control_start,True
direct_manipulation_species,direct_manipulation_matched_controls.csv,control_end,True
direct_manipulation_species,direct_manipulation_matched_controls.csv,matching_dimensions,True
direct_manipulation_species,direct_manipulation_matched_controls.csv,normal_label,True
direct_manipulation_species,direct_manipulation_matched_controls.csv,source_owner,True
direct_manipulation_species,direct_manipulation_matched_controls.csv,source_dataset,True
direct_manipulation_species,direct_manipulation_matched_controls.csv,source_row_id,True
direct_manipulation_species,direct_manipulation_matched_controls.csv,provenance_hash,True
