schema_version,run_id,recipe_id,variant_id,parent_regime_root,regime_profit_branch_path,open_time,close_time,hold_hours,direction,pnl,gross_reference,realized_outcome,entry_btc_close,crypto_breadth,equity_breadth,cross_breadth,btc_vol24,btc_dd24,btc_eth_spread_z,year,row_index
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-09T14:00:00Z,2025-06-10T02:00:00Z,12,long_btc,0.016604703321697924,0.017804703321697923,win,107610.33,1.0,1.0,1.0,0.008846355276527858,-0.0,1.0892588767434945,2025,12
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-09T16:00:00Z,2025-06-10T04:00:00Z,12,long_btc,0.018941412740183107,0.020141412740183107,win,107697.51,1.0,1.0,1.0,0.008285926370854787,-0.0,1.1965861486481395,2025,14
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-09T17:00:00Z,2025-06-10T05:00:00Z,12,long_btc,0.011705404182999903,0.012905404182999902,win,108337.56,1.0,1.0,1.0,0.008338694597450685,-0.0,1.3571893411893814,2025,15
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-09T18:00:00Z,2025-06-10T06:00:00Z,12,long_btc,0.007958459984482726,0.009158459984482725,win,108446.18,1.0,1.0,1.0,0.008334969351752578,-0.0,1.4431498205621576,2025,16
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-09T19:00:00Z,2025-06-10T07:00:00Z,12,long_btc,0.002668660095102783,0.0038686600951027827,win,108564.72,1.0,0.3333333333333333,0.75,0.008334980888320569,-0.0,1.406703190933927,2025,17
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-10T13:00:00Z,2025-06-11T01:00:00Z,12,long_btc,-0.005756321524449624,-0.004556321524449625,loss,109305.28,1.0,1.0,1.0,0.008338856813757187,-0.0,-0.06790870990365691,2025,18
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-10T14:00:00Z,2025-06-11T02:00:00Z,12,long_btc,-7.350406246500068e-05,0.0011264959375349992,loss,108620.01,1.0,1.0,1.0,0.008481532319201948,0.006269322030921121,-0.21628930986072076,2025,19
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-10T15:00:00Z,2025-06-11T03:00:00Z,12,long_btc,-0.019038026950682706,-0.017838026950682706,loss,109015.42,1.0,1.0,1.0,0.008483356539295177,0.0026518389596550396,-0.152644680508115,2025,20
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-10T16:00:00Z,2025-06-11T04:00:00Z,12,long_btc,-0.011390524133372625,-0.010190524133372625,loss,108720.61,1.0,1.0,1.0,0.00845897407490289,0.005348963929281303,-0.4927295317123844,2025,21
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-10T17:00:00Z,2025-06-11T05:00:00Z,12,long_btc,-0.016749615463405497,-0.015549615463405497,loss,108711.37,1.0,1.0,1.0,0.008465854001026528,0.005433497814561261,-0.6506839595324808,2025,22
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-10T18:00:00Z,2025-06-11T06:00:00Z,12,long_btc,-0.015270612298158202,-0.014070612298158203,loss,109282.38,1.0,1.0,1.0,0.008477288564003017,0.0002095049754229361,-0.600350886980194,2025,23
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-10T19:00:00Z,2025-06-11T07:00:00Z,12,long_btc,-0.012511438439899901,-0.011311438439899901,loss,109526.3,1.0,1.0,1.0,0.007933498746001138,-0.0,-0.7246281038212005,2025,24
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-11T13:00:00Z,2025-06-12T01:00:00Z,12,long_btc,-0.02055241238466867,-0.01935241238466867,loss,109684.0,1.0,1.0,1.0,0.007916127438690364,-0.0,-0.7868397680445212,2025,25
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-11T14:00:00Z,2025-06-12T02:00:00Z,12,long_btc,-0.029214769535698258,-0.02801476953569826,loss,109866.69,1.0,1.0,1.0,0.007852420388871984,-0.0,-1.0665204297750932,2025,26
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-11T15:00:00Z,2025-06-12T03:00:00Z,12,long_btc,-0.04679373111940779,-0.04559373111940779,loss,109735.7,1.0,1.0,1.0,0.007379619157832425,0.001192263096303381,-1.59900241155421,2025,27
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-11T16:00:00Z,2025-06-12T04:00:00Z,12,long_btc,-0.04203210266724824,-0.04083210266724824,loss,109439.38,1.0,1.0,1.0,0.006346773224156784,0.0038893499021405153,-2.538040737895735,2025,28
board-b-b2r-repeat-crypto-options-breadth/v1,20260512T024354+0800-codex-board-b-b2r-repeat-crypto-options-breadth-v1,CryptoOptionsBreadthRootV1,crypto_equity_risk_on_h12,Bull,Bull -> CryptoEquityRiskOn -> BreadthMomentum -> CryptoOptionsBreadthRootV1:crypto_equity_risk_on_h12,2025-06-24T16:00:00Z,2025-06-25T04:00:00Z,12,long_btc,0.010203502330801674,0.011403502330801674,win,106225.26,1.0,1.0,1.0,0.008559420582332783,-0.0,0.443542990944659,2025,84
