source_symbol,provider_symbol,source_positive_events,source_controls_selected,provider_rows,attached_positive_event_horizon_rows,attached_control_horizon_rows,status,first_provider_dt,last_provider_dt
ADX,ADXBTC,3,9,8836,15,45,ok,2019-07-05T15:00:00+00:00,2020-07-08T18:00:00+00:00
ARDR,ARDRUSDT,3,9,4136,15,45,ok,2020-05-15T08:00:00+00:00,2020-11-03T18:00:00+00:00
BNT,BNTUSDT,6,18,1895,30,90,ok,2020-02-06T10:00:00+00:00,2020-04-25T17:00:00+00:00
CVC,CVCUSDT,2,6,6073,10,30,ok,2019-08-27T04:00:00+00:00,2020-05-06T17:00:00+00:00
DUSK,DUSKBTC,1,3,29,5,15,ok,2020-10-30T14:00:00+00:00,2020-10-31T18:00:00+00:00
ONG,ONGBTC,5,15,12271,25,75,ok,2019-08-19T14:00:00+00:00,2021-01-12T18:00:00+00:00
PIVX,PIVXUSDT,4,12,0,0,0,no_rows,,
POWR,POWRUSDT,1,3,0,0,0,no_rows,,
REQ,REQUSDT,2,6,0,0,0,no_rows,,
RLC,RLCUSDT,3,9,3823,15,45,ok,2019-11-14T03:00:00+00:00,2020-04-21T18:00:00+00:00
STEEM,STEEMBTC,1,3,29,5,15,ok,2021-01-18T15:00:00+00:00,2021-01-19T19:00:00+00:00
STORJ,STORJUSDT,3,9,0,0,0,no_rows,,
SYS,SYSUSDT,6,18,0,0,0,no_rows,,
