run_id,row_type,target,source_symbol,provider_symbol,pump_index,event_dt,entry_dt,exit_dt,horizon_hours,provider_entry_open,provider_exit_close,provider_return,event_month,source,provider,bridge_precision,parent_regime_root,regime_profit_branch_path
20260511T200931+0800-codex-board-b-sapienza-binance-pnl-bridge-v1,sapienza_positive_pump_event,1,ADX,ADXBTC,200,2019-07-05T17:00:10+00:00,2019-07-05T18:00:00+00:00,2019-07-05T18:00:00+00:00,1,1.257e-05,1.234e-05,-0.018297533810660238,2019-07,Sapienza_pinned_labeled_features_5S,binance_public_api,source_timestamp_symbol_to_provider_1h_entry_exit,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpDumpPositiveControl -> SapienzaBinanceProviderExit -> pnl_bridge
20260511T200931+0800-codex-board-b-sapienza-binance-pnl-bridge-v1,sapienza_positive_pump_event,1,ADX,ADXBTC,200,2019-07-05T17:00:10+00:00,2019-07-05T18:00:00+00:00,2019-07-05T20:00:00+00:00,3,1.257e-05,1.223e-05,-0.02704852824184567,2019-07,Sapienza_pinned_labeled_features_5S,binance_public_api,source_timestamp_symbol_to_provider_1h_entry_exit,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpDumpPositiveControl -> SapienzaBinanceProviderExit -> pnl_bridge
20260511T200931+0800-codex-board-b-sapienza-binance-pnl-bridge-v1,sapienza_positive_pump_event,1,ADX,ADXBTC,200,2019-07-05T17:00:10+00:00,2019-07-05T18:00:00+00:00,2019-07-05T23:00:00+00:00,6,1.257e-05,1.254e-05,-0.0023866348448686736,2019-07,Sapienza_pinned_labeled_features_5S,binance_public_api,source_timestamp_symbol_to_provider_1h_entry_exit,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpDumpPositiveControl -> SapienzaBinanceProviderExit -> pnl_bridge
20260511T200931+0800-codex-board-b-sapienza-binance-pnl-bridge-v1,sapienza_positive_pump_event,1,ADX,ADXBTC,200,2019-07-05T17:00:10+00:00,2019-07-05T18:00:00+00:00,2019-07-06T05:00:00+00:00,12,1.257e-05,1.186e-05,-0.056483691328560015,2019-07,Sapienza_pinned_labeled_features_5S,binance_public_api,source_timestamp_symbol_to_provider_1h_entry_exit,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpDumpPositiveControl -> SapienzaBinanceProviderExit -> pnl_bridge
20260511T200931+0800-codex-board-b-sapienza-binance-pnl-bridge-v1,sapienza_positive_pump_event,1,ADX,ADXBTC,200,2019-07-05T17:00:10+00:00,2019-07-05T18:00:00+00:00,2019-07-06T17:00:00+00:00,24,1.257e-05,1.168e-05,-0.0708035003977725,2019-07,Sapienza_pinned_labeled_features_5S,binance_public_api,source_timestamp_symbol_to_provider_1h_entry_exit,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpDumpPositiveControl -> SapienzaBinanceProviderExit -> pnl_bridge
20260511T200931+0800-codex-board-b-sapienza-binance-pnl-bridge-v1,sapienza_positive_pump_event,1,ADX,ADXBTC,222,2019-07-26T17:59:50+00:00,2019-07-26T18:00:00+00:00,2019-07-26T18:00:00+00:00,1,1.156e-05,1.132e-05,-0.02076124567474047,2019-07,Sapienza_pinned_labeled_features_5S,binance_public_api,source_timestamp_symbol_to_provider_1h_entry_exit,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpDumpPositiveControl -> SapienzaBinanceProviderExit -> pnl_bridge
20260511T200931+0800-codex-board-b-sapienza-binance-pnl-bridge-v1,sapienza_positive_pump_event,1,ADX,ADXBTC,222,2019-07-26T17:59:50+00:00,2019-07-26T18:00:00+00:00,2019-07-26T20:00:00+00:00,3,1.156e-05,1.146e-05,-0.008650519031141779,2019-07,Sapienza_pinned_labeled_features_5S,binance_public_api,source_timestamp_symbol_to_provider_1h_entry_exit,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpDumpPositiveControl -> SapienzaBinanceProviderExit -> pnl_bridge
20260511T200931+0800-codex-board-b-sapienza-binance-pnl-bridge-v1,sapienza_positive_pump_event,1,ADX,ADXBTC,222,2019-07-26T17:59:50+00:00,2019-07-26T18:00:00+00:00,2019-07-26T23:00:00+00:00,6,1.156e-05,1.132e-05,-0.02076124567474047,2019-07,Sapienza_pinned_labeled_features_5S,binance_public_api,source_timestamp_symbol_to_provider_1h_entry_exit,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpDumpPositiveControl -> SapienzaBinanceProviderExit -> pnl_bridge
20260511T200931+0800-codex-board-b-sapienza-binance-pnl-bridge-v1,sapienza_positive_pump_event,1,ADX,ADXBTC,222,2019-07-26T17:59:50+00:00,2019-07-26T18:00:00+00:00,2019-07-27T05:00:00+00:00,12,1.156e-05,1.083e-05,-0.06314878892733566,2019-07,Sapienza_pinned_labeled_features_5S,binance_public_api,source_timestamp_symbol_to_provider_1h_entry_exit,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpDumpPositiveControl -> SapienzaBinanceProviderExit -> pnl_bridge
20260511T200931+0800-codex-board-b-sapienza-binance-pnl-bridge-v1,sapienza_positive_pump_event,1,ADX,ADXBTC,222,2019-07-26T17:59:50+00:00,2019-07-26T18:00:00+00:00,2019-07-27T17:00:00+00:00,24,1.156e-05,1.11e-05,-0.03979238754325254,2019-07,Sapienza_pinned_labeled_features_5S,binance_public_api,source_timestamp_symbol_to_provider_1h_entry_exit,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpDumpPositiveControl -> SapienzaBinanceProviderExit -> pnl_bridge
