venue,candidate_class,rule_type,clauses,train_lcb,cal_lcb,test_lcb,cal_support,test_support,cal_coverage,test_coverage,accepted_rule_only
LooksRare,strict_non_leaky,and2,"[{""feature"": ""amount"", ""op"": "">="", ""threshold"": 4.28795e+19}, {""feature"": ""seller_7d_trade_count"", ""op"": "">="", ""threshold"": 114.0}]",0.998363136629,0.917285589914,0.984246080058,84,240,0.001047055157,0.002991586164,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""log_amount"", ""op"": "">="", ""threshold"": 45.204925530139626}, {""feature"": ""seller_7d_trade_count"", ""op"": "">="", ""threshold"": 114.0}]",0.998363136629,0.917285589914,0.984246080058,84,240,0.001047055157,0.002991586164,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""abs_price_deviation"", ""op"": "">="", ""threshold"": 1.3697882999737463e+19}, {""feature"": ""seller_7d_trade_count"", ""op"": "">="", ""threshold"": 55.0}]",0.998342923635,0.866807749061,0.990464092668,25,399,0.000311623559,0.004973511998,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""abs_price_deviation"", ""op"": "">="", ""threshold"": 1.3697882999737463e+19}, {""feature"": ""seller_7d_trade_count"", ""op"": "">="", ""threshold"": 74.0}]",0.998100860989,0.856883381550,0.987058887138,23,293,0.000286693674,0.003652228108,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""amount"", ""op"": "">="", ""threshold"": 4.28795e+19}, {""feature"": ""seller_7d_trade_count"", ""op"": "">="", ""threshold"": 74.0}]",0.998548703882,0.851006616948,0.991892944889,118,470,0.001470863197,0.005858522904,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""log_amount"", ""op"": "">="", ""threshold"": 45.204925530139626}, {""feature"": ""seller_7d_trade_count"", ""op"": "">="", ""threshold"": 74.0}]",0.998548703882,0.851006616948,0.991892944889,118,470,0.001470863197,0.005858522904,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""abs_price_deviation"", ""op"": "">="", ""threshold"": 1.3697882999737463e+19}, {""feature"": ""seller_7d_trade_count"", ""op"": "">="", ""threshold"": 114.0}]",0.996290735832,0.831820775947,0.980284181591,19,191,0.000236833905,0.002380803989,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""abs_price_deviation"", ""op"": "">="", ""threshold"": 1.3697882999737463e+19}, {""feature"": ""seller_7d_trade_count"", ""op"": "">="", ""threshold"": 43.0}]",0.997397425482,0.828244781207,0.993038836138,29,548,0.000361483328,0.006830788408,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""amount"", ""op"": "">="", ""threshold"": 4.28795e+19}, {""feature"": ""seller_7d_trade_count"", ""op"": "">="", ""threshold"": 55.0}]",0.998981163770,0.822244898277,0.994736584536,133,726,0.001657837333,0.009049548146,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""log_amount"", ""op"": "">="", ""threshold"": 45.204925530139626}, {""feature"": ""seller_7d_trade_count"", ""op"": "">="", ""threshold"": 55.0}]",0.998981163770,0.822244898277,0.994736584536,133,726,0.001657837333,0.009049548146,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""amount"", ""op"": "">="", ""threshold"": 4.28795e+19}, {""feature"": ""seller_7d_trade_count"", ""op"": "">="", ""threshold"": 43.0}]",0.998953762542,0.782384121906,0.993204163829,146,1069,0.001819881583,0.013325023372,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""log_amount"", ""op"": "">="", ""threshold"": 45.204925530139626}, {""feature"": ""seller_7d_trade_count"", ""op"": "">="", ""threshold"": 43.0}]",0.998953762542,0.782384121906,0.993204163829,146,1069,0.001819881583,0.013325023372,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""amount"", ""op"": "">="", ""threshold"": 4.28795e+19}, {""feature"": ""abs_price_deviation"", ""op"": "">="", ""threshold"": 9.766675250000029e+16}]",0.994246572653,0.719701756345,0.994672341719,893,3450,0.011131193518,0.043004051106,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""log_amount"", ""op"": "">="", ""threshold"": 45.204925530139626}, {""feature"": ""abs_price_deviation"", ""op"": "">="", ""threshold"": 9.766675250000029e+16}]",0.994246572653,0.719701756345,0.994672341719,893,3450,0.011131193518,0.043004051106,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""amount"", ""op"": "">="", ""threshold"": 4.28795e+19}, {""feature"": ""abs_price_deviation"", ""op"": "">="", ""threshold"": 2.275e+17}]",0.994440094061,0.718157070815,0.994670799462,888,3449,0.011068868806,0.042991586164,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""log_amount"", ""op"": "">="", ""threshold"": 45.204925530139626}, {""feature"": ""abs_price_deviation"", ""op"": "">="", ""threshold"": 2.275e+17}]",0.994440094061,0.718157070815,0.994670799462,888,3449,0.011068868806,0.042991586164,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""amount"", ""op"": "">="", ""threshold"": 4.28795e+19}, {""feature"": ""abs_price_deviation"", ""op"": "">="", ""threshold"": 6.390144361910077e+17}]",0.994692052027,0.716562944428,0.994647557998,868,3434,0.010819569959,0.042804612029,False
LooksRare,strict_non_leaky,and2,"[{""feature"": ""log_amount"", ""op"": "">="", ""threshold"": 45.204925530139626}, {""feature"": ""abs_price_deviation"", ""op"": "">="", ""threshold"": 6.390144361910077e+17}]",0.994692052027,0.716562944428,0.994647557998,868,3434,0.010819569959,0.042804612029,False
LooksRare,strict_non_leaky,univariate,"[{""feature"": ""buyer_7d_trade_count"", ""op"": "">="", ""threshold"": 4300.0}]",0.712027895609,0.716256233172,0.729888475460,3696,3527,0.046070426924,0.043963851667,False
LooksRare,strict_non_leaky,univariate,"[{""feature"": ""buyer_7d_trade_count"", ""op"": "">="", ""threshold"": 5778.0}]",0.695078788717,0.709766257303,0.739619329161,1137,910,0.014172639452,0.011343097538,False
Blur,strict_non_leaky,and2,"[{""feature"": ""buyer_24h_trade_count"", ""op"": "">="", ""threshold"": 8258.0}, {""feature"": ""seller_7d_trade_count"", ""op"": "">="", ""threshold"": 701.0}]",0.976711508810,0.968175147016,0.959330377396,225,383,0.000324981548,0.000553190014,False
Blur,strict_non_leaky,and2,"[{""feature"": ""seller_7d_trade_count"", ""op"": "">="", ""threshold"": 1225.0}, {""feature"": ""buyer_24h_trade_count"", ""op"": "">="", ""threshold"": 8258.0}]",0.979217547593,0.952481574718,0.987601856655,77,306,0.000111215908,0.000441974267,False
Blur,strict_non_leaky,and2,"[{""feature"": ""buyer_7d_trade_count"", ""op"": "">="", ""threshold"": 41905.0}, {""feature"": ""seller_7d_trade_count"", ""op"": "">="", ""threshold"": 701.0}]",0.944450815132,0.970335644853,0.977606038506,187,249,0.000270095776,0.000359645727,False
