split_id,source_provider,rows,wins,losses,win_rate,wilson_95_low,wilson_95_high,total_pnl,avg_pnl,open_start_utc,open_end_utc,meets_min_context_rows
chronological_q1,binance_public,17,9,8,0.529412,0.309632,0.738349,244.135858,14.360933,2026-04-05T03:00:00+00:00,2026-04-16T15:00:00+00:00,False
chronological_q1,bybit_public,18,9,9,0.5,0.29031,0.70969,229.34399,12.741333,2026-04-05T03:00:00+00:00,2026-04-16T15:00:00+00:00,False
chronological_q1,ibkr_paxos_long_midpoint,16,7,9,0.4375,0.230987,0.668214,210.882763,13.180173,2026-04-05T09:00:00+00:00,2026-04-16T15:00:00+00:00,False
chronological_q1,kraken_public,2,1,1,0.5,0.094531,0.905469,14.658001,7.329001,2026-04-16T12:00:00+00:00,2026-04-16T15:00:00+00:00,False
chronological_q1,tvr_default_binance,2,1,1,0.5,0.094531,0.905469,13.060354,6.530177,2026-04-16T12:00:00+00:00,2026-04-16T15:00:00+00:00,False
chronological_q1,yfinance,8,6,2,0.75,0.409275,0.928521,311.578191,38.947274,2026-04-05T03:00:00+00:00,2026-04-16T15:00:00+00:00,False
chronological_q2,binance_public,12,4,8,0.333333,0.13812,0.609378,-75.781498,-6.315125,2026-04-16T16:00:00+00:00,2026-04-23T15:00:00+00:00,False
chronological_q2,bybit_public,11,4,7,0.363636,0.151665,0.646199,-53.866125,-4.89692,2026-04-16T16:00:00+00:00,2026-04-23T15:00:00+00:00,False
chronological_q2,ibkr_paxos_long_midpoint,8,4,4,0.5,0.215216,0.784784,64.734484,8.09181,2026-04-16T16:00:00+00:00,2026-04-23T15:00:00+00:00,False
chronological_q2,kraken_public,10,4,6,0.4,0.16818,0.687326,12.978482,1.297848,2026-04-16T16:00:00+00:00,2026-04-23T15:00:00+00:00,False
chronological_q2,tvr_default_binance,12,4,8,0.333333,0.13812,0.609378,-75.559543,-6.296629,2026-04-16T16:00:00+00:00,2026-04-23T15:00:00+00:00,False
chronological_q2,yfinance,3,1,2,0.333333,0.061492,0.79234,-43.935399,-14.645133,2026-04-16T16:00:00+00:00,2026-04-20T10:00:00+00:00,False
chronological_q3,binance_public,12,1,11,0.083333,0.014865,0.35388,-135.283246,-11.273604,2026-04-23T23:00:00+00:00,2026-04-30T08:00:00+00:00,False
chronological_q3,bybit_public,12,1,11,0.083333,0.014865,0.35388,-162.964594,-13.580383,2026-04-23T23:00:00+00:00,2026-04-30T08:00:00+00:00,False
chronological_q3,ibkr_paxos_long_midpoint,9,0,9,0.0,0.0,0.299145,-220.93986,-24.548873,2026-04-23T23:00:00+00:00,2026-04-29T22:00:00+00:00,False
chronological_q3,kraken_public,9,0,9,0.0,0.0,0.299145,-177.293126,-19.699236,2026-04-23T23:00:00+00:00,2026-04-29T22:00:00+00:00,False
chronological_q3,tvr_default_binance,12,1,11,0.083333,0.014865,0.35388,-133.920381,-11.160032,2026-04-23T23:00:00+00:00,2026-04-30T08:00:00+00:00,False
chronological_q3,yfinance,5,0,5,0.0,0.0,0.434482,-146.763801,-29.35276,2026-04-24T12:00:00+00:00,2026-04-29T22:00:00+00:00,False
chronological_q4,binance_public,11,4,7,0.363636,0.151665,0.646199,-53.8274,-4.8934,2026-05-03T08:00:00+00:00,2026-05-11T12:00:00+00:00,False
chronological_q4,bybit_public,10,4,6,0.4,0.16818,0.687326,-35.805606,-3.580561,2026-05-03T08:00:00+00:00,2026-05-11T16:00:00+00:00,False
chronological_q4,ibkr_paxos_long_midpoint,11,4,7,0.363636,0.151665,0.646199,16.827552,1.529777,2026-04-30T13:00:00+00:00,2026-05-11T10:00:00+00:00,False
chronological_q4,kraken_public,11,5,6,0.454545,0.212713,0.719908,23.111386,2.101035,2026-04-30T13:00:00+00:00,2026-05-11T16:00:00+00:00,False
chronological_q4,tvr_default_binance,11,4,7,0.363636,0.151665,0.646199,-53.296206,-4.84511,2026-05-03T08:00:00+00:00,2026-05-11T12:00:00+00:00,False
chronological_q4,yfinance,5,3,2,0.6,0.230724,0.882379,43.92697,8.785394,2026-05-03T08:00:00+00:00,2026-05-10T23:00:00+00:00,False
