provider,query,title,url,matched_required_terms,summary
harvard_dataverse,native_subhour_source_label_rows Crisis,Chapter 5: The paradox of progress,https://doi.org/10.7910/DVN/UNM2S7,,"{""name"": ""Chapter 5: The paradox of progress"", ""type"": ""dataset"", ""url"": ""https://doi.org/10.7910/DVN/UNM2S7"", ""global_id"": ""doi:10.7910/DVN/UNM2S7"", ""description"": ""Chapter 5: The paradox of progress"", ""published_at"": ""2025-08-26T13:06:03Z"", ""publisher"": ""Chile's Transformation Amidst Crisis: The Theseus Paradox"", ""citationHtml"": ""Bunker, Kenneth, 2025, \""Chapter 5: The paradox of progress\"", <a href=\""https://doi.org/10.7910/DVN/UNM2S7\"" target=\""_blank\"">https://doi.org/10.7910/DVN/UNM2S7</a>"
harvard_dataverse,native_subhour_source_label_rows Crisis,Chapter 6: A shifting political system,https://doi.org/10.7910/DVN/JO4KUY,,"{""name"": ""Chapter 6: A shifting political system"", ""type"": ""dataset"", ""url"": ""https://doi.org/10.7910/DVN/JO4KUY"", ""global_id"": ""doi:10.7910/DVN/JO4KUY"", ""description"": ""Chapter 6: A shifting political system"", ""published_at"": ""2025-08-26T13:06:51Z"", ""publisher"": ""Chile's Transformation Amidst Crisis: The Theseus Paradox"", ""citationHtml"": ""Bunker, Kenneth, 2025, \""Chapter 6: A shifting political system\"", <a href=\""https://doi.org/10.7910/DVN/JO4KUY\"" target=\""_blank\"">https://doi.org/10.7910/DV"
harvard_dataverse,native_subhour_source_label_rows Crisis,"Chapter 9: October 18, 2019",https://doi.org/10.7910/DVN/0GROZS,,"{""name"": ""Chapter 9: October 18, 2019"", ""type"": ""dataset"", ""url"": ""https://doi.org/10.7910/DVN/0GROZS"", ""global_id"": ""doi:10.7910/DVN/0GROZS"", ""description"": ""Chapter 9: October 18, 2019"", ""published_at"": ""2025-08-26T13:09:12Z"", ""publisher"": ""Chile's Transformation Amidst Crisis: The Theseus Paradox"", ""citationHtml"": ""Bunker, Kenneth, 2025, \""Chapter 9: October 18, 2019\"", <a href=\""https://doi.org/10.7910/DVN/0GROZS\"" target=\""_blank\"">https://doi.org/10.7910/DVN/0GROZS</a>, Harvard Dataverse, "
harvard_dataverse,native_subhour_source_label_rows Crisis,Chapter 7: The erosion of voter-party linkages and representation backsliding,https://doi.org/10.7910/DVN/9MM5JG,,"{""name"": ""Chapter 7: The erosion of voter-party linkages and representation backsliding"", ""type"": ""dataset"", ""url"": ""https://doi.org/10.7910/DVN/9MM5JG"", ""global_id"": ""doi:10.7910/DVN/9MM5JG"", ""description"": ""Chapter 7: The erosion of voter-party linkages and representation backsliding"", ""published_at"": ""2025-08-26T13:13:26Z"", ""publisher"": ""Chile's Transformation Amidst Crisis: The Theseus Paradox"", ""citationHtml"": ""Bunker, Kenneth, 2025, \""Chapter 7: The erosion of voter-party linkages and repr"
harvard_dataverse,native_subhour_source_label_rows Crisis,Chapter 16: The (second) constitutional council,https://doi.org/10.7910/DVN/S6243I,,"{""name"": ""Chapter 16: The (second) constitutional council"", ""type"": ""dataset"", ""url"": ""https://doi.org/10.7910/DVN/S6243I"", ""global_id"": ""doi:10.7910/DVN/S6243I"", ""description"": ""Chapter 16: The second constitutional council"", ""published_at"": ""2025-08-26T13:12:34Z"", ""publisher"": ""Chile's Transformation Amidst Crisis: The Theseus Paradox"", ""citationHtml"": ""Bunker, Kenneth, 2025, \""Chapter 16: The (second) constitutional council\"", <a href=\""https://doi.org/10.7910/DVN/S6243I\"" target=\""_blank\"">h"
harvard_dataverse,native_subhour_source_label_rows Crisis,Chapter 12: The (first) constitutional convention,https://doi.org/10.7910/DVN/JCFVYX,,"{""name"": ""Chapter 12: The (first) constitutional convention"", ""type"": ""dataset"", ""url"": ""https://doi.org/10.7910/DVN/JCFVYX"", ""global_id"": ""doi:10.7910/DVN/JCFVYX"", ""description"": ""Chapter 12: The first constitutional convention"", ""published_at"": ""2025-08-26T13:12:57Z"", ""publisher"": ""Chile's Transformation Amidst Crisis: The Theseus Paradox"", ""citationHtml"": ""Bunker, Kenneth, 2025, \""Chapter 12: The (first) constitutional convention\"", <a href=\""https://doi.org/10.7910/DVN/JCFVYX\"" target=\""_bla"
harvard_dataverse,native_subhour_source_label_rows Crisis,Chapter 15: From instability to realignment,https://doi.org/10.7910/DVN/NRRSIX,,"{""name"": ""Chapter 15: From instability to realignment"", ""type"": ""dataset"", ""url"": ""https://doi.org/10.7910/DVN/NRRSIX"", ""global_id"": ""doi:10.7910/DVN/NRRSIX"", ""description"": ""Chapter 15: From instability to realignment"", ""published_at"": ""2025-08-26T13:11:28Z"", ""publisher"": ""Chile's Transformation Amidst Crisis: The Theseus Paradox"", ""citationHtml"": ""Bunker, Kenneth, 2025, \""Chapter 15: From instability to realignment\"", <a href=\""https://doi.org/10.7910/DVN/NRRSIX\"" target=\""_blank\"">https://doi"
harvard_dataverse,native_subhour_source_label_rows Crisis,ICEWS Events of Interest Ground Truth Data Set,https://doi.org/10.7910/DVN/28119,,"{""name"": ""ICEWS Events of Interest Ground Truth Data Set"", ""type"": ""dataset"", ""url"": ""https://doi.org/10.7910/DVN/28119"", ""image_url"": ""https://dataverse.harvard.edu/api/datasets/65872/logo"", ""global_id"": ""doi:10.7910/DVN/28119"", ""description"": ""THIS IS NO LONGER SUPPORTED. In ICEWS, an Event of Interest (EOI) is a macro-level occurrence within a country or region that is supported by the existence of multiple underlying events. The Ground Truth Data Set is a collection of data which lists, for "
harvard_dataverse,native_subhour_source_label_rows Crisis,ICEWS Dictionaries,https://doi.org/10.7910/DVN/28118,,"{""name"": ""ICEWS Dictionaries"", ""type"": ""dataset"", ""url"": ""https://doi.org/10.7910/DVN/28118"", ""global_id"": ""doi:10.7910/DVN/28118"", ""description"": ""The ICEWS dictionaries contain both named individuals or groups, known as actors, and generic individuals or groups, known as agents. Actors are known by a specific name, such as 'Free Syrian Army' or 'Goodluck Johnathan', while agents are known by a generic improper noun, such as 'insurgents' or 'students'. Both actors and agents have time-dependent"
harvard_dataverse,native_subhour_source_label_rows Crisis,ICEWS Event Aggregations,https://doi.org/10.7910/DVN/28117,,"{""name"": ""ICEWS Event Aggregations"", ""type"": ""dataset"", ""url"": ""https://doi.org/10.7910/DVN/28117"", ""image_url"": ""https://dataverse.harvard.edu/api/datasets/65873/logo"", ""global_id"": ""doi:10.7910/DVN/28117"", ""description"": ""THIS IS NO LONGER SUPPORTED. ICEWS event aggregations are a way to create time series data, typically at a monthly level, out of the ICEWS coded event data (which was automatically extracted from news articles by the BBN ACCENT event coder). Each set of aggregations consists "
harvard_dataverse,direct_manipulation_positive_rows matched_controls provenance,ProvCreator Synthetic Provenance Graphs,https://doi.org/10.7910/DVN/ELQ6HA,,"{""name"": ""ProvCreator Synthetic Provenance Graphs"", ""type"": ""dataset"", ""url"": ""https://doi.org/10.7910/DVN/ELQ6HA"", ""global_id"": ""doi:10.7910/DVN/ELQ6HA"", ""description"": ""Synthetic provenance graphs created with ProvCreator."", ""published_at"": ""2025-05-16T07:26:48Z"", ""publisher"": ""Harvard Dataverse"", ""citationHtml"": ""Tianhao Wang; Klancher, Simon; Mukherjee, Kunal; Wiedemeier, Josh; Chen.Feng@utdallas.edu; Kantarcioglu, Murat; Jee, kangkook, 2025, \""ProvCreator Synthetic Provenance Graphs\"", <a h"
harvard_dataverse,direct_manipulation_positive_rows matched_controls provenance,Sample data for Newark basin provenance project,https://doi.org/10.7910/DVN/5YF6CC,,"{""name"": ""Sample data for Newark basin provenance project"", ""type"": ""dataset"", ""url"": ""https://doi.org/10.7910/DVN/5YF6CC"", ""global_id"": ""doi:10.7910/DVN/5YF6CC"", ""description"": ""Sample details, heavy mineral data, and paleocurrent estimation information for Newark basin provenance study."", ""published_at"": ""2026-04-03T14:33:42Z"", ""publisher"": ""Harvard Dataverse"", ""citationHtml"": ""Spatz, Andrew, 2026, \""Sample data for Newark basin provenance project\"", <a href=\""https://doi.org/10.7910/DVN/5YF6C"
harvard_dataverse,direct_manipulation_positive_rows matched_controls provenance,from Provenance Labels and Verification Operations on Social Platforms,https://doi.org/10.7910/DVN/4S24KB,,"{""name"": ""from Provenance Labels and Verification Operations on Social Platforms"", ""type"": ""dataset"", ""url"": ""https://doi.org/10.7910/DVN/4S24KB"", ""global_id"": ""doi:10.7910/DVN/4S24KB"", ""description"": ""from Provenance Labels and Verification Operations on Social Platforms"", ""published_at"": ""2025-10-21T16:35:01Z"", ""publisher"": ""Harvard Dataverse"", ""citationHtml"": ""Lee, Hang, 2025, \""from Provenance Labels and Verification Operations on Social Platforms\"", <a href=\""https://doi.org/10.7910/DVN/4S2"
