variety,state,accepted_scoped_95,remaining_gap,primary_artifact
pump_dump_telegram_event,accepted_95_scoped_direct_event,True,"Event-confirmed suppression/cooldown signal only; does not cover spoofing, layering, quote stuffing, or order-book behavior.",docs/experiments/actionable-regime-confidence/runs/20260511T045102-codex-mehrnoom-telegram-direct-manipulation-gate/direct-event-gate/mehrnoom_telegram_direct_manipulation_gate_report.md
pump_dump_social_text_or_twitter,blocked_below_95,False,Needs stronger direct controls or a different text/event construction before acceptance.,docs/experiments/actionable-regime-confidence/runs/20260511T050029-codex-mehrnoom-twitter-social-direct-gate/mehrnoom-social-gate/mehrnoom_twitter_social_direct_gate_report.md
dex_self_trade_order_lifecycle,accepted_95_scoped_direct_order_lifecycle,True,Bounded DEX self-trade/wash-trade slice only; not spoofing/layering/quote stuffing.,docs/experiments/actionable-regime-confidence/runs/20260511T101019-codex-zenodo-dex-selftrade-direct-gate/direct-gate/zenodo_dex_selftrade_direct_gate_report.md
dex_consecutive_self_trade_order_lifecycle,accepted_95_scoped_direct_order_lifecycle_context,True,Confirms bounded self-trade context; still not full direct Manipulation variety coverage.,docs/experiments/actionable-regime-confidence/runs/20260511T102332-codex-zenodo-dex-consecutive-selftrade-gate/direct-gate/zenodo_dex_consecutive_selftrade_gate.md
midsummer_bsc_wash_maker,accepted_95_scoped_direct_onchain_wash,True,BSC wash-maker only; not centralized spoofing/layering/quote stuffing.,docs/experiments/actionable-regime-confidence/runs/20260511T111122-codex-midsummer-meme-direct-wash-audit/midsummer-meme-audit/midsummer_meme_direct_wash_audit.md
midsummer_multichain_wash_maker,accepted_95_scoped_direct_onchain_wash,True,Direct on-chain wash-maker evidence only; full manipulation class remains incomplete.,docs/experiments/actionable-regime-confidence/runs/20260511T112642-codex-midsummer-chain-slice-expansion-audit/chain-slice-audit/midsummer_chain_slice_expansion_audit.md
spoofing_layering_enforcement_cases,positive_only_no_95_gate,False,Acquire matched negative order-lifecycle/order-book rows before any spoofing/layering Wilson95 gate claim.,docs/experiments/actionable-regime-confidence/runs/20260511T130457-codex-spoofing-appendix-direct-case-inventory/direct-case-inventory/spoofing_appendix_direct_case_inventory.md
local_spoofing_repos,rejected_no_replayable_positive_negative_rows,False,Need exportable direct order-book/order-lifecycle rows with controls.,docs/experiments/actionable-regime-confidence/runs/20260511T110827-codex-local-spoofing-source-audit/source-audit/local_spoofing_source_audit.md
quote_stuffing,missing_direct_rows,False,Acquire quote-message/order-book bursts and matched normal-period controls.,
pinging,missing_direct_rows,False,Acquire order-lifecycle probe rows and matched controls.,
bear_raid_or_painting_tape,missing_direct_rows,False,Acquire direct event/order-flow rows and same-venue non-event controls.,
