instrument,timeframe,root,rule,train_support,train_precision,train_wilson95_lcb,cal_support,cal_precision,cal_wilson95_lcb,test_support,test_precision,test_wilson95_lcb,accepted_95,blocker
GC,1h,Bull,bar_range >= 0.0066040614769,2352,0.4017857142857143,0.3821481558660487,1203,0.3848711554447215,0.3577838223822085,1553,0.43721828718609146,0.41273246589610285,False,calibration_or_test_wilson_below_95_or_support_below_30
GC,1h,Bear,ret_20 >= 0.0137231783969,2352,0.27976190476190477,0.2619912439318084,1167,0.22707797772065125,0.20395985854888457,1965,0.20865139949109415,0.19126198064469876,False,calibration_or_test_wilson_below_95_or_support_below_30
GC,1h,Sideways,bar_range <= 0.000715910724503,2352,0.4298469387755102,0.40997031719709714,1460,0.46095890410958906,0.43552572518587623,1282,0.41887675507020283,0.3921510844467137,False,calibration_or_test_wilson_below_95_or_support_below_30
GC,1h,Crisis,vol_20 >= 0.00345581008166,2352,0.17814625850340135,0.16321102047902125,1136,0.2147887323943662,0.19188955138024086,1927,0.24390243902439024,0.22525063431143175,False,calibration_or_test_wilson_below_95_or_support_below_30
GC,1d,Bull,vol_20 >= 0.00893976005544,708,0.3601694915254237,0.3256511376593814,363,0.3168044077134986,0.2710764641433734,530,0.38113207547169814,0.3407803147296302,False,calibration_or_test_wilson_below_95_or_support_below_30
GC,1d,Bear,range_20 <= 0.0337286165244,118,0.4067796610169492,0.32244480291963507,168,0.18452380952380953,0.1331505856073086,54,0.16666666666666666,0.09024391642997266,False,calibration_or_test_wilson_below_95_or_support_below_30
GC,1d,Sideways,vol_20 <= 0.006184888013,708,0.3516949152542373,0.31740856938239964,366,0.4426229508196721,0.39259427928398544,202,0.297029702970297,0.2382789765915053,False,calibration_or_test_wilson_below_95_or_support_below_30
GC,1d,Crisis,vol_20 >= 0.0148644068788,118,0.19491525423728814,0.1335407420677293,61,0.18032786885245902,0.10379140124053363,110,0.2545454545454545,0.182381907512531,False,calibration_or_test_wilson_below_95_or_support_below_30
NQ,1h,Bull,vol_20 >= 0.00368185284387,2346,0.4820971867007673,0.4619232287995901,4697,0.4468809878645944,0.4327119918532623,2782,0.44464414090582316,0.4262675321439135,False,calibration_or_test_wilson_below_95_or_support_below_30
NQ,1h,Bear,bar_range_z20 >= 2.35206857291,2346,0.26768968456947995,0.25016381678599314,1127,0.21739130434782608,0.19429182038307685,1260,0.23253968253968255,0.21004797506993603,False,calibration_or_test_wilson_below_95_or_support_below_30
NQ,1h,Sideways,bar_range <= 0.000484512557178,2346,0.5861040068201193,0.5660485991481337,332,0.5,0.4465249817456187,325,0.56,0.5056438427991696,False,calibration_or_test_wilson_below_95_or_support_below_30
NQ,1h,Crisis,bar_range >= 0.00688215025405,2346,0.17604433077578857,0.16116584795604802,3160,0.27689873417721517,0.26157530290098147,2190,0.17488584474885846,0.15954922927821694,False,calibration_or_test_wilson_below_95_or_support_below_30
NQ,1d,Bull,ret_8 <= -0.0366374272905,118,0.5423728813559322,0.4525651223077117,160,0.40625,0.33321304722042167,109,0.44036697247706424,0.35077934943325073,False,calibration_or_test_wilson_below_95_or_support_below_30
NQ,1d,Bear,range_20 <= 0.0294515071013,118,0.3389830508474576,0.259854906626555,10,0.2,0.05668215145437522,1,1.0,0.20654931437723742,False,calibration_or_test_wilson_below_95_or_support_below_30
NQ,1d,Sideways,vol_20 <= 0.00385018167586,118,0.6101694915254238,0.5200272341782941,9,0.1111111111111111,0.019890887638544918,0,0.0,0.0,False,calibration_or_test_wilson_below_95_or_support_below_30
NQ,1d,Crisis,vol_20 >= 0.0133497975083,236,0.16101694915254236,0.11961496339430341,477,0.23689727463312368,0.2009380577737431,286,0.18181818181818182,0.1414325426557508,False,calibration_or_test_wilson_below_95_or_support_below_30
