requirement,evidence,status,notes
"Use authoritative Board B markdown","docs/plans/2026-05-10-regime-conditional-auto-quant-profitability-todo.md includes 050609 Stable Terminal Readback v1","pass","append-only; Current Cursor unchanged"
"Train/select promotable regime-conditioned profitability factor","Current Cursor hard gate remains fail:downstream_closed_loop_not_promotable; v12 and latest rows keep promotion_allowed=false","fail","no promotable selected-data factor"
"Branch path main_regime -> sub_regime -> sub_sub_regime_or_profit_factor -> profit_factor preserved end to end","044611/050430 show partial visibility; Pre-Bayes observe_only, BBN skipped, CatBoost validation 0/30, execution blocked","fail","visibility is diagnostic, not end-to-end admission"
"Use provider evidence for IBKR, TradingViewRemix, yfinance, Kraken","050430/provider readbacks: yfinance and Kraken CLI ready; IBKR dependency-unhealthy; TradingView MCP failed","partial","provider set not all ready"
"Use real Auto-Quant evidence","044611 enriched existing 15415 rows; 050430 Auto-Quant copied state missing_dependency/auto_quant_not_bootstrapped","fail","no fresh selected-data Auto-Quant training"
"Use filter/Pre-Bayes evidence","050430 Pre-Bayes observe_only","fail","not an admitted filter update"
"Use BBN evidence","050430 BBN read-only branch visibility but application skipped","fail","no posterior/application admission"
"Use CatBoost/path-ranker evidence","050430 policy/CatBoost mature rows 0 and validation 0/30","fail","not production-ready"
"Use execution-tree evidence","050430 execution candidate blocked and execution tree not trade usable","fail","not executable"
"Settle 050609 in-flight packet","050609 Stable Terminal Readback v1 plus report/assertions","pass","terminal fail-closed; accepted labels []"
"Explicit user-selected historical data exactly one of HTF=1d, MTF=4h, LTF=1h","repeated board gates and current cursor: user_selected_historical_data_missing","fail","must be supplied before selected-data run"
"Multi-agent safety","append-only rows; no cursor edit; in-flight outputs guarded before consumption","pass","no concurrent rows rewritten"
"Completion/update_goal","assertions and board rows: strict_full_objective=false, goal_complete=false, update_goal=false","fail","do not call update_goal"
