id,status,evidence,gap
R0_named_board,pass_checked,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,
R1_every_regime_95,fail_blocked,source_confidence_accepted_labels=none; r6_min_lcb=0.922926,No active regime/root has an accepted source-owned >=95% package.
R2_other_market_validation,fail_blocked,source_label_status=schema_ready_unscored; rows=248440; accepted_labels=none,"All four source-label roots are present, but the confidence calibration accepted zero labels."
R3_other_cycle_timeframe,fail_blocked,native_subhour_ready=False; r5_verifier=blocked/missing_required_files,Native sub-hour rows/provenance are absent; R5 recency files are still missing after live source-owner refresh checks.
R4_provider_and_full_chain,partial_guardrail,This audit reran current root verifiers and read existing R5 live-refresh artifacts; no fresh Auto-Quant/downstream packet is eligible.,Pre-Bayes/BBN/CatBoost/execution-tree completion remains blocked until a root confidence packet is accepted.
R5_source_panel_recency_extension,fail_blocked,r5_readbacks=7; external_checks=4; any_intake_populated=False; verifier=blocked,The owner package still ends at 2026-01-30; provider OHLCV/proxy rows were rejected and no source-owned post-cutoff rows were written.
R6_direct_manipulation_confidence,fail_blocked,positives=46; controls=46; matched_groups=45; min_lcb=0.922926,"R6 remains below support, Wilson95, broad-normal sample, and direct-species gates."
R7_no_proxy_acceptance,pass_guardrail,R5 OHLCV-only/yfinance rows and schema-mismatched recent datasets are explicitly rejected.,
R8_multi_agent_safety,pass_guardrail,board_hash_before=85db8d434eb31bd6dd898168c10f76114711ed29ff70f524b9443db0e95f5df5; cursor_before=20260511T220410+0800-codex-r6-vorley-franko-row-uplift-v1; append-only registration expected,
R9_update_goal_gate,fail_blocked,failures_present=true,Missing and failed requirements remain; update_goal=false.
