branch_path,main_regime,package_id,profit_factor,provider_provenance,regime_profit_branch_path,sharpe,status,sub_regime,sub_sub_regime_or_profit_factor,total_profit_pct,trade_count,unit_label,win_rate_pct
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-4h-quality-1y-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 4h 1 Y,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,0.0735,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,1.33,35,IBKR NUE Bayesian-Markov trend detector - 4h quality 1 Y,60.0
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-1d-wide-2y-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 1d 2 Y,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,-0.0117,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,-0.43,5,IBKR NUE Bayesian-Markov trend detector - 1d wide 2 Y,60.0
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-30m-quality-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 30m 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,0.7816,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,3.23,22,IBKR NUE Bayesian-Markov trend detector - 30m quality 3 M,59.0909
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-4h-wide-1y-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 4h 1 Y,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,-0.074,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,-1.54,24,IBKR NUE Bayesian-Markov trend detector - 4h wide 1 Y,54.1667
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-1h-balanced-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 1h 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,0.4389,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,1.27,26,IBKR NUE Bayesian-Markov trend detector - 1h balanced 3 M,53.8462
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-4h-dense-1y-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 4h 1 Y,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,-0.3038,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,-4.27,39,IBKR NUE Bayesian-Markov trend detector - 4h dense 1 Y,53.8462
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-30m-balanced-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 30m 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,-0.0997,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,-0.34,32,IBKR NUE Bayesian-Markov trend detector - 30m balanced 3 M,53.125
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-15m-balanced-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 15m 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,0.115,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,0.32,70,IBKR NUE Bayesian-Markov trend detector - 15m balanced 3 M,52.8571
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-1h-dense-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 1h 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,0.1622,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,0.44,29,IBKR NUE Bayesian-Markov trend detector - 1h dense 3 M,51.7241
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-4h-balanced-1y-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 4h 1 Y,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,-0.3188,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,-4.9,35,IBKR NUE Bayesian-Markov trend detector - 4h balanced 1 Y,51.4286
