package_id,unit_label,timeframe,trade_count,trading_days,trades_per_day,raw_pct,one_bps_per_side_pct,two_bps_per_side_pct,five_bps_per_side_pct,win_rate_pct,sharpe,survives_1bps_per_side,survives_2bps_per_side,survives_5bps_per_side,practical_density,gate1_survivor
ibkr-nue-steel-producer-bayesian-markov-trend-detector-4h-quality-1y-v1,IBKR NUE Bayesian-Markov trend detector - 4h quality 1 Y,4h,35,270,0.12962962962962962,1.33,0.63,-0.07000000000000006,-2.17,60.0,0.0735,True,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-1d-wide-2y-v1,IBKR NUE Bayesian-Markov trend detector - 1d wide 2 Y,1d,5,501,0.00998003992015968,-0.43,-0.53,-0.63,-0.9299999999999999,60.0,-0.0117,False,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-30m-quality-3m-v1,IBKR NUE Bayesian-Markov trend detector - 30m quality 3 M,30m,22,66,0.3333333333333333,3.23,2.79,2.35,1.0299999999999998,59.0909,0.7816,True,True,True,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-4h-wide-1y-v1,IBKR NUE Bayesian-Markov trend detector - 4h wide 1 Y,4h,24,270,0.08888888888888889,-1.54,-2.02,-2.5,-3.9400000000000004,54.1667,-0.074,False,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-1h-balanced-3m-v1,IBKR NUE Bayesian-Markov trend detector - 1h balanced 3 M,1h,26,66,0.3939393939393939,1.27,0.75,0.22999999999999998,-1.33,53.8462,0.4389,True,True,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-4h-dense-1y-v1,IBKR NUE Bayesian-Markov trend detector - 4h dense 1 Y,4h,39,270,0.14444444444444443,-4.27,-5.05,-5.83,-8.17,53.8462,-0.3038,False,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-30m-balanced-3m-v1,IBKR NUE Bayesian-Markov trend detector - 30m balanced 3 M,30m,32,66,0.48484848484848486,-0.34,-0.98,-1.62,-3.54,53.125,-0.0997,False,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-15m-balanced-3m-v1,IBKR NUE Bayesian-Markov trend detector - 15m balanced 3 M,15m,70,66,1.0606060606060606,0.32,-1.08,-2.4800000000000004,-6.68,52.8571,0.115,False,False,False,True,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-1h-dense-3m-v1,IBKR NUE Bayesian-Markov trend detector - 1h dense 3 M,1h,29,66,0.4393939393939394,0.44,-0.13999999999999996,-0.72,-2.4600000000000004,51.7241,0.1622,False,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-4h-balanced-1y-v1,IBKR NUE Bayesian-Markov trend detector - 4h balanced 1 Y,4h,35,270,0.12962962962962962,-4.9,-5.6000000000000005,-6.300000000000001,-8.4,51.4286,-0.3188,False,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-30m-dense-3m-v1,IBKR NUE Bayesian-Markov trend detector - 30m dense 3 M,30m,37,66,0.5606060606060606,-2.45,-3.1900000000000004,-3.93,-6.15,51.3514,-0.7672,False,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-30m-wide-3m-v1,IBKR NUE Bayesian-Markov trend detector - 30m wide 3 M,30m,16,66,0.24242424242424243,0.92,0.6000000000000001,0.28,-0.68,50.0,0.2099,True,True,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-1d-quality-2y-v1,IBKR NUE Bayesian-Markov trend detector - 1d quality 2 Y,1d,4,501,0.007984031936127744,-1.21,-1.29,-1.3699999999999999,-1.6099999999999999,50.0,-0.0375,False,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-15m-dense-3m-v1,IBKR NUE Bayesian-Markov trend detector - 15m dense 3 M,15m,86,66,1.303030303030303,-4.12,-5.84,-7.5600000000000005,-12.719999999999999,50.0,-1.5045,False,False,False,True,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-15m-quality-3m-v1,IBKR NUE Bayesian-Markov trend detector - 15m quality 3 M,15m,48,66,0.7272727272727273,0.57,-0.39,-1.35,-4.23,47.9167,0.2042,False,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-15m-wide-3m-v1,IBKR NUE Bayesian-Markov trend detector - 15m wide 3 M,15m,37,66,0.5606060606060606,-1.44,-2.1799999999999997,-2.92,-5.140000000000001,45.9459,-0.4778,False,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-1h-quality-3m-v1,IBKR NUE Bayesian-Markov trend detector - 1h quality 3 M,1h,16,66,0.24242424242424243,0.48,0.15999999999999998,-0.16000000000000003,-1.12,43.75,0.1376,True,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-5m-dense-3m-v1,IBKR NUE Bayesian-Markov trend detector - 5m dense 3 M,5m,149,66,2.257575757575758,0.95,-2.0300000000000002,-5.01,-13.950000000000001,41.6107,0.4493,False,False,False,True,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-5m-balanced-3m-v1,IBKR NUE Bayesian-Markov trend detector - 5m balanced 3 M,5m,115,66,1.7424242424242424,1.25,-1.0500000000000003,-3.3500000000000005,-10.25,40.8696,0.5477,False,False,False,True,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-5m-wide-3m-v1,IBKR NUE Bayesian-Markov trend detector - 5m wide 3 M,5m,50,66,0.7575757575757576,1.18,0.17999999999999994,-0.8200000000000001,-3.8200000000000003,40.0,0.4145,True,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-5m-quality-3m-v1,IBKR NUE Bayesian-Markov trend detector - 5m quality 3 M,5m,79,66,1.196969696969697,0.28,-1.3,-2.88,-7.62,39.2405,0.1114,False,False,False,True,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-1h-wide-3m-v1,IBKR NUE Bayesian-Markov trend detector - 1h wide 3 M,1h,13,66,0.19696969696969696,0.77,0.51,0.25,-0.53,38.4615,0.2159,True,True,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-1m-balanced-10d-v1,IBKR NUE Bayesian-Markov trend detector - 1m balanced 10 D,1m,27,10,2.7,-2.43,-2.97,-3.5100000000000002,-5.130000000000001,33.3333,-13.7332,False,False,False,True,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-1d-balanced-2y-v1,IBKR NUE Bayesian-Markov trend detector - 1d balanced 2 Y,1d,7,501,0.013972055888223553,-4.47,-4.609999999999999,-4.75,-5.17,28.5714,-0.1897,False,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-1d-dense-2y-v1,IBKR NUE Bayesian-Markov trend detector - 1d dense 2 Y,1d,7,501,0.013972055888223553,-4.18,-4.319999999999999,-4.46,-4.88,28.5714,-0.1972,False,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-1m-dense-10d-v1,IBKR NUE Bayesian-Markov trend detector - 1m dense 10 D,1m,35,10,3.5,-2.42,-3.12,-3.8200000000000003,-5.92,28.5714,-14.6552,False,False,False,False,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-1m-quality-10d-v1,IBKR NUE Bayesian-Markov trend detector - 1m quality 10 D,1m,19,10,1.9,-3.31,-3.69,-4.07,-5.21,26.3158,-20.527,False,False,False,True,False
ibkr-nue-steel-producer-bayesian-markov-trend-detector-1m-wide-10d-v1,IBKR NUE Bayesian-Markov trend detector - 1m wide 10 D,1m,13,10,1.3,-1.83,-2.09,-2.35,-3.13,23.0769,-13.8755,False,False,False,True,False
