split_family,split_name,positive_support,negative_support,positive_wilson95_lcb,negative_wilson95_lcb,min_wilson95_lcb,positive_deficit_to_wilson95_all_success,negative_deficit_to_wilson95_all_success,wilson_ok,pass
pooled_all_source_rows,all_rows,93,91,0.96033109738,0.959494567785,0.959494567785,0,0,True,True
chronological_group_split,chronological_train,49,47,0.927299703264,0.924439828802,0.924439828802,24,26,False,False
chronological_group_split,chronological_calibration,22,22,0.851340474274,0.851340474274,0.851340474274,51,51,False,False
chronological_group_split,chronological_test,22,22,0.851340474274,0.851340474274,0.851340474274,51,51,False,False
heldout_symbol_exact,"10-Year T-Note Futures contract, December 2011 expiry",1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,"10-Year T-Note Futures contract, March 2010 expiry",1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,April 2015 Gold futures contract,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,April 2017 Gold futures,2,2,0.34237195289,0.34237195289,0.34237195289,71,71,False,False
heldout_symbol_exact,August-delivery Gold Futures,3,3,0.438493919551,0.438493919551,0.438493919551,70,70,False,False
heldout_symbol_exact,CBOT soybean call options,0,2,0.0,0.34237195289,0.0,73,71,False,False
heldout_symbol_exact,CBOT soybean futures,4,2,0.510099979596,0.34237195289,0.34237195289,69,71,False,False
heldout_symbol_exact,CLM0-CLU0 crude oil June-September 2020 calendar spread,2,2,0.34237195289,0.34237195289,0.34237195289,71,71,False,False
heldout_symbol_exact,CLM0-CLZ0 crude oil June-December 2020 calendar spread,2,2,0.34237195289,0.34237195289,0.34237195289,71,71,False,False
heldout_symbol_exact,CME E-Mini S&P 500 futures contract,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,COMEX Gold Futures,6,6,0.609656966347,0.609656966347,0.609656966347,67,67,False,False
heldout_symbol_exact,COMEX Gold Futures June delivery,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,COMEX Silver Futures,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,COMEX copper futures,0,2,0.0,0.34237195289,0.0,73,71,False,False
heldout_symbol_exact,December 2009 Wheat Futures Contract,6,6,0.609656966347,0.609656966347,0.609656966347,67,67,False,False
heldout_symbol_exact,December 2013 E-mini Dow futures,2,2,0.34237195289,0.34237195289,0.34237195289,71,71,False,False
heldout_symbol_exact,December 2013 E-mini NASDAQ futures,2,2,0.34237195289,0.34237195289,0.34237195289,71,71,False,False
heldout_symbol_exact,December 2014 E-mini S&P 500 futures,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,December 2017 Gold futures,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,December 2017 Silver futures,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,December-delivery Gold Futures,7,7,0.645661157025,0.645661157025,0.645661157025,66,66,False,False
heldout_symbol_exact,E-mini S&P 500 futures,9,9,0.700847246449,0.700847246449,0.700847246449,64,64,False,False
heldout_symbol_exact,"Gold Futures contract, April 2014 expiry",1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,"Gold Futures contract, August 2015 expiry",1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,"Gold Futures contract, December 2013 expiry",1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,"Gold Futures contract, June 2013 expiry",2,2,0.34237195289,0.34237195289,0.34237195289,71,71,False,False
heldout_symbol_exact,ICE Brent/WTI crude spread April 2020,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,July 2016 NYMEX Platinum Futures,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,LME copper futures / COMEX copper futures cross-market example,2,0,0.34237195289,0.0,0.0,71,73,False,False
heldout_symbol_exact,March 2013 E-mini S&P 500 futures,4,2,0.510099979596,0.34237195289,0.34237195289,69,71,False,False
heldout_symbol_exact,March 2014 E-mini S&P 500 futures,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,March 2018 Crude Oil futures,4,4,0.510099979596,0.510099979596,0.510099979596,69,69,False,False
heldout_symbol_exact,March 2018 Silver futures,4,4,0.510099979596,0.510099979596,0.510099979596,69,69,False,False
heldout_symbol_exact,March-delivery Silver Futures,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,May 2015 Silver futures contract,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,NGH0-NGJ0 natural gas March-April 2020 calendar spread,3,3,0.438493919551,0.438493919551,0.438493919551,70,70,False,False
heldout_symbol_exact,NYMEX Natural Gas futures contract,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,"Platinum Futures contract, July 2016 expiry",1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,RBOB gasoline futures,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,"Silver Futures contract, March 2012 expiry",1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,"Silver Futures contract, March 2013 expiry",1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,"Silver Futures contract, March 2014 expiry",2,2,0.34237195289,0.34237195289,0.34237195289,71,71,False,False
heldout_symbol_exact,"Silver Futures contract, May 2014 expiry",1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,Soft Red Winter wheat futures,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,"T-Bond Futures contract, September 2009 expiry",1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,"Ultra T-Bond Futures contract, September 2015 expiry",1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_symbol_exact,light sweet crude oil futures,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_venue_exact,CBOT,2,2,0.34237195289,0.34237195289,0.34237195289,71,71,False,False
heldout_venue_exact,CBOT/CME Globex,14,14,0.784682988073,0.784682988073,0.784682988073,59,59,False,False
heldout_venue_exact,CME,4,4,0.510099979596,0.510099979596,0.510099979596,69,69,False,False
heldout_venue_exact,CME Globex,14,12,0.784682988073,0.757499242501,0.757499242501,59,61,False,False
heldout_venue_exact,CME Group registered futures market (source order),3,3,0.438493919551,0.438493919551,0.438493919551,70,70,False,False
heldout_venue_exact,COMEX,8,10,0.675584380489,0.722459831233,0.675584380489,65,63,False,False
heldout_venue_exact,COMEX/CME Globex,32,32,0.892817284943,0.892817284943,0.892817284943,41,41,False,False
heldout_venue_exact,IFEU electronic market,1,1,0.206543291474,0.206543291474,0.206543291474,72,72,False,False
heldout_venue_exact,LME and COMEX,2,0,0.34237195289,0.0,0.0,71,73,False,False
heldout_venue_exact,NYMEX/CME Globex,10,10,0.722459831233,0.722459831233,0.722459831233,63,63,False,False
heldout_venue_exact,US futures exchange / CFTC complaint,3,3,0.438493919551,0.438493919551,0.438493919551,70,70,False,False
