market,timeframe,variant_id,bars,signal_bars,trades,mean_profit_ratio,win_rate,net_return_R
NQ/USD,5m,v2_baseline,563777,7918,845,0.0004644545555778815,0.24497041420118343,0.39246409946330985
NQ/USD,5m,v25_strict_compression,563777,5480,605,0.0004160536890495761,0.24958677685950414,0.2517124818749935
NQ/USD,5m,v25_low_vvix,563777,6397,673,0.0005053306432005152,0.2540861812778603,0.3400875228739467
NQ/USD,5m,v25_no_body_filter,563777,14165,853,0.000476404345701454,0.2473622508792497,0.40637290688334027
NQ/USD,5m,v25_rth_tight,563777,6664,702,0.0004849468297761587,0.2621082621082621,0.3404326745028634
NQ/USD,5m,v25_local_trend_only,563777,8622,783,0.0005414902959650792,0.280970625798212,0.423986901740657
NQ/USD,15m,v2_baseline,187990,3054,418,0.0009633359603873418,0.3397129186602871,0.40267443144190884
NQ/USD,15m,v25_strict_compression,187990,2147,309,0.0007834704675717584,0.3333333333333333,0.24209237447967336
NQ/USD,15m,v25_low_vvix,187990,2482,347,0.0008066089130383858,0.33429394812680113,0.27989329282431985
NQ/USD,15m,v25_no_body_filter,187990,5219,428,0.0009646787666451988,0.3341121495327103,0.41288251212414506
NQ/USD,15m,v25_rth_tight,187990,2558,355,0.0009714447811516657,0.3492957746478873,0.34486289730884134
NQ/USD,15m,v25_local_trend_only,187990,3348,415,0.0010422281034535403,0.3614457831325301,0.43252466293321923
NQ/USD,1h,v2_baseline,47242,978,170,0.0017085980562245823,0.4411764705882353,0.290461669558179
NQ/USD,1h,v25_strict_compression,47242,693,127,0.0017455286331144071,0.4409448818897638,0.2216821364055297
NQ/USD,1h,v25_low_vvix,47242,796,140,0.0020756322745965005,0.4714285714285714,0.2905885184435101
NQ/USD,1h,v25_no_body_filter,47242,1604,176,0.0019460215753137472,0.44886363636363635,0.3424997972552195
NQ/USD,1h,v25_rth_tight,47242,829,168,0.00138281191325133,0.42857142857142855,0.23231240142622345
NQ/USD,1h,v25_local_trend_only,47242,1047,176,0.0015817202782689272,0.4318181818181818,0.2783827689753312
SPY/USD,15m,v2_baseline,4228,482,35,0.0013131503496190459,0.37142857142857144,0.045960262236666605
SPY/USD,15m,v25_strict_compression,4228,366,20,0.0016819276199022016,0.4,0.03363855239804403
SPY/USD,15m,v25_low_vvix,4228,409,22,0.002595654986993752,0.45454545454545453,0.05710440971386255
SPY/USD,15m,v25_no_body_filter,4228,871,37,0.001130804437672172,0.35135135135135137,0.041839764193870366
SPY/USD,15m,v25_rth_tight,4228,447,33,0.001219164826104089,0.36363636363636365,0.04023243926143494
SPY/USD,15m,v25_local_trend_only,4228,584,35,0.0015679383356964932,0.42857142857142855,0.054877841749377265
IWM/USD,15m,v2_baseline,4228,423,47,0.0013511956479806586,0.3191489361702128,0.06350619545509095
IWM/USD,15m,v25_strict_compression,4228,298,33,0.001268962836575583,0.30303030303030304,0.04187577360699424
IWM/USD,15m,v25_low_vvix,4228,339,35,0.0016709049801109702,0.3142857142857143,0.05848167430388396
IWM/USD,15m,v25_no_body_filter,4228,769,49,0.0009447236063998849,0.30612244897959184,0.04629145671359436
IWM/USD,15m,v25_rth_tight,4228,396,45,0.0005167242440978079,0.26666666666666666,0.023252590984401356
IWM/USD,15m,v25_local_trend_only,4228,500,52,0.0002641966184704828,0.3076923076923077,0.013738224160465107
DIA/USD,15m,v2_baseline,4228,370,36,0.0004783661242025326,0.3055555555555556,0.017221180471291175
DIA/USD,15m,v25_strict_compression,4228,281,29,3.3162462090010304e-05,0.27586206896551724,0.0009617114006102989
DIA/USD,15m,v25_low_vvix,4228,307,31,0.0006671400212489414,0.3225806451612903,0.020681340658717184
DIA/USD,15m,v25_no_body_filter,4228,687,37,0.0002491838372382529,0.2972972972972973,0.009219801977815356
DIA/USD,15m,v25_rth_tight,4228,343,33,7.16041214685805e-05,0.24242424242424243,0.0023629360084631568
DIA/USD,15m,v25_local_trend_only,4228,472,35,0.00020382038782893147,0.2571428571428571,0.007133713574012601
GLD/USD,15m,v2_baseline,4228,338,18,0.004566269167815619,0.3888888888888889,0.08219284502068114
GLD/USD,15m,v25_strict_compression,4228,260,15,0.00476591278433333,0.4,0.07148869176499995
GLD/USD,15m,v25_low_vvix,4228,274,15,0.004789701271185395,0.4,0.07184551906778092
GLD/USD,15m,v25_no_body_filter,4228,612,18,0.004664528864428758,0.3888888888888889,0.08396151955971765
GLD/USD,15m,v25_rth_tight,4228,309,18,0.004368385598541457,0.3888888888888889,0.07863094077374622
GLD/USD,15m,v25_local_trend_only,4228,382,18,0.005593398893267364,0.4444444444444444,0.10068118007881255
