rank,feature,rows,win_rate_separation,candidate_use
1,provider_rv_median_24h,237,0.463486,bbn_evidence_node_candidate_only
2,provider_return_dispersion_24h,237,0.372418,bbn_evidence_node_candidate_only
3,provider_range_pos_median_24h,237,0.343519,bbn_evidence_node_candidate_only
4,provider_return_median_abs_1h,237,0.193821,bbn_evidence_node_candidate_only
5,provider_return_dispersion_4h,237,0.180538,bbn_evidence_node_candidate_only
6,provider_trend_abs_median_24h,237,0.152456,bbn_evidence_node_candidate_only
7,provider_return_dispersion_1h,237,0.142949,bbn_evidence_node_candidate_only
8,provider_return_median_abs_24h,237,0.136842,bbn_evidence_node_candidate_only
9,provider_return_median_abs_4h,237,0.088799,bbn_evidence_node_candidate_only
10,provider_range_pos_dispersion_24h,237,0.087844,bbn_evidence_node_candidate_only
11,provider_direction_consensus_1h,237,0.0,bbn_evidence_node_candidate_only
12,provider_direction_consensus_4h,237,0.0,bbn_evidence_node_candidate_only
13,provider_direction_consensus_24h,237,0.0,bbn_evidence_node_candidate_only
14,provider_direction_edge_1h,237,0.0,bbn_evidence_node_candidate_only
15,provider_direction_edge_4h,237,0.0,bbn_evidence_node_candidate_only
16,provider_direction_edge_24h,237,0.0,bbn_evidence_node_candidate_only
17,provider_count,237,0.0,bbn_evidence_node_candidate_only
