market,timeframe,variant_id,trades,mean_profit_ratio,win_rate,net_return_R
SPY,1d,risk_on_momentum_h3,521,0.0006639440787050326,0.581573896353167,0.345914865005322
SPY,1d,risk_on_momentum_h5,368,0.002052482530689342,0.6168478260869565,0.7553135712936778
SPY,1d,risk_on_momentum_h10,221,0.004440467355001332,0.6561085972850679,0.9813432854552944
SPY,1d,risk_on_momentum_h20,126,0.012359934845776015,0.7301587301587301,1.5573517905677778
SPY,1d,growth_breakout_h3,0,0.0,0.0,0.0
SPY,1d,growth_breakout_h5,0,0.0,0.0,0.0
SPY,1d,growth_breakout_h10,0,0.0,0.0,0.0
SPY,1d,growth_breakout_h20,0,0.0,0.0,0.0
SPY,1d,defensive_rotation_long_h3,0,0.0,0.0,0.0
SPY,1d,defensive_rotation_long_h5,0,0.0,0.0,0.0
SPY,1d,defensive_rotation_long_h10,0,0.0,0.0,0.0
SPY,1d,defensive_rotation_long_h20,0,0.0,0.0,0.0
SPY,1d,index_breakdown_short_h3,116,-0.0026255005179001987,0.43103448275862066,-0.30455806007642305
SPY,1d,index_breakdown_short_h5,90,-0.007218695175421282,0.4111111111111111,-0.6496825657879154
SPY,1d,index_breakdown_short_h10,61,-0.010304731586347345,0.3770491803278688,-0.6285886267671881
SPY,1d,index_breakdown_short_h20,44,-0.023796685975389642,0.29545454545454547,-1.0470541829171442
SPY,1d,range_mean_reversion_h3,193,-0.00023167555400738593,0.46632124352331605,-0.044713381923425485
SPY,1d,range_mean_reversion_h5,160,0.0026328956035991504,0.575,0.4212632965758641
SPY,1d,range_mean_reversion_h10,116,-0.0007604583310084204,0.47413793103448276,-0.08821316639697677
SPY,1d,range_mean_reversion_h20,84,-0.0014372338789913998,0.5595238095238095,-0.12072764583527759
SPY,1d,low_vol_carry_h3,121,0.0019562945835487596,0.5702479338842975,0.2367116446093999
SPY,1d,low_vol_carry_h5,94,0.0009874020180973865,0.6170212765957447,0.09281578970115434
SPY,1d,low_vol_carry_h10,75,0.005419895782346717,0.64,0.40649218367600376
SPY,1d,low_vol_carry_h20,59,0.010570968556648255,0.6949152542372882,0.6236871448422471
SPY,1d,crisis_defensive_long_h3,0,0.0,0.0,0.0
SPY,1d,crisis_defensive_long_h5,0,0.0,0.0,0.0
SPY,1d,crisis_defensive_long_h10,0,0.0,0.0,0.0
SPY,1d,crisis_defensive_long_h20,0,0.0,0.0,0.0
SPY,1d,crisis_index_short_h3,7,-0.00805730405080955,0.42857142857142855,-0.05640112835566685
SPY,1d,crisis_index_short_h5,6,-0.030852945072524837,0.3333333333333333,-0.185117670435149
SPY,1d,crisis_index_short_h10,5,-0.03702415051227361,0.4,-0.18512075256136806
SPY,1d,crisis_index_short_h20,3,-0.024389029094228992,0.3333333333333333,-0.07316708728268698
QQQ,1d,risk_on_momentum_h3,513,0.0008584615349849251,0.5789473684210527,0.4403907674472666
QQQ,1d,risk_on_momentum_h5,359,0.0032708425432020015,0.6100278551532033,1.1742324730095186
QQQ,1d,risk_on_momentum_h10,220,0.006602176137656001,0.6272727272727273,1.4524787502843202
QQQ,1d,risk_on_momentum_h20,128,0.012072616503749838,0.671875,1.5452949124799793
QQQ,1d,growth_breakout_h3,494,0.0007526723548343671,0.5587044534412956,0.37182014328817736
QQQ,1d,growth_breakout_h5,359,0.00216099752437368,0.596100278551532,0.7757981112501511
QQQ,1d,growth_breakout_h10,218,0.0087271146401639,0.6651376146788991,1.9025109915557301
QQQ,1d,growth_breakout_h20,127,0.015641761394023724,0.7401574803149606,1.9865036970410128
QQQ,1d,defensive_rotation_long_h3,0,0.0,0.0,0.0
QQQ,1d,defensive_rotation_long_h5,0,0.0,0.0,0.0
QQQ,1d,defensive_rotation_long_h10,0,0.0,0.0,0.0
QQQ,1d,defensive_rotation_long_h20,0,0.0,0.0,0.0
QQQ,1d,index_breakdown_short_h3,133,-0.00330381417643031,0.43609022556390975,-0.4394072854652312
QQQ,1d,index_breakdown_short_h5,101,-0.006268890145385892,0.48514851485148514,-0.633157904683975
QQQ,1d,index_breakdown_short_h10,64,-0.01120087593852561,0.40625,-0.7168560600656391
QQQ,1d,index_breakdown_short_h20,47,-0.03061302103957039,0.2978723404255319,-1.4388119888598083
QQQ,1d,range_mean_reversion_h3,191,-0.0023792422801339353,0.4293193717277487,-0.45443527550558166
QQQ,1d,range_mean_reversion_h5,160,-0.00031640000197573,0.55,-0.0506240003161168
QQQ,1d,range_mean_reversion_h10,116,-0.004595021395401949,0.47413793103448276,-0.5330224818666262
QQQ,1d,range_mean_reversion_h20,83,0.004751540989954437,0.5783132530120482,0.39437790216621826
QQQ,1d,low_vol_carry_h3,113,0.0027922151872304675,0.6283185840707964,0.31552031615704285
QQQ,1d,low_vol_carry_h5,92,0.0027557362501895804,0.6304347826086957,0.2535277350174414
QQQ,1d,low_vol_carry_h10,72,0.007598787800881152,0.6527777777777778,0.5471127216634429
QQQ,1d,low_vol_carry_h20,57,0.020614874634488207,0.7192982456140351,1.1750478541658278
QQQ,1d,crisis_defensive_long_h3,0,0.0,0.0,0.0
QQQ,1d,crisis_defensive_long_h5,0,0.0,0.0,0.0
QQQ,1d,crisis_defensive_long_h10,0,0.0,0.0,0.0
QQQ,1d,crisis_defensive_long_h20,0,0.0,0.0,0.0
QQQ,1d,crisis_index_short_h3,6,-0.0035461993026842716,0.3333333333333333,-0.02127719581610563
QQQ,1d,crisis_index_short_h5,5,-0.02235112354169863,0.2,-0.11175561770849315
QQQ,1d,crisis_index_short_h10,4,-0.013840342550074465,0.5,-0.05536137020029786
QQQ,1d,crisis_index_short_h20,4,-0.018058737619928072,0.5,-0.07223495047971229
IWM,1d,risk_on_momentum_h3,451,5.678084761801305e-05,0.5232815964523282,0.025608162275723885
IWM,1d,risk_on_momentum_h5,329,0.0008114520832786431,0.5319148936170213,0.2669677353986736
IWM,1d,risk_on_momentum_h10,198,0.00481419519825299,0.5707070707070707,0.9532106492540919
IWM,1d,risk_on_momentum_h20,121,0.005469994745120428,0.5454545454545454,0.6618693641595718
IWM,1d,growth_breakout_h3,429,-5.173656272855859e-05,0.5198135198135199,-0.022194985410551635
IWM,1d,growth_breakout_h5,317,0.0011556792123011191,0.5236593059936908,0.36635031029945475
IWM,1d,growth_breakout_h10,199,0.005101460574010412,0.5979899497487438,1.015190654228072
IWM,1d,growth_breakout_h20,119,0.007767709987566895,0.5378151260504201,0.9243574885204605
IWM,1d,defensive_rotation_long_h3,0,0.0,0.0,0.0
IWM,1d,defensive_rotation_long_h5,0,0.0,0.0,0.0
IWM,1d,defensive_rotation_long_h10,0,0.0,0.0,0.0
