label,rule_id,rule,rule_kind,calibration_support,calibration_label_hits,calibration_precision,calibration_wilson95_lcb,heldout_market_support,heldout_market_label_hits,heldout_market_precision,heldout_market_wilson95_lcb,heldout_time_support,heldout_time_label_hits,heldout_time_precision,heldout_time_wilson95_lcb,test_support,test_label_hits,test_precision,test_wilson95_lcb,accepted_three_atom_confidence_95,blockers,min_split_support,min_split_wilson95_lcb
Bear,volatility_ge_0.9564397693__and__regime_confidence_le_0.385__and__vix_ge_19.45000076,volatility >= 0.9564397693 AND regime_confidence <= 0.385 AND vix >= 19.45000076,3_atom_conjunction,1116,789,0.7069892473,0.6796123319,26,25,0.9615384615,0.811072211,304,212,0.6973684211,0.6435280915,33,28,0.8484848485,0.6908012412,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,26,0.6435280915
Bear,volatility_ge_0.9564397693__and__regime_confidence_le_0.385__and__vix_ge_18.37000084,volatility >= 0.9564397693 AND regime_confidence <= 0.385 AND vix >= 18.37000084,3_atom_conjunction,1132,793,0.7005300353,0.6732065745,26,25,0.9615384615,0.811072211,304,212,0.6973684211,0.6435280915,34,28,0.8235294118,0.664862626,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,26,0.6435280915
Bear,returns_le_-0.03190357354__and__vix_ge_24.78000069__and__regime_confidence_le_0.385,returns <= -0.03190357354 AND vix >= 24.78000069 AND regime_confidence <= 0.385,3_atom_conjunction,1566,1095,0.6992337165,0.6760555719,128,94,0.734375,0.6518470619,448,307,0.6852678571,0.6408428913,32,27,0.84375,0.682458504,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,32,0.6408428913
Bear,volatility_ge_0.9564397693__and__vix_ge_20.63999939__and__regime_confidence_le_0.385,volatility >= 0.9564397693 AND vix >= 20.63999939 AND regime_confidence <= 0.385,3_atom_conjunction,1092,784,0.7179487179,0.6905306355,26,25,0.9615384615,0.811072211,299,207,0.6923076923,0.6378296756,33,28,0.8484848485,0.6908012412,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,26,0.6378296756
Bear,returns_le_-0.03190357354__and__vix_ge_26.60000038__and__regime_confidence_le_0.385,returns <= -0.03190357354 AND vix >= 26.60000038 AND regime_confidence <= 0.385,3_atom_conjunction,1343,971,0.7230081906,0.6984638283,114,85,0.7456140351,0.6585681933,381,260,0.6824146982,0.6340465915,23,21,0.9130434783,0.7320401892,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,23,0.6340465915
Bear,returns_le_-0.03190357354__and__vix_ge_23.25__and__regime_confidence_le_0.385,returns <= -0.03190357354 AND vix >= 23.25 AND regime_confidence <= 0.385,3_atom_conjunction,1762,1196,0.6787741203,0.6566026277,134,97,0.723880597,0.642746423,488,329,0.6741803279,0.63137738,39,31,0.7948717949,0.6446603199,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,39,0.63137738
Bear,vix_ge_21.82999992__and__volatility_ge_0.9564397693__and__regime_confidence_le_0.385,vix >= 21.82999992 AND volatility >= 0.9564397693 AND regime_confidence <= 0.385,3_atom_conjunction,1050,776,0.739047619,0.7116478041,26,25,0.9615384615,0.811072211,291,199,0.6838487973,0.6283254903,30,28,0.9333333333,0.7867654164,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,26,0.6283254903
Bear,returns_le_-0.03190357354__and__vix_ge_29.98999977__and__regime_confidence_le_0.385,returns <= -0.03190357354 AND vix >= 29.98999977 AND regime_confidence <= 0.385,3_atom_conjunction,1044,808,0.7739463602,0.747596447,101,75,0.7425742574,0.6495247831,288,196,0.6805555556,0.6246322907,22,20,0.9090909091,0.7218505316,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,22,0.6246322907
Bear,vix_ge_23.25__and__volatility_ge_0.9564397693__and__regime_confidence_le_0.385,vix >= 23.25 AND volatility >= 0.9564397693 AND regime_confidence <= 0.385,3_atom_conjunction,997,762,0.7642928786,0.7369633859,26,25,0.9615384615,0.811072211,285,193,0.6771929825,0.6208654016,29,27,0.9310344828,0.7803541985,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,26,0.6208654016
Bear,vix_ge_24.78000069__and__volatility_ge_0.9564397693__and__regime_confidence_le_0.385,vix >= 24.78000069 AND volatility >= 0.9564397693 AND regime_confidence <= 0.385,3_atom_conjunction,932,732,0.7854077253,0.7579073253,26,25,0.9615384615,0.811072211,275,185,0.6727272727,0.6152226645,23,21,0.9130434783,0.7320401892,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,23,0.6152226645
