,vix,vix_z20,vix_z60,vix_chg5,vix_chg20,vix3m,vix3m_z20,vix3m_z60,vix3m_chg5,vix3m_chg20,vix9d,vix9d_z20,vix9d_z60,vix9d_chg5,vix9d_chg20,vvix,vvix_z20,vvix_z60,vvix_chg5,vvix_chg20,skew,skew_z20,skew_z60,skew_chg5,skew_chg20,total_pc,total_pc_z20,total_pc_z60,total_pc_chg5,total_pc_chg20,equity_pc,equity_pc_z20,equity_pc_z60,equity_pc_chg5,equity_pc_chg20,index_pc,index_pc_z20,index_pc_z60,index_pc_chg5,index_pc_chg20,vix9d_vix_ratio,vix3m_vix_ratio,vvix_vix_ratio,index_equity_pc_spread,total_pc_volume_z20,equity_pc_volume_z20,index_pc_volume_z20,root_label
2024-05-03,13.49,-1.675155823182476,-0.8566336570700869,-0.10246174318030599,-0.1584529008109795,15.27,-1.565466237070334,-0.8795434478143548,-0.06146281499692685,-0.11117578579743892,12.0,-2.1498318310810314,-1.0424085805043548,-0.1820040899795501,-0.22380336351875818,74.57,-1.4580891772834441,-1.3921860257558238,-0.06271995977878342,-0.17674983440052994,135.18,-0.2470836774074854,-1.0360540112417778,-0.04032372568507747,-0.05229949523275368,,,,,,,,,,,,,,,,0.8895478131949592,1.1319495922905856,5.527798369162342,,,,,UnknownOrMixed
2024-05-06,13.49,-1.529659175543346,-0.8684001087658604,-0.08043626448534424,-0.11191573403554966,15.02,-1.593149705205899,-1.106051199921213,-0.06125000000000003,-0.09299516908212557,13.13,-1.4810377572511235,-0.5492164147958088,-0.13103904698874913,-0.0982142857142857,73.46,-1.422455369971988,-1.4991693502921513,-0.06085400153413456,-0.14838859262694193,130.08,-1.606200179500617,-1.6233474033959618,-0.05943600867678955,-0.07501955486027156,,,,,,,,,,,,,,,,0.9733135656041513,1.1134173461823573,5.445515196441808,,,,,UnknownOrMixed
2024-05-07,13.23,-1.538604855991738,-1.0257244102770149,-0.1546325878594249,-0.11682242990654201,14.95,-1.4999647658461912,-1.148371198847245,-0.09885473176612425,-0.0895249695493302,12.76,-1.5269571258226498,-0.7150111247783664,-0.23409363745498202,-0.13197278911564625,74.54,-1.2175574819999955,-1.3085024197642785,-0.08897580053776566,-0.11734754292480754,133.64,-0.4747970469369271,-1.1374668014109013,0.009365558912386662,-0.04049396898334301,,,,,,,,,,,,,,,,0.964474678760393,1.130007558578987,5.63416477702192,,,,,UnknownOrMixed
2024-05-08,13.0,-1.4883343454578954,-1.1371814359640702,-0.15529564652371675,-0.17721518987341778,14.9,-1.3801476507496708,-1.1541535631204054,-0.10078455039227519,-0.12558685446009388,12.48,-1.4804476409239724,-0.8193409086096594,-0.21558768070395973,-0.21062618595825422,74.5,-1.105523925969034,-1.2701305103920688,-0.09068717197607723,-0.188099389712293,133.24,-0.5230230880935333,-1.2340366607430937,-0.0008248968878888929,-0.04787766185508069,,,,,,,,,,,,,,,,0.9600000000000001,1.146153846153846,5.730769230769231,,,,,UnknownOrMixed
2024-05-09,12.69,-1.499470758362653,-1.3017792015538086,-0.135558583106267,-0.14889336016096588,14.71,-1.374065739856826,-1.2880641248300602,-0.08348909657320869,-0.1079442086112794,11.92,-1.5768924054163156,-1.0588444429534247,-0.1978465679676985,-0.15937940761636105,73.77,-1.067567014989162,-1.3268906353621384,-0.06133095813716771,-0.1748322147651008,136.46,0.5178656269964548,-0.7679560526437679,0.03284892521949745,0.0022032902467685744,,,,,,,,,,,,,,,,0.9393223010244287,1.1591804570527975,5.8132387706855795,,,,,UnknownOrMixed
2024-05-10,12.55,-1.3936594836528857,-1.356401173089096,-0.06968124536693843,-0.27498555748122466,14.66,-1.26065769493603,-1.2982532016674022,-0.0399476096922069,-0.19450549450549448,11.82,-1.4324509124800802,-1.0938395803368592,-0.015000000000000013,-0.31794575879976905,73.26,-1.0201878861396518,-1.3528785849919427,-0.017567386348397274,-0.28679906542056066,137.3,1.0280093148157488,-0.6189123771728351,0.015682793312620236,-0.03520483451619694,,,,,,,,,,,,,,,,0.9418326693227091,1.1681274900398406,5.837450199203188,,,,,UnknownOrMixed
2024-05-13,13.6,-0.8266973615595699,-0.6834574922659525,0.008154188287620379,-0.2927717108684348,14.89,-1.039083871645979,-1.0733233723456383,-0.008655126498002597,-0.23836317135549867,13.71,-0.6421240588788779,-0.25609086228874967,0.04417364813404423,-0.3395953757225434,77.55,-0.5634913452207835,-0.7775513694728481,0.05567655867138588,-0.29268515140459694,139.65,1.786317159126497,-0.2606040804896112,0.07357011070110686,0.014013941330235369,,,,,,,,,,,,,,,,1.0080882352941178,1.0948529411764707,5.702205882352941,,,,,UnknownOrMixed
2024-05-14,13.42,-0.8376701082716784,-0.7792366674150234,0.014361300075585781,-0.2706521739130434,14.7,-1.0732819737049204,-1.2059498575965997,-0.01672240802675584,-0.21974522292993637,13.31,-0.7398346832884636,-0.44329826742416834,0.0431034482758621,-0.3082120582120581,77.65,-0.4771255798403301,-0.7501962494503618,0.04172256506573646,-0.21763224181360197,140.18,1.7349220874200841,-0.1754396771756013,0.04893744387907817,0.03377581120943973,,,,,,,,,,,,,,,,0.9918032786885246,1.0953800298062593,5.786140089418779,,,,,UnknownOrMixed
2024-05-15,12.45,-1.2555524241960376,-1.3378132354015853,-0.04230769230769238,-0.3163097199341022,14.08,-1.3938278319254345,-1.6618734487228666,-0.055033557046979875,-0.2498668087373468,11.42,-1.4597885133597595,-1.25484274288769,-0.08493589743589747,-0.369060773480663,76.31,-0.5736274626409488,-0.8970192420572688,0.024295302013422893,-0.22731875253138922,140.64,1.6458637944436452,-0.10476156104514477,0.05553887721404971,0.04658431314183642,,,,,,,,,,,,,,,,0.9172690763052209,1.1309236947791166,6.129317269076306,,,,,UnknownOrMixed
2024-05-16,12.42,-1.189360957242916,-1.3088223431860275,-0.02127659574468077,-0.31000000000000005,14.22,-1.2160366448313067,-1.488255979801671,-0.03331067301155677,-0.23794212218649513,10.96,-1.5141858623840216,-1.40827573909274,-0.08053691275167774,-0.3870246085011185,77.74,-0.2878226825430054,-0.695625889848926,0.05381591432831767,-0.19012397124700486,147.85,2.7984562850945465,0.9512912510982066,0.08346768283746142,0.1217754172989376,,,,,,,,,,,,,,,,0.8824476650563607,1.144927536231884,6.259259259259259,,,,,UnknownOrMixed
