label,split_role,market_family,source_owner,symbol,timeframe,timestamp_or_date,source_row_id,source_confidence
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,GS,1d,2000-01-05,stock_market_regimes_2000_2026:81:GS:2000-01-05:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,MS,1d,2000-01-05,stock_market_regimes_2000_2026:87:MS:2000-01-05:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,AAPL,1d,2000-01-06,stock_market_regimes_2000_2026:104:AAPL:2000-01-06:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,NVDA,1d,2000-01-06,stock_market_regimes_2000_2026:124:NVDA:2000-01-06:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,AAPL,1d,2000-01-07,stock_market_regimes_2000_2026:138:AAPL:2000-01-07:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,NVDA,1d,2000-01-07,stock_market_regimes_2000_2026:158:NVDA:2000-01-07:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,AAPL,1d,2000-01-10,stock_market_regimes_2000_2026:172:AAPL:2000-01-10:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,AAPL,1d,2000-01-11,stock_market_regimes_2000_2026:206:AAPL:2000-01-11:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,NVDA,1d,2000-01-11,stock_market_regimes_2000_2026:226:NVDA:2000-01-11:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,NVDA,1d,2000-01-12,stock_market_regimes_2000_2026:260:NVDA:2000-01-12:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,T,1d,2000-01-12,stock_market_regimes_2000_2026:263:T:2000-01-12:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,AAPL,1d,2000-01-13,stock_market_regimes_2000_2026:274:AAPL:2000-01-13:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,NVDA,1d,2000-01-13,stock_market_regimes_2000_2026:294:NVDA:2000-01-13:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,T,1d,2000-01-13,stock_market_regimes_2000_2026:297:T:2000-01-13:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,AAPL,1d,2000-01-14,stock_market_regimes_2000_2026:308:AAPL:2000-01-14:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,T,1d,2000-01-18,stock_market_regimes_2000_2026:365:T:2000-01-18:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,T,1d,2000-01-19,stock_market_regimes_2000_2026:399:T:2000-01-19:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,WFC,1d,2000-01-19,stock_market_regimes_2000_2026:403:WFC:2000-01-19:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,CAT,1d,2000-01-20,stock_market_regimes_2000_2026:415:CAT:2000-01-20:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,T,1d,2000-01-20,stock_market_regimes_2000_2026:433:T:2000-01-20:Bear,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,WFC,1d,2000-01-20,stock_market_regimes_2000_2026:437:WFC:2000-01-20:Bear,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,AAPL,1d,2000-01-21,stock_market_regimes_2000_2026:444:AAPL:2000-01-21:Sideways,1.0000000000
Bull,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,AMD,1d,2000-01-21,stock_market_regimes_2000_2026:445:AMD:2000-01-21:Bull,1.0000000000
Bull,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,BA,1d,2000-01-21,stock_market_regimes_2000_2026:447:BA:2000-01-21:Bull,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,BAC,1d,2000-01-21,stock_market_regimes_2000_2026:448:BAC:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,COP,1d,2000-01-21,stock_market_regimes_2000_2026:450:COP:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,CSCO,1d,2000-01-21,stock_market_regimes_2000_2026:451:CSCO:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,CVX,1d,2000-01-21,stock_market_regimes_2000_2026:452:CVX:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,DIS,1d,2000-01-21,stock_market_regimes_2000_2026:453:DIS:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,GE,1d,2000-01-21,stock_market_regimes_2000_2026:454:GE:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,GS,1d,2000-01-21,stock_market_regimes_2000_2026:455:GS:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,HD,1d,2000-01-21,stock_market_regimes_2000_2026:456:HD:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,INTC,1d,2000-01-21,stock_market_regimes_2000_2026:457:INTC:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,JNJ,1d,2000-01-21,stock_market_regimes_2000_2026:458:JNJ:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,JPM,1d,2000-01-21,stock_market_regimes_2000_2026:459:JPM:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,MCD,1d,2000-01-21,stock_market_regimes_2000_2026:460:MCD:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,MS,1d,2000-01-21,stock_market_regimes_2000_2026:461:MS:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,NKE,1d,2000-01-21,stock_market_regimes_2000_2026:463:NKE:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,NVDA,1d,2000-01-21,stock_market_regimes_2000_2026:464:NVDA:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,PFE,1d,2000-01-21,stock_market_regimes_2000_2026:465:PFE:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,SBUX,1d,2000-01-21,stock_market_regimes_2000_2026:466:SBUX:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,T,1d,2000-01-21,stock_market_regimes_2000_2026:467:T:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,TMO,1d,2000-01-21,stock_market_regimes_2000_2026:468:TMO:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,UNH,1d,2000-01-21,stock_market_regimes_2000_2026:469:UNH:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,VZ,1d,2000-01-21,stock_market_regimes_2000_2026:470:VZ:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,WMT,1d,2000-01-21,stock_market_regimes_2000_2026:472:WMT:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,XOM,1d,2000-01-21,stock_market_regimes_2000_2026:473:XOM:2000-01-21:Sideways,1.0000000000
Sideways,heldout_market,us_index,source-owned-stock-market-regimes-2000-2026,^DJI,1d,2000-01-21,stock_market_regimes_2000_2026:474:^DJI:2000-01-21:Sideways,1.0000000000
Sideways,heldout_market,us_index,source-owned-stock-market-regimes-2000-2026,^GSPC,1d,2000-01-21,stock_market_regimes_2000_2026:475:^GSPC:2000-01-21:Sideways,1.0000000000
Sideways,heldout_market,us_index,source-owned-stock-market-regimes-2000-2026,^IXIC,1d,2000-01-21,stock_market_regimes_2000_2026:476:^IXIC:2000-01-21:Sideways,1.0000000000
Sideways,heldout_market,us_index,source-owned-stock-market-regimes-2000-2026,^RUT,1d,2000-01-21,stock_market_regimes_2000_2026:477:^RUT:2000-01-21:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,AAPL,1d,2000-01-24,stock_market_regimes_2000_2026:478:AAPL:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,BA,1d,2000-01-24,stock_market_regimes_2000_2026:481:BA:2000-01-24:Sideways,1.0000000000
Bear,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,COP,1d,2000-01-24,stock_market_regimes_2000_2026:484:COP:2000-01-24:Bear,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,CSCO,1d,2000-01-24,stock_market_regimes_2000_2026:485:CSCO:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,CVX,1d,2000-01-24,stock_market_regimes_2000_2026:486:CVX:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,DIS,1d,2000-01-24,stock_market_regimes_2000_2026:487:DIS:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,GS,1d,2000-01-24,stock_market_regimes_2000_2026:489:GS:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,INTC,1d,2000-01-24,stock_market_regimes_2000_2026:491:INTC:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,JPM,1d,2000-01-24,stock_market_regimes_2000_2026:493:JPM:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,MCD,1d,2000-01-24,stock_market_regimes_2000_2026:494:MCD:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,MS,1d,2000-01-24,stock_market_regimes_2000_2026:495:MS:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,NKE,1d,2000-01-24,stock_market_regimes_2000_2026:497:NKE:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,NVDA,1d,2000-01-24,stock_market_regimes_2000_2026:498:NVDA:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,PFE,1d,2000-01-24,stock_market_regimes_2000_2026:499:PFE:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,SBUX,1d,2000-01-24,stock_market_regimes_2000_2026:500:SBUX:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,T,1d,2000-01-24,stock_market_regimes_2000_2026:501:T:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,TMO,1d,2000-01-24,stock_market_regimes_2000_2026:502:TMO:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,VZ,1d,2000-01-24,stock_market_regimes_2000_2026:504:VZ:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,XOM,1d,2000-01-24,stock_market_regimes_2000_2026:507:XOM:2000-01-24:Sideways,1.0000000000
Sideways,heldout_market,us_index,source-owned-stock-market-regimes-2000-2026,^DJI,1d,2000-01-24,stock_market_regimes_2000_2026:508:^DJI:2000-01-24:Sideways,1.0000000000
Sideways,heldout_market,us_index,source-owned-stock-market-regimes-2000-2026,^GSPC,1d,2000-01-24,stock_market_regimes_2000_2026:509:^GSPC:2000-01-24:Sideways,1.0000000000
Sideways,heldout_market,us_index,source-owned-stock-market-regimes-2000-2026,^IXIC,1d,2000-01-24,stock_market_regimes_2000_2026:510:^IXIC:2000-01-24:Sideways,1.0000000000
Sideways,heldout_market,us_index,source-owned-stock-market-regimes-2000-2026,^RUT,1d,2000-01-24,stock_market_regimes_2000_2026:511:^RUT:2000-01-24:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,AAPL,1d,2000-01-25,stock_market_regimes_2000_2026:512:AAPL:2000-01-25:Sideways,1.0000000000
Bull,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,AMD,1d,2000-01-25,stock_market_regimes_2000_2026:513:AMD:2000-01-25:Bull,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,BA,1d,2000-01-25,stock_market_regimes_2000_2026:515:BA:2000-01-25:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,COP,1d,2000-01-25,stock_market_regimes_2000_2026:518:COP:2000-01-25:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,CSCO,1d,2000-01-25,stock_market_regimes_2000_2026:519:CSCO:2000-01-25:Sideways,1.0000000000
Sideways,calibration,us_single_stock,source-owned-stock-market-regimes-2000-2026,CVX,1d,2000-01-25,stock_market_regimes_2000_2026:520:CVX:2000-01-25:Sideways,1.0000000000
