candidate_source,source_row_id,matched_negative_group_id,materialized_in_rehydrated_positive_snapshot,matched_control_materialized_for_group,candidate_row_status
sarao,cftc_sarao_20100504_layering_sell_600_1173_25,cftc_sarao_20100504_layering_110036,True,True,proposed_sidecar_not_shared_intake
sarao,cftc_sarao_20100504_layering_sell_600_1173_50,cftc_sarao_20100504_layering_110036,True,True,proposed_sidecar_not_shared_intake
sarao,cftc_sarao_20100504_layering_sell_600_1173_75,cftc_sarao_20100504_layering_110036,True,True,proposed_sidecar_not_shared_intake
sarao,cftc_sarao_20100504_layering_sell_600_1174_00,cftc_sarao_20100504_layering_110036,True,True,proposed_sidecar_not_shared_intake
sarao,cftc_sarao_20140303_buy_2000_lot_spoof_second,cftc_sarao_20140303_2000_lot_spoof,True,True,proposed_sidecar_not_shared_intake
sarao,cftc_sarao_20130930_buy_2000_lot_spoof_third,cftc_sarao_20130930_2000_lot_spoof,True,True,proposed_sidecar_not_shared_intake
nowak_smith,cftc_nowak_smith_20130506_nowak_gold_sell_layered_spoof,cftc_nowak_smith_20130506_nowak_gold_sell_layered,True,True,proposed_sidecar_not_shared_intake
nowak_smith,cftc_nowak_smith_20131007_nowak_gold_buy_layered_spoof,cftc_nowak_smith_20131007_nowak_gold_buy_layered,True,True,proposed_sidecar_not_shared_intake
nowak_smith,cftc_nowak_smith_20140303_nowak_gold_buy_layered_spoof,cftc_nowak_smith_20140303_nowak_gold_buy_layered,True,True,proposed_sidecar_not_shared_intake
nowak_smith,cftc_nowak_smith_20130125_smith_silver_buy_layered_spoof,cftc_nowak_smith_20130125_smith_silver_buy_layered,True,True,proposed_sidecar_not_shared_intake
nowak_smith,cftc_nowak_smith_20130523_smith_gold_sell_layered_spoof,cftc_nowak_smith_20130523_smith_gold_sell_layered,True,True,proposed_sidecar_not_shared_intake
nowak_smith,cftc_nowak_smith_20150611_smith_gold_buy_layered_spoof,cftc_nowak_smith_20150611_smith_gold_buy_layered,True,True,proposed_sidecar_not_shared_intake
oystacher_khara_salim,cftc_oystacher_20121130_ng_sell_spoof_orders,cftc_oystacher_20121130_ng_sell_spoof_buy_flip,False,False,proposed_sidecar_not_shared_intake
oystacher_khara_salim,cftc_oystacher_20140106_es_sell_spoof_orders,cftc_oystacher_20140106_es_sell_spoof_buy_flip,False,False,proposed_sidecar_not_shared_intake
oystacher_khara_salim,cftc_khara_20150220_gold_layered_bids,cftc_khara_20150220_gold_offer_vs_layered_bids,False,False,proposed_sidecar_not_shared_intake
oystacher_khara_salim,cftc_salim_20150424_silver_layered_offers,cftc_salim_20150424_silver_bid_vs_layered_offers,False,False,proposed_sidecar_not_shared_intake
jpmorgan_latest,cftc_jpm_20111212_trader1_silver_buy_layered_spoof,cftc_jpm_20111212_trader1_silver_sell_genuine_buy_layered,True,False,proposed_sidecar_not_shared_intake
jpmorgan_latest,cftc_jpm_20131210_trader5_silver_buy_spoof,cftc_jpm_20131210_trader5_silver_sell_genuine_buy_spoof,False,False,proposed_sidecar_not_shared_intake
jpmorgan_latest,cftc_jpm_20140305_trader6_silver_buy_layered_spoof,cftc_jpm_20140305_trader6_silver_sell_genuine_buy_layered,True,False,proposed_sidecar_not_shared_intake
jpmorgan_latest,cftc_jpm_20160622_trader4_platinum_buy_layered_spoof,cftc_jpm_20160622_trader4_platinum_sell_genuine_buy_layered,True,False,proposed_sidecar_not_shared_intake
jpmorgan_latest,cftc_jpm_20090720_trader7_tbond_buy_layered_spoof,cftc_jpm_20090720_trader7_tbond_sell_genuine_buy_layered,False,False,proposed_sidecar_not_shared_intake
jpmorgan_latest,cftc_jpm_20100204_trader8_10y_tnote_sell_spoof,cftc_jpm_20100204_trader8_10y_tnote_buy_genuine_sell_spoof,False,False,proposed_sidecar_not_shared_intake
jpmorgan_latest,cftc_jpm_20110927_trader9_10y_tnote_sell_spoof,cftc_jpm_20110927_trader9_10y_tnote_buy_genuine_sell_spoof,False,False,proposed_sidecar_not_shared_intake
jpmorgan_latest,cftc_jpm_20150630_trader10_ultra_tbond_sell_spoof,cftc_jpm_20150630_trader10_ultra_tbond_buy_genuine_sell_spoof,False,False,proposed_sidecar_not_shared_intake
thakkar_backofbook,cftc_thakkar_20130222_backofbook_buy_150400,cftc_thakkar_20130222_backofbook_buy_spoof,False,False,proposed_sidecar_not_shared_intake
thakkar_backofbook,cftc_thakkar_20130225_backofbook_sell_150450,cftc_thakkar_20130225_backofbook_sell_spoof,False,False,proposed_sidecar_not_shared_intake
thakkar_backofbook,cftc_thakkar_20130225_backofbook_sell_150475,cftc_thakkar_20130225_backofbook_sell_spoof,False,False,proposed_sidecar_not_shared_intake
thakkar_backofbook,cftc_thakkar_20130225_backofbook_sell_150500,cftc_thakkar_20130225_backofbook_sell_spoof,False,False,proposed_sidecar_not_shared_intake
moncada_large_lot,cftc_moncada_20091029_wheat_large_lot_buy_103325251,cftc_moncada_20091029_wheat_large_lot_103325251,False,False,proposed_sidecar_not_shared_intake
moncada_large_lot,cftc_moncada_20091029_wheat_large_lot_buy_103440764,cftc_moncada_20091029_wheat_large_lot_103440764,False,False,proposed_sidecar_not_shared_intake
moncada_large_lot,cftc_moncada_20091029_wheat_large_lot_buy_103541260,cftc_moncada_20091029_wheat_large_lot_103541260,False,False,proposed_sidecar_not_shared_intake
moncada_large_lot,cftc_moncada_20091029_wheat_large_lot_buy_103642715,cftc_moncada_20091029_wheat_large_lot_103642715,False,False,proposed_sidecar_not_shared_intake
moncada_large_lot,cftc_moncada_20091029_wheat_large_lot_buy_103740395,cftc_moncada_20091029_wheat_large_lot_103740395,False,False,proposed_sidecar_not_shared_intake
moncada_large_lot,cftc_moncada_20091029_wheat_large_lot_buy_103824755,cftc_moncada_20091029_wheat_large_lot_103824755,False,False,proposed_sidecar_not_shared_intake
