ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
mafaqbhatti/stock-market-regimes-20002026,Stock Market Regimes (2000–2026),14239487,2026-02-01 02:25:29.437000,231,45,1.0
bsthere/mercedes-stock-data-1996-2026,Mercedes-Benz Stock Data (1996-2026),194202,2026-02-26 13:52:53,498,37,1.0
kanchana1990/world-bank-commodity-price-intelligence-19602026,World Bank Commodity Price Intelligence 1960–2026,2231883,2026-03-16 11:22:36.463000,552,44,1.0
kaushalnandania/crypto-data-2014-2026,Top 50 Cryptocurrency Data (2014 - 2026),8925801,2026-02-17 08:59:51,710,26,1.0
kanchana1990/tech-giants-and-global-macroeconomic-indicators,Tech Giants & Global Macroeconomic Indicators,878030,2026-03-12 05:32:05.367000,184,32,1.0
kanchana1990/bis-global-debt-securities-intelligence-19622025,BIS Global Debt Securities Intelligence 1962–2025,28925723,2026-03-18 19:20:43.603000,182,31,1.0
ibrahimshahrukh/s-and-p-500-historical-data-1980-2026,S&P 500 Historical Daily Prices (1980–2026),941367,2026-02-26 02:30:37.997000,91,13,1.0
patelris/nvidia-corporation-stock-data-1999-2026,📈 NVIDIA Share Price History,227172,2026-04-29 17:11:37.247000,68,16,1.0
ibrahimshahrukh/top-50-companies-dataset,Global Top 50 Stocks Historical Data (2006–2026),6168886,2026-02-23 02:06:15.217000,308,28,1.0
igormerlinicomposer/silver-price-dynamics-and-market-behavior,Silver Price Dynamics & Market Behavior,106187,2026-03-12 07:03:11,20,1,1.0
ahaanverma00/nifty-500-market-and-behavior-regime-dataset,NIFTY 500 Market & Behavior Regime Dataset,1655332,2026-04-15 15:25:28.867000,15,1,0.7647059
abidhussai512/macro-regime-dataset-s-and-p-500-vs-federal-fund-rate,Macro Regime Dataset: S&P 500 vs Federal Fund Rate,15701,2026-03-16 04:45:43.063000,14,27,0.9411765
vnthanhphm/14-year-bitcoin-alpha-microstructure-teaser,14-Year Bitcoin Alpha: Microstructure Teaser,55122,2026-01-30 09:17:34.477000,0,1,0.88235295
ahaanverma00/nifty-500-and-india-vix-daily-data-2010-2026,NIFTY 500 & India VIX Daily Data 2010-2026,162840,2026-04-15 14:53:39.833000,16,1,0.8235294
ashwinprakashml/us-macroeconomic-and-market-volatility-features,US Macroeconomic and Market Volatility Features,876308,2026-03-15 07:16:19,17,1,0.7647059
marketsignal/marketsignal-ai-feature-feed-mag-7-stocks,MarketSignal AI Feature Feed - Mag 7 Stocks,66237,2026-03-15 18:27:31,9,1,0.8235294
sergionefedov/so-paulo-real-estate-sales-and-rentals-2020-2026,São Paulo Real Estate Sales and Rentals 2020-2026,5245668,2026-05-11 10:35:11.087000,3,1,1.0
meruvakodandasuraj/cryptocurrency-market-intelligence-2018-2026,Cryptocurrency Market Intelligence 2018-2026,191447,2026-05-01 10:56:50.413000,13,1,0.7058824
sergionefedov/mumbai-real-estate-sales-and-rentals-2020-2026,Mumbai Real Estate Sales and Rentals 2020-2026,4901124,2026-05-10 12:58:03,4,1,1.0
szlevente/romania-financial-markets,Romania Financial Markets,171788,2026-03-10 17:08:52,7,1,0.47058824
