provider,symbol,timeframe,attempted,status,reason,rows,first_ts,last_ts,raw_csv,raw_committed,label_status,accepted_for_confidence,runtime_code_changed,thresholds_relaxed,trade_usable,returncode,stdout,stderr
ibkr,QQQ,1h,True,fetch_failed,returncode=1,0,,,/private/tmp/ict-regime-ibkr-ready-lane-20260511T080720/QQQ_1h.csv,False,missing_independent_root_labels,False,False,False,False,1,,"Installed 15 packages in 90ms
API connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)"
ibkr,DIA,1m,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
ibkr,DIA,5m,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
ibkr,DIA,15m,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
ibkr,DIA,30m,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
ibkr,DIA,1h,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
ibkr,DIA,4h,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
ibkr,DIA,1d,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
ibkr,DIA,1w,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
ibkr,DIA,1mo,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
ibkr,DJI,1m,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
ibkr,DJI,5m,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
ibkr,DJI,15m,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
ibkr,DJI,30m,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
ibkr,DJI,1h,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
ibkr,DJI,4h,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
ibkr,DJI,1d,False,not_attempted_after_operator_fetch_blocker,"fetch_failed:returncode=1: connection failed: ConnectionRefusedError(61, ""Connect call failed ('127.0.0.1', 7497)"")
Make sure API port on TWS/IBG is open
Cannot reach IBKR Gateway at 127.0.0.1:7497 (clientId=21). Is IB Gateway / TWS running and API enabled? Underlying error: [Errno 61] Connect call failed ('127.0.0.1', 7497)",0,,,,False,missing_independent_root_labels,False,False,False,False,,,
