source,query,exit_code,reported_total,top_title,identifier,published
datacite,direct_manipulation_positive_rows_matched_controls,0,5,"The Nexus Recursive Harmonic Framework   ## Reality as Unbounded, Observerless Computation (SILR / RHA / CST)",10.5281/zenodo.18358305,2026
datacite,direct_manipulation_positive_rows_matched_controls,0,5,"The Nexus Recursive Harmonic Framework: Reality as Unbounded, Observerless Computation (SILR / RHA / CST) Ver 2",10.5281/zenodo.18359261,2026
datacite,direct_manipulation_positive_rows_matched_controls,0,5,The White Puzzle: A Framework for Computation as a Recursive‑Harmonic Phenomenon,10.5281/zenodo.17209313,2025
datacite,direct_manipulation_positive_rows_matched_controls,0,5,"COVID-19: A Global Biological Update Beyond Viral Pathogen Narratives, Functioning as a High-Dimensional Respiratory Sync to Align Human DNA with Earth's New Frequency and Execute a Complete Structural Reconstruction of Global Genetic Architecture.",10.5281/zenodo.18748903,2026
datacite,direct_manipulation_positive_rows_matched_controls,0,5,"COVID-19: A Global Biological Update Beyond Viral Pathogen Narratives, Functioning as a High-Dimensional Respiratory Sync to Align Human DNA with Earth's New Frequency and Execute a Complete Structural Reconstruction of Global Genetic Architecture.",10.5281/zenodo.18749488,2026
datacite,strict_3red,0,3,draft-you-taps-3red-model-00 - 3RED Model for TAPS.pdf,10.6084/m9.figshare.7542926.v1,2019
datacite,strict_3red,0,3,RFC - 3RED Model for TAPS,10.6084/m9.figshare.7542926.v2,2019
datacite,strict_3red,0,3,RFC - 3RED Model for TAPS,10.6084/m9.figshare.7542926,2019
dataverse,3red_trading_spoofing_owner_export,0,11603,Foreign Trade of Shanghai: Analysis of Exports,doi:10.7910/DVN/HYUX15,2024-07-19T15:07:54Z
dataverse,3red_trading_spoofing_owner_export,0,11603,Value of Shanghai Foreign Trade: By Countries,doi:10.7910/DVN/HIHES0,2024-07-19T15:07:54Z
dataverse,3red_trading_spoofing_owner_export,0,11603,Foreign Trade of Shanghai: Analysis of Imports,doi:10.7910/DVN/WIZ6ZM,2024-07-19T15:03:54Z
dataverse,3red_trading_spoofing_owner_export,0,11603,ERC-20 Trading 2015,doi:10.7910/DVN/REODCK,2025-07-07T06:50:49Z
dataverse,3red_trading_spoofing_owner_export,0,11603,ERC-20 trading 2016,doi:10.7910/DVN/GE0KWI,2025-07-07T06:50:15Z
dataverse,direct_manipulation_positive_rows_matched_controls,0,44186,Replication Data for: lobbying-position,doi:10.7910/DVN/D0QWM2,2025-04-20T15:01:15Z
dataverse,direct_manipulation_positive_rows_matched_controls,0,44186,Replication Data for: Propensity Scores Have Non-paradoxical Performance in Matching Under Real-world Conditions,doi:10.7910/DVN/RHLMJD,2020-12-17T22:54:04Z
dataverse,direct_manipulation_positive_rows_matched_controls,0,44186,Direct-MSM-Droplet,doi:10.7910/DVN/Y6K4FA,2024-11-13T18:11:52Z
dataverse,direct_manipulation_positive_rows_matched_controls,0,44186,Replication Data for: Feedback and Education Improve Human Detection of Image Manipulation on Social Media,doi:10.7910/DVN/CKMBCG,2025-03-17T19:57:23Z
dataverse,direct_manipulation_positive_rows_matched_controls,0,44186,Base pair to Bin Matching,doi:10.7910/DVN/8CZSMB,2019-04-18T18:27:02Z
dataverse,oystacher_spoofing_futures_order_book_dataset,0,298084,Experiment 2,doi:10.7910/DVN/5ELTXC,2021-02-04T17:08:15Z
dataverse,oystacher_spoofing_futures_order_book_dataset,0,298084,Experiment 1,doi:10.7910/DVN/RSK1UT,2021-02-04T17:07:18Z
dataverse,oystacher_spoofing_futures_order_book_dataset,0,298084,Protest for a future dataset,doi:10.7910/DVN/T1QJBB,2024-12-05T19:38:53Z
dataverse,oystacher_spoofing_futures_order_book_dataset,0,298084,State Level Executive Orders.,doi:10.7910/DVN/22785,2013-10-10T00:00:00Z
dataverse,oystacher_spoofing_futures_order_book_dataset,0,298084,Consolidated Data on Confiscation and Revocation Orders,doi:10.7910/DVN/SFIA3W,2025-11-18T17:41:19Z
