field,value
run_id,20260512T022552-codex-autoquant-threaded-dns-prepare-probe-v1
gate_result,autoquant_threaded_dns_prepare_probe_v1=threaded_resolver_connector_patch_prepared_seed_required_no_promotion
initial_exchangeinfo_exit_code,1
connector_patch_exchangeinfo_exit_code,0
prepare_exit_code,0
status_after_prepare_exit_code,0
threaded_resolver_forced,true
connector_default_forced,true
binance_exchangeinfo_reachable_after_connector_patch,true
status_before_prepare,dependency_ready_data_missing
status_after_prepare,dependency_ready_seed_required
data_ready_after_prepare,true
auto_quant_healthy_after_prepare,true
next_auto_quant_blocker,auto_quant_seed_strategies_required
managed_data_feather_files,15
accepted_rows_added,0
new_confidence_gate,false
canonical_merge_allowed,false
downstream_promotion_rerun_allowed,false
strict_full_objective_achieved,false
update_goal,false
