ticker,instrument_class,root,daily_rows,covered
AAPL,us_single_stock,Bull,3341,true
AAPL,us_single_stock,Bear,1309,true
AAPL,us_single_stock,Sideways,916,true
AAPL,us_single_stock,Crisis,993,true
ABBV,us_single_stock,Bull,1704,true
ABBV,us_single_stock,Bear,622,true
ABBV,us_single_stock,Sideways,880,true
ABBV,us_single_stock,Crisis,84,true
AMD,us_single_stock,Bull,1423,true
AMD,us_single_stock,Bear,1667,true
AMD,us_single_stock,Sideways,285,true
AMD,us_single_stock,Crisis,3184,true
AMZN,us_single_stock,Bull,2794,true
AMZN,us_single_stock,Bear,1427,true
AMZN,us_single_stock,Sideways,851,true
AMZN,us_single_stock,Crisis,1487,true
BA,us_single_stock,Bull,2575,true
BA,us_single_stock,Bear,1627,true
BA,us_single_stock,Sideways,1325,true
BA,us_single_stock,Crisis,1032,true
BAC,us_single_stock,Bull,2612,true
BAC,us_single_stock,Bear,1451,true
BAC,us_single_stock,Sideways,1510,true
BAC,us_single_stock,Crisis,986,true
CAT,us_single_stock,Bull,3024,true
CAT,us_single_stock,Bear,1729,true
CAT,us_single_stock,Sideways,1175,true
CAT,us_single_stock,Crisis,631,true
COP,us_single_stock,Bull,2705,true
COP,us_single_stock,Bear,1755,true
COP,us_single_stock,Sideways,1441,true
COP,us_single_stock,Crisis,658,true
CSCO,us_single_stock,Bull,2369,true
CSCO,us_single_stock,Bear,1661,true
CSCO,us_single_stock,Sideways,1378,true
CSCO,us_single_stock,Crisis,1151,true
CVX,us_single_stock,Bull,2825,true
CVX,us_single_stock,Bear,1478,true
CVX,us_single_stock,Sideways,2003,true
CVX,us_single_stock,Crisis,253,true
DIS,us_single_stock,Bull,2472,true
DIS,us_single_stock,Bear,1759,true
DIS,us_single_stock,Sideways,1607,true
DIS,us_single_stock,Crisis,721,true
GE,us_single_stock,Bull,2212,true
GE,us_single_stock,Bear,1872,true
GE,us_single_stock,Sideways,1533,true
GE,us_single_stock,Crisis,942,true
GOOGL,us_single_stock,Bull,2824,true
GOOGL,us_single_stock,Bear,1086,true
GOOGL,us_single_stock,Sideways,1123,true
GOOGL,us_single_stock,Crisis,364,true
GS,us_single_stock,Bull,2603,true
GS,us_single_stock,Bear,1751,true
GS,us_single_stock,Sideways,1312,true
GS,us_single_stock,Crisis,893,true
HD,us_single_stock,Bull,2830,true
HD,us_single_stock,Bear,1373,true
HD,us_single_stock,Sideways,1578,true
HD,us_single_stock,Crisis,778,true
INTC,us_single_stock,Bull,2071,true
INTC,us_single_stock,Bear,1876,true
INTC,us_single_stock,Sideways,1182,true
INTC,us_single_stock,Crisis,1429,true
JNJ,us_single_stock,Bull,2925,true
JNJ,us_single_stock,Bear,1183,true
JNJ,us_single_stock,Sideways,2427,true
JNJ,us_single_stock,Crisis,24,true
JPM,us_single_stock,Bull,2829,true
JPM,us_single_stock,Bear,1361,true
JPM,us_single_stock,Sideways,1584,true
JPM,us_single_stock,Crisis,785,true
MCD,us_single_stock,Bull,3088,true
MCD,us_single_stock,Bear,1084,true
MCD,us_single_stock,Sideways,2139,true
MCD,us_single_stock,Crisis,248,true
META,us_single_stock,Bull,1827,true
META,us_single_stock,Bear,604,true
META,us_single_stock,Sideways,561,true
META,us_single_stock,Crisis,450,true
MS,us_single_stock,Bull,2404,true
MS,us_single_stock,Bear,1727,true
MS,us_single_stock,Sideways,1029,true
MS,us_single_stock,Crisis,1399,true
MSFT,us_single_stock,Bull,2779,true
MSFT,us_single_stock,Bear,1400,true
MSFT,us_single_stock,Sideways,1573,true
MSFT,us_single_stock,Crisis,807,true
NFLX,us_single_stock,Bull,2664,true
NFLX,us_single_stock,Bear,1302,true
NFLX,us_single_stock,Sideways,463,true
NFLX,us_single_stock,Crisis,1531,true
NKE,us_single_stock,Bull,2985,true
NKE,us_single_stock,Bear,1429,true
NKE,us_single_stock,Sideways,1555,true
NKE,us_single_stock,Crisis,590,true
NVDA,us_single_stock,Bull,2737,true
NVDA,us_single_stock,Bear,1275,true
NVDA,us_single_stock,Sideways,531,true
NVDA,us_single_stock,Crisis,2015,true
PFE,us_single_stock,Bull,2248,true
PFE,us_single_stock,Bear,1955,true
PFE,us_single_stock,Sideways,1917,true
PFE,us_single_stock,Crisis,439,true
SBUX,us_single_stock,Bull,2847,true
SBUX,us_single_stock,Bear,1628,true
SBUX,us_single_stock,Sideways,1410,true
SBUX,us_single_stock,Crisis,672,true
T,us_single_stock,Bull,2609,true
T,us_single_stock,Bear,1575,true
T,us_single_stock,Sideways,1978,true
T,us_single_stock,Crisis,397,true
TMO,us_single_stock,Bull,3266,true
TMO,us_single_stock,Bear,1166,true
