ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
mafaqbhatti/stock-market-regimes-20002026,Stock Market Regimes (2000–2026),14239487,2026-02-01 02:25:29.437000,231,45,1.0
bsthere/volkswagen-stock-data-1995-2026,Volkswagen Stock Data (1995-2026),552824,2026-02-27 13:09:55.527000,211,28,1.0
ibrahimshahrukh/nvidia-daily-stock-prices-20162026-dataset,NVIDIA Daily Stock Prices (2016–2026) Dataset,104879,2026-02-01 01:44:02,749,53,1.0
kanchana1990/tech-giants-and-global-macroeconomic-indicators,Tech Giants & Global Macroeconomic Indicators,878030,2026-03-12 05:32:05.367000,184,32,1.0
kanchana1990/algorithmic-trading-macro-stress-and-asset-regimes,Algorithmic Trading: Macro Stress & Asset Regimes,382546,2026-02-25 04:11:37.147000,361,35,1.0
hassanjameelahmed/aramco-stock-2019-2025,Aramco-Stock-2019-2025,33045,2026-02-14 05:38:30.307000,49,11,1.0
baidalinadilzhan/advanced-stock-dataset,Advanced-stock-dataset,170020797,2025-12-26 15:02:45,178,24,0.7647059
yanmaksi/btcbusd-1m-2023-09-csv,💹 NEW BITCOIN DataSet for the 2023!,30635117,2023-10-03 09:10:56.837000,505,10,1.0
nickdatak/us-market-regimes-dataset-1995-2024,US Market Regimes Dataset (1995-2024),163252,2026-01-23 12:42:22,32,1,1.0
tanulkumarsrivastava/lme-aluminum-forecasting-dataset-explainability,lme aluminum forecasting dataset - explainability,589928,2026-02-28 19:37:39,113,1,0.9375
sergionefedov/global-stock-market-returns-by-sector-20002024,Global Stock Market Returns by Sector (2000–2024),1596338,2026-03-15 21:28:53.857000,33,1,0.9411765
abbaemmanuel/nigeria-macro-and-fx-data-19902024,Nigeria Macro & FX Data (1990–2024),91533,2025-08-29 12:17:36.097000,79,1,0.7058824
sergionefedov/istanbul-real-estate-sales-and-rentals-20202026,Istanbul Real Estate: Sales & Rentals (2020–2026),4917901,2026-05-09 10:09:46.703000,4,1,1.0
franekwodarczyk/trading-dataset-us-stocks-various-sectors-from-09,Trading Dataset US Stocks various sectors from 09,8948243,2026-04-18 17:11:50,20,1,0.9411765
bayillageda/stocktwits-sentiment-data,StockTwits Sentiment Data,175864893,2026-04-25 15:46:11.473000,14,1,0.47058824
franekwodarczyk/trading-dataset-tech-stocks-from-2009-ex-nvda-tsm,"Trading Dataset Tech Stocks from 2009 eg.NVDA, TSM",8076730,2026-04-18 16:54:52.833000,14,0,0.9411765
arnavisamalhotra/synthetic-stock-market-heston-jump-diffusion,Synthetic Stock Market (Heston + Jump Diffusion),9565585,2025-12-25 04:46:23.743000,5,0,0.88235295
