id,requirement,required_evidence,evidence,status,blocker
objective_board,Use the named Board A markdown as the live coordination artifact.,Board file read and current hash captured before audit.,docs/plans/2026-05-10-actionable-regime-confidence-todo.md sha256=736a8e4b5961323b92aa86a5da9156705ea3454d18102f96d950d82f141b5258,covered,
multi_agent_safety,Do not disrupt other agents' in-progress board work.,Append-only behavior and count-once treatment for duplicated sections.,Board tail contains append-only race de-dup notes; this audit does not rewrite prior sections.,partial,Concurrent writers are still a race risk; only append-only registration is safe.
regime_95_confidence,Every regime reaches 95% confidence.,Accepted per-regime packets with qualifying conditions and calibrated confidence >=95%.,Latest board keeps accepted_rows_added=0 and source/control evidence acquired false.,blocked,Source/control and selected-history gates are not unlocked.
cross_market_validation,Validate the regimes on other markets with suitable confidence.,Cross-market validation instruments and confidence readbacks for each accepted regime.,No accepted regime packet is available for cross-market validation.,blocked,Regime acceptance is blocked before cross-market validation can be promoted.
cross_timeframe_validation,Validate the regimes on other periods/timeframes with suitable confidence.,Cross-period/timeframe validation and chronological calibration for each accepted regime.,No accepted regime packet is available for cross-timeframe validation.,blocked,Regime acceptance is blocked before cross-timeframe validation can be promoted.
real_chain_order,"Operate Auto-Quant, filter / Pre-Bayes, BBN, CatBoost/path-ranking, and execution tree in order.",Downstream rerun artifacts after source/control and selected-history unlock.,"Board explicitly says no verifier, canonical merge, selected-data AutoQuant, Pre-Bayes/BBN, CatBoost/path-ranking, or execution-tree promotion is authorized.",blocked,Running the chain now would violate the fail-closed Board A gate.
provider_breadth,"Remember IBKR, TradingViewRemix, yf/yfinance, and Kraken provider paths.",Provider readback tied to accepted source/control evidence or allowed non-promotional audit.,"Prior board text reports provider surface observed, but source/control remains absent.",partial,Provider readiness is not source/control evidence and cannot unlock promotion alone.
source_control_unlock,Acquire owner-approved/source-owned positives plus matched normal controls or approved FLIP-as-control.,R6/R5/R3 required-root package with provenance and matched controls.,085612 found public/academic methodology hits but official owner-export package hits=0 and verifier-native packages acquired=0.,blocked,No owner-approved positive/control/provenance package acquired.
selected_history,Have explicit user-selected historical path before selected-data AutoQuant promotion.,Explicit user-selected HTF/MTF/LTF or equivalent history selection in board.,Latest counted audits keep explicit user-selected history false.,blocked,No explicit selected-history approval is present.
public_route_triage,Search public/paper/open-source routes if source/control is bottlenecked.,Public route triage artifact after 085131.,docs/experiments/actionable-regime-confidence/runs/20260512T085612+0800-codex-public-spoofing-source-control-route-triage-after-085131-v1/public-spoofing-source-control-route-triage-after-085131-v1/public_spoofing_source_control_route_triage_after_085131_v1.md; public routes did not unlock source/control.,covered_fail_closed,
no_false_completion,Do not call update_goal or claim completion until every requirement is covered.,Audit assertions keep update_goal=false and strict_full_objective=false.,This audit is fail-closed and does not authorize update_goal.,covered_fail_closed,
