request_id,field,required
source_label_equivalence,package_id,True
source_label_equivalence,source_owner,True
source_label_equivalence,source_report_or_dataset,True
source_label_equivalence,source_pull_date,True
source_label_equivalence,market_family,True
source_label_equivalence,symbol,True
source_label_equivalence,source_symbol,True
source_label_equivalence,equivalence_policy,True
source_label_equivalence,event_species,True
source_label_equivalence,timestamp_or_date,True
source_label_equivalence,timeframe,True
source_label_equivalence,main_regime_v2_label,True
source_label_equivalence,direct_label,True
source_label_equivalence,matched_negative_group_id,True
source_label_equivalence,split_role,True
source_label_equivalence,source_row_id,True
source_label_equivalence,provenance_hash,True
r3_native_subhour_source_labels,source_row_id,True
r3_native_subhour_source_labels,source_name,True
r3_native_subhour_source_labels,owner_or_licensor,True
r3_native_subhour_source_labels,license_or_permission,True
r3_native_subhour_source_labels,instrument,True
r3_native_subhour_source_labels,timeframe,True
r3_native_subhour_source_labels,timestamp_start_utc,True
r3_native_subhour_source_labels,timestamp_end_utc,True
r3_native_subhour_source_labels,root_label,True
r3_native_subhour_source_labels,source_label,True
r3_native_subhour_source_labels,qualifying_condition,True
r3_native_subhour_source_labels,confidence_or_quality_flag,True
r3_native_subhour_source_labels,validation_instrument_group,True
r3_native_subhour_source_labels,validation_period,True
r3_native_subhour_source_labels,validation_market_context,True
r3_native_subhour_source_labels,provenance_url_or_path,True
r3_native_subhour_source_labels,source_version_hash,True
r3_native_subhour_source_labels,forbidden_proxy_flag,True
r5_source_panel_recency_extension,date,True
r5_source_panel_recency_extension,ticker,True
r5_source_panel_recency_extension,close,True
r5_source_panel_recency_extension,returns,True
r5_source_panel_recency_extension,volatility,True
r5_source_panel_recency_extension,regime_label,True
r5_source_panel_recency_extension,regime_confidence,True
r5_source_panel_recency_extension,macro_context,True
r5_source_panel_recency_extension,unemployment_rate,True
r5_source_panel_recency_extension,fed_funds_rate,True
r5_source_panel_recency_extension,cpi,True
r5_source_panel_recency_extension,10y_treasury,True
r5_source_panel_recency_extension,2y_treasury,True
r5_source_panel_recency_extension,vix,True
