Date,india_vix,rsi_14,ma_50,ma_200,regime
2015-10-23,8295.4501953125,34.61122026598752,20.662400035858155,17.898650012016297,1
2015-10-26,8260.5498046875,41.43742155063661,20.689200019836427,17.915800008773807,0
2015-10-27,8232.900390625,38.5611750612756,20.671000022888187,17.927750015258795,1
2015-10-28,8171.2001953125,41.71816402516086,20.671400032043454,17.92585001945496,1
2015-10-29,8111.75,45.00487844554652,20.702600021362304,17.923050022125246,0
2015-10-30,8065.7998046875,46.79983362228195,20.731000022888185,17.93010002136231,0
2015-11-02,8050.7998046875,55.19843951207491,20.79340000152588,17.947700018882756,0
2015-11-03,8060.7001953125,55.57606854122816,20.85099998474121,17.964950013160706,0
2015-11-04,8040.2001953125,54.342857725761256,20.89860000610352,17.979350018501282,0
2015-11-05,7955.4501953125,53.89211569575747,20.94220001220703,17.989550023078916,0
2015-11-06,7954.2998046875,54.92739007460079,20.76900001525879,18.00610002040863,0
2015-11-09,7915.2001953125,41.40965537329018,20.57280002593994,18.00495002269745,0
2015-11-10,7783.35009765625,40.48243779935796,20.39900001525879,18.000850024223332,0
2015-11-13,7762.25,45.60423259559333,20.311199989318848,18.00275002002716,0
2015-11-16,7806.60009765625,46.98237864183192,20.20219997406006,18.003600020408633,0
2015-11-17,7837.5498046875,42.40472035649975,20.04959995269776,17.995600018501285,0
2015-11-18,7731.7998046875,45.24579386229563,19.823599967956543,17.99325002193451,0
2015-11-19,7842.75,38.13320940334238,19.60739997863769,17.98200002193451,1
2015-11-20,7856.5498046875,38.52839289439556,19.442999954223637,17.96265001773834,1
2015-11-23,7849.25,45.85375308529228,19.25619995117188,17.950900015830992,0
2015-11-24,7831.60009765625,42.0573129594353,19.05419994354248,17.931300015449523,1
2015-11-26,7883.7998046875,44.672498808865065,18.896599960327148,17.912700018882756,1
2015-11-27,7942.7001953125,44.91589340887645,18.745199966430665,17.89730001926422,1
2015-11-30,7935.25,43.37468343238116,18.578799972534178,17.879200024604796,1
2015-12-01,7954.89990234375,39.528227889767486,18.391999988555902,17.854300022125244,1
2015-12-02,7931.35009765625,38.824219775687176,18.21539999008178,17.82830001831055,1
2015-12-03,7864.14990234375,42.98010124583291,18.061799983978272,17.798500013351443,1
2015-12-04,7781.89990234375,43.198818106183424,17.943599987030034,17.773000011444093,1
2015-12-07,7765.39990234375,41.92870054541589,17.895199966430667,17.74985001087189,1
2015-12-08,7701.7001953125,42.75263130675694,17.850999965667725,17.72890001296997,1
2015-12-09,7612.5,48.708815338640015,17.778599948883056,17.712050008773804,1
2015-12-10,7683.2998046875,45.74161481475582,17.690599956512447,17.68935001373291,1
2015-12-11,7610.4501953125,52.098075471229016,17.61659997940063,17.67070001602173,1
2015-12-14,7650.0498046875,55.9680027154376,17.539199962615964,17.65770001411438,1
2015-12-15,7700.89990234375,52.57429816132619,17.45459997177124,17.638050012588504,1
2015-12-16,7750.89990234375,48.38445237883075,17.396599979400634,17.61355001449585,1
2015-12-17,7844.35009765625,35.75704514056617,17.29619998931885,17.576900019645688,1
2015-12-18,7761.9501953125,37.64231023907073,17.203400001525882,17.54545001506805,1
2015-12-21,7834.4501953125,36.53058120334236,17.101800003051757,17.5137000131607,1
2015-12-22,7786.10009765625,38.4140367695325,17.004599990844724,17.48825001239776,1
2015-12-23,7865.9501953125,34.7292758655716,16.886399993896486,17.477250008583063,1
2015-12-24,7861.0498046875,35.53164505002639,16.782799987792966,17.468550009727473,1
2015-12-28,7925.14990234375,40.6396183987388,16.688399963378902,17.4645500087738,1
2015-12-29,7928.9501953125,39.80360056141497,16.612799949645996,17.463550009727474,1
2015-12-30,7896.25,40.70669217924093,16.5453999710083,17.45625000953674,1
2015-12-31,7946.35009765625,38.02584853904661,16.479399967193604,17.44795001029968,1
2016-01-01,7946.35009765625,41.402547864439256,16.439199962615966,17.443600010871883,1
2016-01-04,7791.2998046875,57.787964363143246,16.438399982452392,17.454050011634827,1
2016-01-05,7784.64990234375,56.858852562861486,16.43239999771118,17.46270001411438,1
2016-01-06,7741.0,55.82323408406238,16.430999965667727,17.4695500087738,1
2016-01-07,7568.2998046875,66.40915509581268,16.486399936676026,17.48870000362396,1
2016-01-08,7601.35009765625,59.071785007142495,16.49779993057251,17.500149998664856,1
