row_id,recipe_id,pair,open_date,close_date,open_session_date,source_regime_session_date,source_context_attachment_policy,parent_regime_root,parent_regime_confidence_floor,source_panel_mean_confidence,source_panel_ticker_count,manipulation_overlay_state,sub_regime_tags,sub_sub_regime_or_profit_factor,profit_factor_family,profit_factor_leaf,regime_profit_branch_path,regime_profit_branch_path_version,trade_or_bar_horizon,allowed_action,suppression_rule,year_fold,profit_ratio_net,profit_abs,stake_amount,fee_open,fee_close,exit_reason,is_open
1,PerPairMR,BNB/USDT,2021-07-20T02:00:00+00:00,2021-07-21T05:00:00+00:00,2021-07-20,2021-07-20,source_panel_previous_session_context_asof,Bull,0.9797225384,0.6239583333333333,24,not_consumed_no_direct_event_rows,BullTrendContinuationOrPullback,PairConditionalBreakoutOrMeanReversion,per_pair_regime_gated_mr_breakout,PerPairMR,Bull -> BullTrendContinuationOrPullback -> PairConditionalBreakoutOrMeanReversion -> PerPairMR,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,0.020903231655998913,41.4281619,1979.92233,0.001,0.001,exit_signal,False
2,PerPairMR,ETH/USDT,2021-07-31T22:00:00+00:00,2021-08-02T01:00:00+00:00,2021-07-31,2021-07-30,source_panel_previous_session_context_asof,Bull,0.9797225384,0.6479545454545454,22,not_consumed_no_direct_event_rows,BullTrendContinuationOrPullback,PairConditionalBreakoutOrMeanReversion,per_pair_regime_gated_mr_breakout,PerPairMR,Bull -> BullTrendContinuationOrPullback -> PairConditionalBreakoutOrMeanReversion -> PerPairMR,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,-0.009237056343757948,-18.38166783,1988.003953,0.001,0.001,exit_signal,False
3,PerPairMR,SOL/USDT,2021-08-02T01:00:00+00:00,2021-08-02T07:00:00+00:00,2021-08-02,2021-08-02,source_panel_previous_session_context_asof,Bull,0.9797225384,0.6137619047619047,21,not_consumed_no_direct_event_rows,BullTrendContinuationOrPullback,PairConditionalBreakoutOrMeanReversion,per_pair_regime_gated_mr_breakout,PerPairMR,Bull -> BullTrendContinuationOrPullback -> PairConditionalBreakoutOrMeanReversion -> PerPairMR,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,0.05807602017048988,115.37019523,1984.553004,0.001,0.001,exit_signal,False
4,PerPairMR,ETH/USDT,2021-08-04T17:00:00+00:00,2021-08-08T17:00:00+00:00,2021-08-04,2021-08-04,source_panel_previous_session_context_asof,Bull,0.9797225384,0.6169523809523809,21,not_consumed_no_direct_event_rows,BullTrendContinuationOrPullback,PairConditionalBreakoutOrMeanReversion,per_pair_regime_gated_mr_breakout,PerPairMR,Bull -> BullTrendContinuationOrPullback -> PairConditionalBreakoutOrMeanReversion -> PerPairMR,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,0.1079211354836039,216.83344696,2007.177085,0.001,0.001,exit_signal,False
5,PerPairMR,SOL/USDT,2021-08-12T15:00:00+00:00,2021-08-13T00:00:00+00:00,2021-08-12,2021-08-12,source_panel_previous_session_context_asof,Bull,0.9797225384,0.6898399999999999,25,not_consumed_no_direct_event_rows,BullTrendContinuationOrPullback,PairConditionalBreakoutOrMeanReversion,per_pair_regime_gated_mr_breakout,PerPairMR,Bull -> BullTrendContinuationOrPullback -> PairConditionalBreakoutOrMeanReversion -> PerPairMR,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,0.039027205508133524,80.09750709,2050.30026,0.001,0.001,exit_signal,False
6,PerPairMR,ETH/USDT,2021-08-20T01:00:00+00:00,2021-08-21T20:00:00+00:00,2021-08-20,2021-08-20,source_panel_previous_session_context_asof,Bull,0.9797225384,0.71185,20,not_consumed_no_direct_event_rows,BullTrendContinuationOrPullback,PairConditionalBreakoutOrMeanReversion,per_pair_regime_gated_mr_breakout,PerPairMR,Bull -> BullTrendContinuationOrPullback -> PairConditionalBreakoutOrMeanReversion -> PerPairMR,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,-0.005783392558335329,-11.96051568,2066.013502,0.001,0.001,exit_signal,False
7,PerPairMR,BTC/USDT,2021-08-20T15:00:00+00:00,2021-08-22T13:00:00+00:00,2021-08-20,2021-08-20,source_panel_previous_session_context_asof,Bull,0.9797225384,0.71185,20,not_consumed_no_direct_event_rows,BullTrendContinuationOrPullback,PairConditionalBreakoutOrMeanReversion,per_pair_regime_gated_mr_breakout,PerPairMR,Bull -> BullTrendContinuationOrPullback -> PairConditionalBreakoutOrMeanReversion -> PerPairMR,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,0.004395720284528747,9.089868,2065.824626,0.001,0.001,exit_signal,False
8,PerPairMR,SOL/USDT,2021-08-22T21:00:00+00:00,2021-08-23T04:00:00+00:00,2021-08-22,2021-08-20,source_panel_previous_session_context_asof,Bull,0.9797225384,0.71185,20,not_consumed_no_direct_event_rows,BullTrendContinuationOrPullback,PairConditionalBreakoutOrMeanReversion,per_pair_regime_gated_mr_breakout,PerPairMR,Bull -> BullTrendContinuationOrPullback -> PairConditionalBreakoutOrMeanReversion -> PerPairMR,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,0.048492051875934576,100.26396918,2065.571604,0.001,0.001,exit_signal,False
9,PerPairMR,BTC/USDT,2021-08-23T03:00:00+00:00,2021-08-23T20:00:00+00:00,2021-08-23,2021-08-23,source_panel_previous_session_context_asof,Bull,0.9797225384,0.694590909090909,22,not_consumed_no_direct_event_rows,BullTrendContinuationOrPullback,PairConditionalBreakoutOrMeanReversion,per_pair_regime_gated_mr_breakout,PerPairMR,Bull -> BullTrendContinuationOrPullback -> PairConditionalBreakoutOrMeanReversion -> PerPairMR,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,-0.018076105141664838,-37.37189498,2065.4095629,0.001,0.001,exit_signal,False
10,PerPairMR,SOL/USDT,2021-08-24T17:00:00+00:00,2021-08-25T15:00:00+00:00,2021-08-24,2021-08-24,source_panel_previous_session_context_asof,Bull,0.9797225384,0.700625,24,not_consumed_no_direct_event_rows,BullTrendContinuationOrPullback,PairConditionalBreakoutOrMeanReversion,per_pair_regime_gated_mr_breakout,PerPairMR,Bull -> BullTrendContinuationOrPullback -> PairConditionalBreakoutOrMeanReversion -> PerPairMR,board-b-branch-rc-spa/v1,1h_trade,research_only_until_rc_spa_passes,none_after_rc_spa_pass,2021,-0.001419801655332439,-2.95334303,2078.031552,0.001,0.001,exit_signal,False
