node,state,rows,wins,losses,win_rate,total_pnl,avg_pnl,accepted_candidate,rejection_reasons
source_provider,binance_public,52,18,34,0.346154,-20.756286,-0.399159,False,best_provider_win_rate_below_0_95;single_symbol_single_timeframe_only;provider_outcomes_do_not_lift_regime_confidence
source_provider,bybit_public,51,18,33,0.352941,-23.292335,-0.456712,False,best_provider_win_rate_below_0_95;single_symbol_single_timeframe_only;provider_outcomes_do_not_lift_regime_confidence
source_provider,ibkr_paxos_long_midpoint,44,15,29,0.340909,71.504938,1.625112,False,best_provider_win_rate_below_0_95;single_symbol_single_timeframe_only;provider_outcomes_do_not_lift_regime_confidence
source_provider,tvr_default_binance,37,10,27,0.27027,-249.715776,-6.749075,False,best_provider_win_rate_below_0_95;single_symbol_single_timeframe_only;provider_outcomes_do_not_lift_regime_confidence
source_provider,kraken_public,32,10,22,0.3125,-126.545257,-3.954539,False,best_provider_win_rate_below_0_95;single_symbol_single_timeframe_only;provider_outcomes_do_not_lift_regime_confidence
source_provider,yfinance,21,10,11,0.47619,164.805961,7.847903,False,best_provider_win_rate_below_0_95;single_symbol_single_timeframe_only;provider_outcomes_do_not_lift_regime_confidence
branch_path,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,164,63,101,0.384146,348.541397,2.125252,False,best_branch_win_rate_below_0_95;active_bbn_regime_constant_range;branch_label_is_not_independent_regime_state_evidence
branch_path,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,73,18,55,0.246575,-532.540152,-7.295071,False,best_branch_win_rate_below_0_95;active_bbn_regime_constant_range;branch_label_is_not_independent_regime_state_evidence
source_provider_x_branch_path,binance_public | Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,37,14,23,0.378378,77.313931,2.089566,False,best_group_rows_below_30;best_group_not_cross_provider_stable;best_group_win_rate_below_0_95
source_provider_x_branch_path,bybit_public | Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,34,14,20,0.411765,148.040565,4.354134,False,best_group_rows_below_30;best_group_not_cross_provider_stable;best_group_win_rate_below_0_95
source_provider_x_branch_path,ibkr_paxos_long_midpoint | Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,32,12,20,0.375,98.220726,3.069398,False,best_group_rows_below_30;best_group_not_cross_provider_stable;best_group_win_rate_below_0_95
source_provider_x_branch_path,tvr_default_binance | Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,25,8,17,0.32,-102.722031,-4.108881,False,best_group_rows_below_30;best_group_not_cross_provider_stable;best_group_win_rate_below_0_95
source_provider_x_branch_path,kraken_public | Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,23,8,15,0.347826,-55.388609,-2.4082,False,best_group_rows_below_30;best_group_not_cross_provider_stable;best_group_win_rate_below_0_95
source_provider_x_branch_path,bybit_public | Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,17,4,13,0.235294,-171.3329,-10.078406,False,best_group_rows_below_30;best_group_not_cross_provider_stable;best_group_win_rate_below_0_95
source_provider_x_branch_path,binance_public | Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,15,4,11,0.266667,-98.070217,-6.538014,False,best_group_rows_below_30;best_group_not_cross_provider_stable;best_group_win_rate_below_0_95
