source_id,source_type,decision,accepted_rows,matched_negative_status,reason,url_or_path
finra_potential_manipulation_report,regulator_schema_contract,schema_target_rows_not_public,0,not_acquired,Public FINRA page is useful as field/schema target but does not provide exportable positive and matched negative rows.,https://www.finra.org/compliance-tools/report-center/cross-market-equities-supervision/potential-manipulation-report
spoofing_appendix_case_inventory,regulator_enforcement_case_inventory,positive_case_inventory_only,0,absent,"204 positive enforcement cases exist, but matched_negative_available=0 and confidence_gate_eligible_now=0.",docs/experiments/actionable-regime-confidence/runs/20260511T130457-codex-spoofing-appendix-direct-case-inventory/direct-case-inventory/spoofing_appendix_direct_case_inventory.csv
trentmkelly/polymarket_crypto_derivatives,direct_order_lifecycle_order_book,direct_input_source_unlabeled,0,not_labeled_or_not_matched,"direct order-book/order-lifecycle fields exist, but no explicit manipulation-positive/negative labels or event windows were found",https://huggingface.co/datasets/trentmkelly/polymarket_crypto_derivatives
phobia76/pmxt-l2-dump,direct_order_book_l2,direct_input_source_unlabeled,0,not_labeled_or_not_matched,"direct order-book/order-lifecycle fields exist, but no explicit manipulation-positive/negative labels or event windows were found",https://huggingface.co/datasets/phobia76/pmxt-l2-dump
muhammetakkurt/pump-fun-meme-token-dataset,token_event_context,event_context_unlabeled,0,not_labeled_or_not_matched,"token/event context exists, but no explicit manipulation labels or order-lifecycle evidence were found",https://huggingface.co/datasets/muhammetakkurt/pump-fun-meme-token-dataset
Washedashore/thepower,metadata_false_positive,rejected_metadata_false_positive,0,not_labeled_or_not_matched,dataset card is a generic template and does not provide market event/order-flow labels,https://huggingface.co/datasets/Washedashore/thepower
navnoor_spoof_detection,local_repo_candidate,rejected_code_not_replayable_direct_rows,0,absent,Local checkout contains model/notebook logic but no exported timestamped positive/negative spoofing rows or same-venue negative controls.,/tmp/ict-regime-navnoor-spoof-detection
quantsingularity_spoofing,local_repo_candidate,rejected_synthetic_framework_no_real_labeled_rows,0,absent,"Repository provides framework, adapters, expected data schema, and synthetic spoofing injection, but no replayable real timestamped positive/negative spoofing dataset in the local checkout.",/tmp/ict-regime-quantsingularity-spoofing
public_search_lobster_raw_lob,public_raw_orderbook_source,raw_lob_no_manipulation_labels,0,not_labeled,"Raw limit-order-book data can provide market context, but without source positive spoofing/layering windows and matched controls it is not an accepted direct Manipulation label source.",https://lobsterdata.com/
public_search_spoofing_code_or_synthetic,public_code_or_synthetic_benchmarks,method_provenance_only,0,synthetic_or_absent,Public spoofing repos and synthetic benchmarks are method provenance unless they ship replayable real positive and matched negative rows.,local audit plus targeted web/source scan
