label,split_role,source_owner,market_family,support,rows_at_or_above_0_95,share_at_or_above_0_95,wilson95_lcb,confidence_min,confidence_median,confidence_mean,confidence_max
Bear,calibration,ALL,ALL,32975,49,0.0014859742,0.0011242749,0.25,0.444,0.4467924792,1.0
Bear,heldout_market,ALL,ALL,4635,3,0.0006472492,0.000220147,0.25,0.5,0.4878714132,1.0
Bear,heldout_time,ALL,ALL,11012,0,0.0,0.0,0.25,0.462,0.4663315474,0.857
Bear,test,ALL,ALL,6317,0,0.0,0.0,0.25,0.5,0.4694494222,0.857
Bull,calibration,ALL,ALL,60213,5460,0.0906780928,0.0884105543,0.0,0.6,0.5838586113,1.0
Bull,heldout_market,ALL,ALL,12786,795,0.0621773815,0.0581218497,0.0,0.6,0.6094465822,1.0
Bull,heldout_time,ALL,ALL,19497,2417,0.1239677899,0.119416014,0.222,0.6,0.6208573412,1.0
Bull,test,ALL,ALL,12483,1521,0.1218457102,0.1162235034,0.222,0.6,0.6277310206,1.0
Crisis,calibration,ALL,ALL,21523,130,0.0060400502,0.0050893974,0.333,0.417,0.4113623495,0.9899731945
Crisis,heldout_market,ALL,ALL,1029,0,0.0,0.0,0.333,0.417,0.3915801749,0.5
Crisis,heldout_time,ALL,ALL,5076,80,0.0157604413,0.0126821341,0.333,0.417,0.4281096539,0.9977056923
Crisis,test,ALL,ALL,2995,66,0.0220367279,0.0173592424,0.333,0.417,0.4376208473,0.990887876
Sideways,calibration,ALL,ALL,34265,4929,0.143849409,0.1401735306,0.25,0.6,0.6121217007,1.0
Sideways,heldout_market,ALL,ALL,7786,1671,0.2146159774,0.2056385432,0.25,0.6,0.6760467506,1.0
Sideways,heldout_time,ALL,ALL,9799,1388,0.1416471068,0.1348835676,0.25,0.6,0.6627965582,1.0
Sideways,test,ALL,ALL,6049,698,0.1153909737,0.1075825871,0.25,0.6,0.6323283998,1.0
