provider_id,domain,ready,status,reason,user_access
breaker_rb_long_v1,entry_model,True,registered,entry_model_registry_member,builtin_registry
cisd_rb_long_v1,entry_model,True,registered,entry_model_registry_member,builtin_registry
crypto_public_runtime,live_runtime,False,operator_runtime_required,explicit_opt_in_required,operator_runtime_optional
external_http_runtime,live_runtime,False,operator_runtime_required,base_url_and_service_required,operator_runtime_optional
yfinance,live_runtime,True,ready,native_yfinance_runtime_available,free_no_login
ibkr_bridge,local_runtime,False,configured_runtime_unhealthy,ibkr_bridge_runtime_dependencies_missing_with_gateway_reachable,login_and_local_runtime
kraken_cli,local_runtime,True,ready,kraken_cli_config_detected,login_and_local_runtime
binance_public,market_data,False,configured_runtime_unhealthy,python3_provider_dependencies_missing,public_no_login
bybit_public,market_data,False,configured_runtime_unhealthy,python3_provider_dependencies_missing,public_no_login
ibkr,market_data,False,configured_runtime_unhealthy,ibkr_runtime_dependencies_missing_with_gateway_reachable,login_and_local_runtime
kraken_public,market_data,False,configured_runtime_unhealthy,python3_provider_dependencies_missing,public_no_login
polymarket_public,market_data,False,configured_runtime_unhealthy,python3_provider_dependencies_missing,public_no_login
tradingview_mcp,market_data,False,configured_runtime_unhealthy,tradingview_mcp_connectivity_probe_failed,local_stdio_or_remote_api_key
yfinance,market_data,True,ready,public_yahoo_http_endpoints,free_no_login
